Logging to '/home/jcoccia1/scr4_mavolio2/scratch_JC/stacks/CD/CD_metapop_catalog/tsv2bam.log'.
Configuration for this run:
  Stacks directory: '/home/jcoccia1/scr4_mavolio2/scratch_JC/stacks/CD/CD_metapop_catalog/'
  Population map: '/home/jcoccia1/scr4_mavolio2/scratch_JC/stacks/CD/CD_metapop_catalog/popmap_CD.txt'
  Num. samples: 190
  Paired-end reads directory: '/home/jcoccia1/scr4_mavolio2/scratch_JC/demux/CD/'
  Multithreaded.

Paired-end reads files found, e.g. '/home/jcoccia1/scr4_mavolio2/scratch_JC/demux/CD/CD.BA.AA.U.1.2.fq.gz'.
Loading the catalog...
Processing sample 'CD.BA.AA.U.3'...
Processing sample 'CD.BA.AA.U.1'...
Processing sample 'CD.BA.CP.U.2'...
Processing sample 'CD.BA.AA.U.4'...
Processing sample 'CD.BA.CP.U.4'...
Processing sample 'CD.BA.CP.U.5'...
Processing sample 'CD.BA.DHI.U.2'...
Processing sample 'CD.BA.DHI.U.3'...
Processing sample 'CD.BA.FH.U.1'...
Processing sample 'CD.BA.FH.U.3'...
Processing sample 'CD.BA.FH.U.4'...
Processing sample 'CD.BA.FH.U.5'...
Processing sample 'CD.BA.GA.U.1'...
Processing sample 'CD.BA.GA.U.3'...
Processing sample 'CD.BA.GA.U.4'...
Processing sample 'CD.BA.GA.U.5'...
Processing sample 'CD.BA.LA.U.1'...
Processing sample 'CD.BA.LA.U.2'...
Processing sample 'CD.BA.LA.U.3'...
Processing sample 'CD.BA.LA.U.4'...
Processing sample 'CD.BA.LH-2.M.2'...
Processing sample 'CD.BA.LH-2.M.3'...
Processing sample 'CD.BA.LH-2.M.4'...
Processing sample 'CD.BA.LH-2.M.5'...
Processing sample 'CD.BA.LL-4.M.1'...
Processing sample 'CD.BA.LL-4.M.2'...
Processing sample 'CD.BA.LL-4.M.4'...
Processing sample 'CD.BA.PIK.U.1'...
Processing sample 'CD.BA.PIK.U.2'...
Processing sample 'CD.BA.PIK.U.4'...
Processing sample 'CD.BA.PIK.U.5'...
Processing sample 'CD.BA.PSP.M.1'...
Processing sample 'CD.BA.PSP.M.4'...
Processing sample 'CD.BA.RG-1.M.1'...
Processing sample 'CD.BA.RG-1.M.2'...
Processing sample 'CD.BA.RG-1.M.4'...
Processing sample 'CD.BA.RG-1.M.5'...
Processing sample 'CD.BA.TRC.U.1'...
Processing sample 'CD.BA.TRC.U.2'...
Processing sample 'CD.BA.TRC.U.3'...
Processing sample 'CD.BA.TRC.U.5'...
Processing sample 'CD.BA.W3.M.1'...
Processing sample 'CD.BA.W3.M.3'...
Processing sample 'CD.BA.W3.M.4'...
Processing sample 'CD.BA.W3.M.5'...
Processing sample 'CD.BA.WB.U.1'...
Processing sample 'CD.BA.WB.U.2'...
Processing sample 'CD.BA.WB.U.3'...
Processing sample 'CD.BA.WB.U.4'...
Processing sample 'CD.BA.WB.U.5'...
Processing sample 'CD.BA.WBO.U.1'...
Processing sample 'CD.BA.WBO.U.2'...
Processing sample 'CD.BA.WBO.U.3'...
Processing sample 'CD.BA.WBO.U.4'...
Processing sample 'CD.BA.WBO.U.5'...
Processing sample 'CD.BA.WGP.M.1'...
Processing sample 'CD.BA.WGP.M.2'...
Processing sample 'CD.BA.WGP.M.3'...
Processing sample 'CD.BA.WGP.M.4'...
Processing sample 'CD.BA.WGP.M.5'...
Processing sample 'CD.LA.ALL.M.1'...
Processing sample 'CD.LA.ALL.M.2'...
Processing sample 'CD.LA.ALL.M.3'...
Processing sample 'CD.LA.ALL.M.4'...
Processing sample 'CD.LA.ALL.M.5'...
Processing sample 'CD.LA.GLO.M.2'...
Processing sample 'CD.LA.GLO.M.4'...
Processing sample 'CD.LA.GLO.M.5'...
Processing sample 'CD.LA.HAR.M.1'...
Processing sample 'CD.LA.HAR.M.3'...
Processing sample 'CD.LA.HAR.M.4'...
Processing sample 'CD.LA.HAR.M.5'...
Processing sample 'CD.LA.KIN.M.1'...
Processing sample 'CD.LA.KIN.M.2'...
Processing sample 'CD.LA.KIN.M.3'...
Processing sample 'CD.LA.KIN.M.4'...
Processing sample 'CD.LA.KIN.M.5'...
Processing sample 'CD.LA.LUB.M.2'...
Processing sample 'CD.LA.LUB.M.3'...
Processing sample 'CD.LA.LUB.M.5'...
Processing sample 'CD.LA.MR2.M.1'...
Processing sample 'CD.LA.MR2.M.2'...
Processing sample 'CD.LA.MR2.M.3'...
Processing sample 'CD.LA.MR2.M.4'...
Processing sample 'CD.LA.MR2.M.5'...
Processing sample 'CD.LA.NWH.M.1'...
Processing sample 'CD.LA.NWH.M.2'...
Processing sample 'CD.LA.NWH.M.3'...
Processing sample 'CD.LA.NWH.M.4'...
Processing sample 'CD.LA.NWH.M.5'...
Processing sample 'CD.LA.ROS.M.1'...
Processing sample 'CD.LA.ROS.M.3'...
Processing sample 'CD.LA.ROS.M.5'...
Processing sample 'CD.LA.SEP.M.1'...
Processing sample 'CD.LA.SEP.M.2'...
Processing sample 'CD.LA.SEP.M.3'...
Processing sample 'CD.LA.SEP.M.4'...
Processing sample 'CD.LA.SEP.M.5'...
Processing sample 'CD.LA.VAL.M.2'...
Processing sample 'CD.LA.VAL.M.3'...
Processing sample 'CD.LA.VAL.M.4'...
Processing sample 'CD.LA.VAL.M.5'...
Processing sample 'CD.LA.WHI.M.1'...
Processing sample 'CD.LA.WHI.M.2'...
Processing sample 'CD.LA.WHI.M.3'...
Processing sample 'CD.LA.ZOO.M.2'...
Processing sample 'CD.LA.ZOO.M.3'...
