note,city,site_comb,city_abbv,town,site,site_abbv,management_type,management_type_2,lat,long,n,nlcd_urban_pct,distance_to_city_center,distance_to_city_center_km,airtemp_5cm_Jan_12pm,airtemp_5cm_Feb_12pm,airtemp_5cm_Mar_12pm,airtemp_5cm_Apr_12pm,airtemp_5cm_May_12pm,airtemp_5cm_Jun_12pm,airtemp_5cm_Jul_12pm,airtemp_5cm_Aug_12pm,airtemp_5cm_Sept_12pm,airtemp_5cm_Oct_12pm,airtemp_5cm_Nov_12pm,airtemp_5cm_Dec_12pm,airtemp_1.2m_Jan_12pm,airtemp_1.2m_Feb_12pm,airtemp_1.2m_Mar_12pm,airtemp_1.2m_Apr_12pm,airtemp_1.2m_May_12pm,airtemp_1.2m_Jun_12pm,airtemp_1.2m_Jul_12pm,airtemp_1.2m_Aug_12pm,airtemp_1.2m_Sept_12pm,airtemp_1.2m_Oct_12pm,airtemp_1.2m_Nov_12pm,airtemp_1.2m_Dec_12pm,soiltemp_2.5cm_Jan_12pm,soiltemp_2.5cm_Feb_12pm,soiltemp_2.5cm_Mar_12pm,soiltemp_2.5cm_Apr_12pm,soiltemp_2.5cm_May_12pm,soiltemp_2.5cm_Jun_12pm,soiltemp_2.5cm_Jul_12pm,soiltemp_2.5cm_Aug_12pm,soiltemp_2.5cm_Sept_12pm,soiltemp_2.5cm_Oct_12pm,soiltemp_2.5cm_Nov_12pm,soiltemp_2.5cm_Dec_12pm,RH_5cm_Jan_12pm,RH_5cm_Feb_12pm,RH_5cm_Mar_12pm,RH_5cm_Apr_12pm,RH_5cm_May_12pm,RH_5cm_Jun_12pm,RH_5cm_Jul_12pm,RH_5cm_Aug_12pm,RH_5cm_Sept_12pm,RH_5cm_Oct_12pm,RH_5cm_Nov_12pm,RH_5cm_Dec_12pm,RH_1.2m_Jan_12pm,RH_1.2m_Feb_12pm,RH_1.2m_Mar_12pm,RH_1.2m_Apr_12pm,RH_1.2m_May_12pm,RH_1.2m_Jun_12pm,RH_1.2m_Jul_12pm,RH_1.2m_Aug_12pm,RH_1.2m_Sept_12pm,RH_1.2m_Oct_12pm,RH_1.2m_Nov_12pm,RH_1.2m_Dec_12pm
NA,Baltimore,BA.LH-1.M,BA,Reisterstown,LH-1,LH-1,M,NA,39.46533,-76.79669,6,22.51143296,25504.93454,25.50493454,4.938532892,7.351830384,13.76985013,20.37273647,27.04509256,32.35474796,34.98932357,33.94950794,29.14224423,21.52031393,13.99127468,7.172603189,3.339301276,5.238556586,11.22293261,17.09347342,22.96937507,27.60026135,29.90729732,28.84545013,24.90809315,18.56735145,12.20873757,5.935121044,6.290223503,9.361501822,16.69943717,25.24589113,33.37788866,40.04107502,43.25837911,41.4976227,35.07542363,24.75979493,14.3645432,7.276378711,41.20407514,38.36242012,35.15251041,32.94981782,35.70245564,36.71373549,37.42845605,38.6526447,40.44272905,40.84581355,43.45274665,45.01401104,46.10299998,44.38749998,41.55449999,40.45249999,45.52149998,48.23749998,49.84349998,51.65449998,51.85549998,49.04149998,48.82349998,49.01949998
NA,Baltimore,BA.LH-2.M,BA,Guilford,LH-2,LH-2,M,NA,39.34358,-76.61063,18,52.73739538,6730.672937,6.730672937,4.891490523,7.62902499,13.90307392,20.62204634,27.21557191,32.72924093,35.19383375,34.16745664,29.50041986,21.95047658,14.25308644,7.326769561,3.682162283,5.572542272,11.36348003,17.32598478,23.19644465,28.01959356,30.23363178,29.17657389,25.33392644,18.99973151,12.55000055,6.179268873,4.395942267,9.474157891,16.92654765,25.55544196,33.58830677,40.55757939,43.6024678,42.13078013,35.28363301,25.08144251,14.75600191,7.367878905,43.63362898,39.38586694,36.09930998,33.81676147,36.69536013,37.44357031,38.53254982,39.83225198,41.26311844,41.71393231,44.67004948,46.21451744,47.49749998,45.37749998,42.64549999,41.54449999,46.61299998,49.03049998,50.93449998,52.85899998,52.65949998,50.04649998,49.91799998,50.00949998
NA,Baltimore,BA.LH-3.M,BA,Anneslie,LH-3,LH-3,M,NA,39.37553,-76.60595,13,28.59763577,10308.63975,10.30863975,4.818719348,7.552134199,13.81516404,20.55884485,27.19488938,32.71721137,35.17647802,34.1368841,29.45103487,21.97299175,14.17649761,7.24397845,3.681981915,5.572463916,11.36346655,17.32602876,23.19651587,28.0196793,30.23370766,29.17663274,25.33394126,18.99967609,12.54984327,6.179063023,4.246856823,9.290596237,16.83259596,25.5204589,33.57940662,40.58385811,43.61945386,42.067396,35.12651538,24.69379813,14.4978962,7.146228341,43.85539182,39.59307252,36.30610047,33.94890206,36.74003777,37.46910128,38.56967075,39.90021844,41.38075699,41.65652292,44.89184733,46.47661524,47.49749998,45.37749998,42.64549999,41.54449999,46.61299998,49.03049998,50.93449998,52.85899998,52.65949998,50.04649998,49.91799998,50.00949998
NA,Baltimore,BA.LL-3.M,BA,Lutherville-Timonium,LL-3,LL-3,M,NA,39.44986,-76.60466,12,11.01493048,18570.30511,18.57030511,2.613681652,7.435520399,13.8106047,20.53917823,27.21965606,32.83928006,35.20360233,34.15607045,29.43469568,21.97226839,14.13364473,7.19527142,3.681561265,5.572281268,11.36343512,17.32613121,23.19668177,28.01987902,30.23388441,29.17676984,25.33397579,18.99954694,12.54947654,6.178582869,-0.106968153,9.392295328,16.88863206,25.73460306,33.81574112,40.69415358,43.87899946,42.25414536,35.25716393,24.68850081,14.46235573,7.08458504,51.22871075,39.9094767,36.3167876,33.99032992,36.68710193,37.21325835,38.51232608,39.85795017,41.41983445,41.65802547,45.01566242,46.63043008,47.49749998,45.37749998,42.64549999,41.54449999,46.61299998,49.03049998,50.93449998,52.85899998,52.65949998,50.04649998,49.91799998,50.00949998
NA,Baltimore,BA.LL-4.M,BA,North Harford Rd,LL-4,LL-4,M,NA,39.36542,-76.55538,12,26.8472134,10557.06005,10.55706005,2.604451456,7.457836345,13.74688476,20.52180341,27.18458175,32.7339218,35.17446956,34.15429068,29.38463342,21.79243446,14.036123,7.148427668,3.682039018,5.572488721,11.36347081,17.32601484,23.19649333,28.01965216,30.23368364,29.17661411,25.33393657,18.99969364,12.54989306,6.179128195,-0.11873333,9.128239363,16.73657044,25.52768345,33.67114562,40.68676752,43.73385522,42.02443686,35.05646657,24.63933432,14.32889695,6.922766323,51.26408156,39.84918681,36.46766615,34.02653216,36.76219789,37.43384177,38.57389661,39.86153967,41.53946706,42.11830216,45.30258673,46.78215397,47.49749998,45.37749998,42.64549999,41.54449999,46.61299998,49.03049998,50.93449998,52.85899998,52.65949998,50.04649998,49.91799998,50.00949998
Patapsco State Park,Baltimore,BA.PSP.M,BA,Catonsville,PSP,PSP,M,NA,39.24499,-76.74608,11,0,11938.63213,11.93863213,2.784714447,4.317041809,14.33967526,20.8063055,27.3193961,32.78171061,35.2776304,34.41492649,29.60746409,22.22669639,14.44949876,7.832403199,3.940629715,5.839131362,11.73315487,17.50132425,23.18253792,28.0062028,30.220067,29.26070339,25.31661712,19.06775405,12.69635823,6.536639402,-0.090481414,0.145357534,17.24656414,25.77533831,33.81700878,40.40383617,43.54822592,42.10493459,35.4078478,25.15938287,15.00304409,7.901820475,50.02357386,49.12510218,35.11912446,33.07810612,36.05476749,36.84953774,37.79969458,38.87991997,40.26364506,40.19934641,43.01611911,44.57166619,46.09849998,44.17949998,41.64749999,40.64799999,46.11749998,48.43299998,50.23649998,52.05649998,51.75499998,48.84049998,48.21949998,48.71099998
NA,Baltimore,BA.RG-1.M,BA,Eudowood,RG-1,RG-1,M,NA,39.39763,-76.58867,12,1,12953.92187,12.95392187,2.584030726,7.37006975,13.58804451,20.50950842,27.1195253,32.68102985,35.1666428,34.05910321,29.26035429,21.58026594,13.91651379,7.04282318,3.681856997,5.572409663,11.36345721,17.3260592,23.19656517,28.01973865,30.23376018,29.17667348,25.33395152,18.99963773,12.54973436,6.178920445,-0.138987471,8.694260268,16.44651524,25.09721901,33.42933631,40.46835465,43.39938168,41.68855177,34.62165675,24.23399078,13.84991501,6.485262944,51.33794619,40.08894239,36.84659229,34.05244919,36.90288752,37.54557556,38.5907456,40.07347538,41.83842554,42.66810515,45.65528998,47.12154377,47.49749998,45.37749998,42.64549999,41.54449999,46.61299998,49.03049998,50.93449998,52.85899998,52.65949998,50.04649998,49.91799998,50.00949998
NA,Baltimore,BA.RG-2.M,BA,Parkville,RG-2,RG-2,M,NA,39.3745,-76.55367,10,33.05101653,11512.01188,11.51201188,4.783340698,7.509137485,13.77104289,20.56967571,27.17140959,32.69424549,35.14754087,34.09706922,29.40246422,21.86687197,14.10875823,7.216226392,3.681987734,5.572466444,11.36346698,17.32602734,23.19651357,28.01967653,30.23370521,29.17663084,25.33394078,18.99967788,12.54984835,6.179069664,4.17332704,9.127905275,16.68667658,25.32121579,33.47829622,40.49706686,43.5267513,41.93612921,34.95264445,24.5647825,14.33930993,6.955562308,43.96394905,39.70959909,36.41040445,33.92622902,36.79064743,37.51753376,38.63136691,39.98874728,41.4967884,41.92720959,45.08947453,46.56508692,47.49749998,45.37749998,42.64549999,41.54449999,46.61299998,49.03049998,50.93449998,52.85899998,52.65949998,50.04649998,49.91799998,50.00949998
NA,Baltimore,BA.W3.M,BA,Windsor Mill,W3,W3,M,NA,39.35709,-76.76075,14,10.480356,14878.43283,14.87843283,4.717947461,7.124877868,13.59548562,20.25257512,26.96067156,32.31701714,35.00730725,33.81736684,29.00334498,21.41305785,13.74454256,6.944858032,3.33995555,5.238839522,11.22298183,17.09331395,22.96911711,27.59995549,29.90702123,28.84523571,24.90804008,18.56754959,12.20930495,5.935868976,5.66155377,8.80848634,16.17389603,24.87866304,33.19146265,39.88804495,42.9609294,41.17499922,34.45782452,23.80235057,13.63615702,6.633613849,41.84582953,38.96429146,35.55377577,33.19505654,35.87929878,36.79130112,37.39065496,38.9380349,40.76861679,41.11552913,44.15669198,45.72522219,46.10299998,44.38749998,41.55449999,40.45249999,45.52149998,48.23749998,49.84349998,51.65449998,51.85549998,49.04149998,48.82349998,49.01949998
NA,Baltimore,BA.WGP.M,BA,Arbutus,Westland Gardens Park,WGP,M,NA,39.25982,-76.70095,13,30.41506179,7716.686583,7.716686583,2.797087207,4.327386479,14.21017399,20.69720937,27.22482909,32.64417599,35.16045734,34.22336106,29.4534684,22.0399999,14.31539026,7.65505954,3.940540728,5.839092822,11.73314827,17.50134566,23.18257202,28.00624387,30.22010341,29.26073165,25.31662423,19.06772704,12.6962795,6.536537723,-0.094042309,0.112744369,16.71293978,25.26492923,33.38624651,40.06684509,43.13194675,41.6493249,34.76401513,24.46307232,14.36139357,7.317496773,49.97932239,49.08933934,35.41493684,33.30114306,36.25517795,37.13581752,38.04512415,39.29619254,40.62242772,40.65920443,43.39087204,45.11393382,46.09849998,44.17949998,41.64749999,40.64799999,46.11749998,48.43299998,50.23649998,52.05649998,51.75499998,48.84049998,48.21949998,48.71099998
