note,city,site_comb,city_abbv,town,site,site_abbv,management_type,management_type_2,lat,long,n,nlcd_urban_pct
,Baltimore,BA.LH-1.M,BA,Reisterstown,LH-1,LH-1,M,NA,39.46533,-76.79669,6,22.51143296141457
,Baltimore,BA.LH-2.M,BA,Guilford,LH-2,LH-2,M,NA,39.34358,-76.61063,18,52.73739538362332
,Baltimore,BA.LH-3.M,BA,Anneslie,LH-3,LH-3,M,NA,39.37553,-76.605950000000007,13,28.597635768928697
,Baltimore,BA.LL-3.M,BA,Lutherville-Timonium,LL-3,LL-3,M,NA,39.44986,-76.60466,12,11.01493048061913
,Baltimore,BA.LL-4.M,BA,North Harford Rd,LL-4,LL-4,M,NA,39.36542,-76.55538,12,26.847213401476857
Patapsco State Park,Baltimore,BA.PSP.M,BA,Catonsville,PSP,PSP,M,NA,39.24499,-76.74608,11,0
,Baltimore,BA.RG-1.M,BA,Eudowood,RG-1,RG-1,M,NA,39.39763,-76.58867,12,1
,Baltimore,BA.RG-2.M,BA,Parkville,RG-2,RG-2,M,NA,39.3745,-76.55367,10,33.051016532665145
,Baltimore,BA.W3.M,BA,Windsor Mill,W3,W3,M,NA,39.35709,-76.76075,14,10.480356001667678
,Baltimore,BA.WGP.M,BA,Arbutus,Westland Gardens Park,WGP,M,NA,39.25982,-76.70095,13,30.4150617880518
,Baltimore,BA.PIK.U,BA,Catonsville,1624 Baltimore Pike,PIK,U,NA,39.28524,-76.75864,21,72.89020370946608
,Baltimore,BA.AA.U,BA,Catonsville,Arbutus Ave,AA,U,NA,39.28028,-76.72639,12,60.90900528817574
,Baltimore,BA.CP.U,BA,Carroll Park,Carroll Park,CP,U,NA,39.2794,-76.64347,15,17.627778579497324
Druid Park Lake & Linden,Baltimore,BA.DHI.U,BA,Reservoir Hill,Druid Hill,DHI,U,NA,39.3169,-76.6362,5,62.62271578809053
