	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049
Pop001	0	-0.008	0.043	0.11	0.041	0	-0.011	0.057	0	0	0.028	0	0.032	0.119	0.022	0.279	0.12	0.171	0.154	0	0.114	0.06	0.417	0.202	0.286	0.034	0	0.203	0.163	0.132	0.406	0.227	0.202	0.172	0.197	0.205	0.155	0.229	0	0.253	0.205	0	0	0.191	0.272	0.259	0.207	0	0.248
Pop002	-0.008	0	-0.005	0.004	-0.014	0	0.037	-0.003	0	0	-0.002	0	0.007	0.077	-0.009	0.174	0.1	0.14	0.109	0.111	0.112	0.061	0.199	0.126	0.134	0.069	0.118	0.04	0.121	0.053	0.17	0.119	0.077	0.135	0.139	0.122	0.067	0.114	0.01	0.141	0.113	0	0	0.091	0.176	0.121	0.2	0.082	0.123
Pop003	0.043	-0.005	0	0.021	-0.002	0	0.045	0.007	0	0	0.051	0	0.031	0.083	0.02	0.157	0.075	0.147	0.102	0.103	0.116	0.063	0.241	0.143	0.114	0.049	0.101	0.073	0.149	0.055	0.185	0.088	0.087	0.101	0.148	0.115	0.066	0.135	-0.045	0.096	0.133	0	0	0.086	0.148	0.088	0.186	0.031	0.098
Pop004	0.11	0.004	0.021	0	-0.007	0.187	-0.034	0.025	0	0	0.007	0	0.024	0.078	0.007	0.187	0.117	0.154	0.111	0.129	0.117	0.078	0.24	0.153	0.189	0.086	0.11	0.086	0.172	0.112	0.213	0.135	0.134	0.132	0.177	0.148	0.132	0.121	0.177	0.188	0.166	0	0	0.177	0.172	0.156	0.202	0.106	0.124
Pop005	0.041	-0.014	-0.002	-0.007	0	0	-0.02	0.026	0	0	0.006	0	0.003	0.066	0.009	0.18	0.073	0.133	0.09	0.092	0.115	0.087	0.168	0.12	0.155	0.025	0.093	0.116	0.128	0.087	0.191	0.129	0.078	0.124	0.11	0.118	0.08	0.111	0	0.108	0.112	0	0	0.092	0.164	0.066	0.191	0.07	0.106
Pop006	0	0	0	0.187	0	0	0	0.094	0	0	0.104	0	0.163	0	0	0	0.167	0.15	0	0	0	0	0	0	0.219	0	0	0	0.15	0.104	0	0.161	0.104	0.323	0.26	0	0	0.045	0	0	0	0	0	0	0.24	0	0	0	0.042
Pop007	-0.011	0.037	0.045	-0.034	-0.02	0	0	-0.002	0	0	-0.007	0	0.052	0.068	-0.01	0.164	0.077	0.066	0.081	0	0.122	0.042	0.188	0.156	0.14	0.12	0	0	0.156	0.059	0.261	0.076	0.106	0.043	0.162	0.078	0.102	0.112	0	0.197	0.164	0	0	0.082	0.183	0.195	0.238	0	0.166
Pop008	0.057	-0.003	0.007	0.025	0.026	0.094	-0.002	0	0	0	0.033	0	0.05	0.083	0.015	0.199	0.1	0.146	0.14	0.113	0.18	0.1	0.318	0.167	0.124	0.04	0.135	0.221	0.133	0.118	0.199	0.217	0.122	0.163	0.165	0.164	0.095	0.156	0.237	0.162	0.138	0	0	0.156	0.177	0.109	0.221	0.208	0.106
Pop009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop011	0.028	-0.002	0.051	0.007	0.006	0.104	-0.007	0.033	0	0	0	0	0.023	0.065	0.012	0.174	0.104	0.157	0.117	0.057	0.132	0.075	0.184	0.166	0.189	0.104	0.129	0.108	0.232	0.114	0.2	0.149	0.134	0.168	0.157	0.154	0.103	0.13	0.165	0.157	0.146	0	0	0.134	0.185	0.195	0.189	0.074	0.119
Pop012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop013	0.032	0.007	0.031	0.024	0.003	0.163	0.052	0.05	0	0	0.023	0	0	0.08	0.001	0.171	0.091	0.154	0.106	0.035	0.096	0.066	0.16	0.134	0.143	0.066	0.135	0.065	0.133	0.092	0.175	0.127	0.097	0.123	0.136	0.111	0.087	0.104	0.066	0.142	0.132	0	0	0.125	0.137	0.148	0.2	0.114	0.109
Pop014	0.119	0.077	0.083	0.078	0.066	0	0.068	0.083	0	0	0.065	0	0.08	0	0.048	0.071	0.033	0.047	0.03	0.003	0.08	0.014	0.069	0.059	0.141	-0.003	0.027	0.01	0.119	0.03	0.051	0.084	0.037	0.036	0.046	0.048	0.11	0.045	0.079	0.051	0.166	0	0	0.029	0.168	0.042	0.101	0.064	0.017
Pop015	0.022	-0.009	0.02	0.007	0.009	0	-0.01	0.015	0	0	0.012	0	0.001	0.048	0	0.156	0.084	0.16	0.094	0.091	0.1	0.053	0.169	0.13	0.127	0.045	0.154	0.064	0.14	0.07	0.178	0.111	0.064	0.102	0.128	0.114	0.078	0.12	0.042	0.112	0.124	0	0	0.109	0.159	0.117	0.164	0.06	0.109
Pop016	0.279	0.174	0.157	0.187	0.18	0	0.164	0.199	0	0	0.174	0	0.171	0.071	0.156	0	0.07	0.01	0.007	-0.046	0.095	0.042	0.034	0.034	0.187	0.046	0.051	0.017	0.143	0.036	0.003	0.102	0.041	0.008	0.041	0.031	0.189	0.008	0.174	0.029	0.19	0	0	0.049	0.179	0.031	0.095	0.131	0.02
Pop017	0.12	0.1	0.075	0.117	0.073	0.167	0.077	0.1	0	0	0.104	0	0.091	0.033	0.084	0.07	0	0.056	0.038	0.023	0.103	0.051	0.047	0.059	0.141	0.022	0.084	0.002	0.146	0.012	0.06	0.055	0.063	0.047	0.074	0.073	0.137	0.049	0.238	0.05	0.168	0	0	0.063	0.179	0.06	0.124	0.097	0.049
