	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049	Pop050	Pop051	Pop052	Pop053	Pop054	Pop055	Pop056	Pop057	Pop058	Pop059	Pop060	Pop061	Pop062	Pop063	Pop064	Pop065	Pop066	Pop067	Pop068	Pop069
Pop001	0	0	-0.021	-0.045	0.001	-0.025	0.061	0.014	0	0.033	0	0	0.012	-0.003	-0.03	0.123	0.065	0	0.055	0.215	0	-0.035	0	0.056	0	0	0.003	0.061	0	0.006	0	0	0	0.086	0.024	0	0.034	0.077	0.176	0.009	-0.092	0	0	0.023	-0.013	0.006	0.011	0.25	-0.029	-0.075	-0.034	0.013	0	0.074	0.002	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop003	-0.021	0	0	-0.004	0.002	0.008	0.007	-0.004	0	0.011	0	0	0.019	0.012	-0.003	0.008	0.005	0.015	0.037	0.007	0	-0.005	0.03	0.026	0	0	0.002	0.018	0	0.021	0	0	0.149	0.048	0.042	0.02	0.037	0.028	0.02	0.018	-0.003	0.016	0	0.018	0.02	0.03	0.008	0.022	0.015	0.012	-0.009	0.017	0	0.029	0.036	0.019	0	0	0	0	0	0	0.244	0.07	0.15	0.233	0	0	0.105
Pop004	-0.045	0	-0.004	0	-0.013	-0.029	0.002	-0.001	0	-0.005	0	0	0.017	-0.011	-0.004	0.028	-0.008	-0.008	0.04	0.049	0	-0.007	0.034	0.036	0	0	-0.019	0.016	0	0.011	0	0	0.137	-0.001	0.103	0.068	0.058	0.014	0.037	0.018	0.022	0.025	0	-0.003	0.01	0.029	0.05	0.061	0.056	0.023	0.03	0.036	0	0.022	0.014	0.002	0	0	0	0	0	0	0.076	0.136	0.088	0.21	0	0	0
Pop005	0.001	0	0.002	-0.013	0	0.023	0.004	0.013	0	0.014	0	0	0.004	-0.004	0.002	0.018	-0.01	-0.008	0.027	0.008	0	0.083	0.008	0.023	0	0	0.023	0.022	0	0.005	0	0	0.118	0.016	0.099	-0.016	0.053	0.031	0.018	0.022	0.024	0.06	0	0.013	0.006	0.041	0.049	0.046	0.015	0.007	0.045	0.029	0	0.035	0.032	0.02	0	0	0	0	0	0	0	0.241	0.176	0	0	0	0
Pop006	-0.025	0	0.008	-0.029	0.023	0	0.015	0.018	0	0.047	0	0	-0.001	-0.006	0.015	-0.028	-0.008	-0.007	0.008	0.048	0	0.102	-0.019	0.037	0	0	-0.018	0.031	0	0.014	0	0	0.123	-0.002	0.073	0	0.015	0.018	0.071	0.015	-0.014	0.003	0	-0.006	0.003	0.033	0.057	0.036	-0.022	0	0.006	0.012	0	-0.049	0.056	0.039	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop007	0.061	0	0.007	0.002	0.004	0.015	0	-0.008	0	0.024	0	0	0.004	-0.007	-0.003	0.022	0.011	-0.008	0.035	0.06	0	0.031	-0.032	0.03	0	0	0.02	0.035	0	0.026	0	0	0.107	0.03	0.055	0	0.021	0.009	0.022	0.026	0.008	0.016	0	0.031	-0.005	0.047	0.078	0.002	0.023	0.051	0.002	0.022	0	0.045	0.029	0.016	0	0	0	0	0	0	0	0	0.179	0	0	0	0
Pop008	0.014	0	-0.004	-0.001	0.013	0.018	-0.008	0	0	0.014	0	0	-0.016	-0.011	-0.009	0.035	-0.002	-0.003	0.02	0.001	0	0.029	0.007	0.009	0	0	-0.005	0.02	0	0.032	0	0	0.174	0.012	0.068	0.03	0.035	-0.01	0.029	0.016	0.014	0.017	0	0.023	0.024	0.03	0.027	0.011	0.003	0.017	0.019	0.012	0	0.037	0.023	0.015	0	0	0	0	0	0	0.207	0.222	0.18	0.311	0	0	0
Pop009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop010	0.033	0	0.011	-0.005	0.014	0.047	0.024	0.014	0	0	0	0	-0.004	0.012	0.016	0.077	0.036	0.018	0.04	0.049	0	0.045	-0.009	0.053	0	0	0.008	0.034	0	0.021	0	0	0.197	0.02	0.094	0.068	0.056	0.059	0.057	0.039	0.049	0.024	0	0.034	0.063	0.043	0.056	0.071	0.052	0.051	0.062	0.032	0	0.041	0.038	0.047	0	0	0	0	0	0	0.19	0.212	0.229	0.287	0	0	0.25
Pop011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop013	0.012	0	0.019	0.017	0.004	-0.001	0.004	-0.016	0	-0.004	0	0	0	0.001	-0.006	0.069	0.024	0.059	0.015	0.018	0	0.003	0.068	0.024	0	0	0.017	0.021	0	0.027	0	0	0.064	0.007	0.06	0	-0.001	-0.017	0.019	0.03	0.009	-0.029	0	0.044	0.027	0.042	0.028	0.025	-0.014	0.034	0.032	0.021	0	0.024	0.019	0.008	0	0	0	0	0	0	0	0.283	0	0	0	0	0
Pop014	-0.003	0	0.012	-0.011	-0.004	-0.006	-0.007	-0.011	0	0.012	0	0	0.001	0	-0.008	0.02	-0.015	0.016	0.043	0.018	0	0.022	-0.008	0.042	0	0	0.011	0.023	0	0.009	0	0	0.087	-0.001	0.09	0.01	0.027	0.032	0.027	0.016	0.02	-0.002	0	0.015	0.053	0.041	0.046	0.023	-0.004	0.018	0.004	0.02	0	0.052	0.031	0.036	0	0	0	0	0	0	0.213	0.248	0.153	0.306	0	0	0
Pop015	-0.03	0	-0.003	-0.004	0.002	0.015	-0.003	-0.009	0	0.016	0	0	-0.006	-0.008	0	0.023	-0.014	-0.025	0.032	-0.012	0	0.039	0.048	0.029	0	0	-0.006	0.016	0	0.018	0	0	0.189	-0.005	0.029	0.04	0.057	0.022	0.022	0.026	0.011	-0.003	0	0.024	0.024	0.031	0.049	0.015	0.003	0.013	0.001	0.021	0	0.058	0.031	0.031	0	0	0	0	0	0	0.258	0	0.209	0.356	0	0	0
Pop016	0.123	0	0.008	0.028	0.018	-0.028	0.022	0.035	0	0.077	0	0	0.069	0.02	0.023	0	0.001	0.038	0.09	0.066	0	0.09	0	0.041	0	0	-0.015	0.058	0	0.079	0	0	0	0.027	0.023	0	0	0.028	0.038	0.054	0.108	0	0	0	0	0.083	0.119	0.083	-0.004	0.081	0.124	0.082	0	0.149	0.046	0.063	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop017	0.065	0	0.005	-0.008	-0.01	-0.008	0.011	-0.002	0	0.036	0	0	0.024	-0.015	-0.014	0.001	0	0.012	0.026	0.013	0	-0.007	-0.003	0.032	0	0	0.019	0.028	0	0.008	0	0	0.099	0.022	-0.006	0.114	0.027	-0.01	0.044	0.02	0.009	0.018	0	0.015	0.025	0.036	0.032	0.033	0.025	0.02	0.012	0.05	0	0.029	0.029	0.036	0	0	0	0	0	0	0	0.149	0.076	0	0	0	0.262
Pop018	0	0	0.015	-0.008	-0.008	-0.007	-0.008	-0.003	0	0.018	0	0	0.059	0.016	-0.025	0.038	0.012	0	-0.03	-0.015	0	0.013	-0.03	-0.013	0	0	0.005	0.014	0	0.003	0	0	0.077	-0.046	0.077	-0.076	0.006	0.019	-0.033	0.001	-0.019	-0.02	0	-0.003	-0.024	0.003	0.08	-0.025	0.02	0.001	0.026	0.005	0	0.06	-0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop019	0.055	0	0.037	0.04	0.027	0.008	0.035	0.02	0	0.04	0	0	0.015	0.043	0.032	0.09	0.026	-0.03	0	0.011	0	-0.027	-0.027	-0.02	0	0	0.016	0.028	0	0.003	0	0	0.154	0.038	0.026	0.064	0.01	0.007	0.02	0.016	0.013	0.018	0	-0.007	0.024	0.024	0.026	0.023	0.007	0.015	0	0.01	0	0.029	0.014	0.013	0	0	0	0	0	0	0.211	0	0.245	0.278	0	0	0
