	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034
Pop001	0	-0.087	-0.001	0	0	0	-0.029	0	0	0	-0.073	-0.062	0	-0.091	-0.027	0.126	0.078	0	0.071	0.047	-0.048	0	0.107	-0.015	0	0	0.125	0	0.189	0	0	0	0	0.158
Pop002	-0.087	0	-0.001	0	0	0	-0.022	0.022	-0.05	0.054	0.003	-0.007	0	0.021	0.007	0.061	0.061	0.035	0.033	0.021	0.086	0	0.044	0.257	0.155	0	0.163	0	0.154	0	0	0	0.112	0.211
Pop003	-0.001	-0.001	0	0	0	0	-0.023	-0.02	-0.08	0.009	0.047	-0.013	0	0.069	0.065	0.047	0.052	0.033	0.043	0.045	0.05	0	0.075	0.181	0.053	0	0.231	0	0.174	0	0	0	0.011	0.17
Pop004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop007	-0.029	-0.022	-0.023	0	0	0	0	-0.075	0	0	-0.033	0.018	0	0.25	0.013	0.041	0.075	0.049	0.055	0.012	0.079	0	0.047	0	0	0	0.097	0	0.125	0	0	0	0	0.228
Pop008	0	0.022	-0.02	0	0	0	-0.075	0	0.071	0.094	0.073	0.019	0	-0.024	0	0.081	0.093	0.058	0.035	0.126	0.11	0	0.012	0.357	0.308	0	0.11	0	0.195	0	0	0	0.039	0.311
Pop009	0	-0.05	-0.08	0	0	0	0	0.071	0	0.069	0.011	-0.125	0	0	0	0	0.154	0	-0.008	0	0.029	0	0.009	0.417	0	0	0.012	0	0.169	0	0	0	0	0.182
Pop010	0	0.054	0.009	0	0	0	0	0.094	0.069	0	-0.003	-0.09	0	0	0	-0.038	0.187	0	0.109	-0.021	0.097	0	0.075	0.121	0	0	0.198	0	0.17	0	0	0	0	0.184
Pop011	-0.073	0.003	0.047	0	0	0	-0.033	0.073	0.011	-0.003	0	-0.02	0	0.081	-0.039	0.066	0.07	-0.003	0.053	0.017	0.078	0	0.068	0.167	0.26	0	0.23	0	0.202	0	0	0	0.109	0.184
Pop012	-0.062	-0.007	-0.013	0	0	0	0.018	0.019	-0.125	-0.09	-0.02	0	0	0.062	0.05	0.064	0.078	-0.003	0.013	-0.001	0.054	0	0.064	0.21	0.236	0	0.166	0	0.199	0	0	0	0.226	0.136
Pop013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop014	-0.091	0.021	0.069	0	0	0	0.25	-0.024	0	0	0.081	0.062	0	0	0.034	0.134	0.017	-0.024	0.049	-0.016	0.023	0	0.004	0.114	-0.038	0	0.173	0	0.106	0	0	0	0.063	0.159
Pop015	-0.027	0.007	0.065	0	0	0	0.013	0	0	0	-0.039	0.05	0	0.034	0	0.055	-0.033	-0.022	0.019	-0.031	0.004	0	0.026	-0.018	0	0	0.079	0	0.186	0	0	0	0.125	0.222
Pop016	0.126	0.061	0.047	0	0	0	0.041	0.081	0	-0.038	0.066	0.064	0	0.134	0.055	0	0.084	-0.031	0.036	0.052	0.018	0	0.007	0.15	0.165	0	0.202	0	0.186	0	0	0	0	0.154
Pop017	0.078	0.061	0.052	0	0	0	0.075	0.093	0.154	0.187	0.07	0.078	0	0.017	-0.033	0.084	0	-0.023	0.018	-0.015	0.036	0	0.05	0.227	0.16	0	0.173	0	0.174	0	0	0	0.165	0.16
Pop018	0	0.035	0.033	0	0	0	0.049	0.058	0	0	-0.003	-0.003	0	-0.024	-0.022	-0.031	-0.023	0	-0.019	0.001	-0.01	0	0.02	0.191	0.413	0	0.225	0	0.241	0	0	0	0.1	0.129
Pop019	0.071	0.033	0.043	0	0	0	0.055	0.035	-0.008	0.109	0.053	0.013	0	0.049	0.019	0.036	0.018	-0.019	0	-0.007	0.038	0	0.011	0.081	0.163	0	0.194	0	0.162	0	0	0	0.062	0.189
Pop020	0.047	0.021	0.045	0	0	0	0.012	0.126	0	-0.021	0.017	-0.001	0	-0.016	-0.031	0.052	-0.015	0.001	-0.007	0	0.021	0	0.023	0.362	0.242	0	0.168	0	0.155	0	0	0	0.232	0.139
Pop021	-0.048	0.086	0.05	0	0	0	0.079	0.11	0.029	0.097	0.078	0.054	0	0.023	0.004	0.018	0.036	-0.01	0.038	0.021	0	0	0.021	0.135	0.045	0	0.166	0	0.186	0	0	0	0.109	0.182
Pop022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop023	0.107	0.044	0.075	0	0	0	0.047	0.012	0.009	0.075	0.068	0.064	0	0.004	0.026	0.007	0.05	0.02	0.011	0.023	0.021	0	0	0.184	0.182	0	0.155	0	0.176	0	0	0	0.19	0.078
