"","V1","V2","HindHe","Depth"
"1","CD.BA.RG-1.M.4","Baltimore",0.255783871435008,507
"2","CD.BA.RG-1.M.5","Baltimore",0.288339110627424,123
"3","CD.BA.DHI.U.2","Baltimore",NA,0
"4","CD.BA.DHI.U.3","Baltimore",NA,0
"5","CD.BA.AA.U.1","Baltimore",0.305661172163783,174045
"6","CD.BA.AA.U.3","Baltimore",0.310406738630262,109916
"7","CD.BA.AA.U.4","Baltimore",0.419680758254965,1055863
"8","CD.BA.CP.U.2","Baltimore",0.380683613436365,305622
"9","CD.BA.CP.U.4","Baltimore",0.358688809606807,452939
"10","CD.BA.CP.U.5","Baltimore",0.307610216974086,332725
"11","CD.BA.FH.U.1","Baltimore",0.384359122368489,521703
"12","CD.BA.FH.U.3","Baltimore",0.361648367567303,370398
"13","CD.BA.FH.U.4","Baltimore",0.412064978918063,467588
"14","CD.BA.FH.U.5","Baltimore",0.315016077166536,67282
"15","CD.BA.GA.U.1","Baltimore",0.402310312680312,439807
"16","CD.BA.GA.U.3","Baltimore",0.367210221407245,600412
"17","CD.BA.GA.U.4","Baltimore",0.38015115050198,333162
"18","CD.BA.GA.U.5","Baltimore",0.334870581187614,64716
"19","CD.BA.LA.U.1","Baltimore",0.427121627544247,443007
"20","CD.BA.LA.U.2","Baltimore",0.433179198074588,622516
"21","CD.BA.LA.U.3","Baltimore",0.282317097400447,64862
"22","CD.BA.LA.U.4","Baltimore",0.242422278476332,113417
"23","CD.BA.LH-2.M.2","Baltimore",0.33863094139631,18300
"24","CD.BA.LH-2.M.3","Baltimore",0.453356177743553,2744
"25","CD.BA.LH-2.M.4","Baltimore",0.566596757957892,9876
"26","CD.BA.LH-2.M.5","Baltimore",0.544358537104413,1589
"27","CD.BA.LL-4.M.1","Baltimore",0.358717959636153,429584
"28","CD.BA.LL-4.M.2","Baltimore",0.417525113742251,394777
"29","CD.BA.LL-4.M.4","Baltimore",0.302389218180932,56800
"30","CD.BA.PIK.U.1","Baltimore",0.330544365763994,109581
"31","CD.BA.PIK.U.2","Baltimore",0.410200536041989,792988
"32","CD.BA.PIK.U.4","Baltimore",0.339068620994806,379100
"33","CD.BA.PIK.U.5","Baltimore",0.431527728844071,445183
"34","CD.BA.PSP.M.1","Baltimore",0.471357588301391,120
"35","CD.BA.PSP.M.4","Baltimore",0.417376839442381,16456
"36","CD.BA.RG-1.M.1","Baltimore",0.444063183410549,4639
"37","CD.BA.RG-1.M.2","Baltimore",0.339225465881076,8080
"38","CD.BA.TRC.U.1","Baltimore",0.368737568499086,249319
"39","CD.BA.TRC.U.2","Baltimore",0.344286441950323,248130
"40","CD.BA.TRC.U.3","Baltimore",0.440679528744706,927542
"41","CD.BA.TRC.U.5","Baltimore",0.339027368763473,124937
"42","CD.BA.W3.M.1","Baltimore",0.420631786271125,1755
"43","CD.BA.W3.M.3","Baltimore",0.413145130665509,8374
"44","CD.BA.W3.M.4","Baltimore",0.322799542744395,3029
"45","CD.BA.W3.M.5","Baltimore",0.281330730676382,331
"46","CD.BA.WB.U.1","Baltimore",0.315008603679156,170887
"47","CD.BA.WB.U.2","Baltimore",0.390265574131508,535470
"48","CD.BA.WB.U.3","Baltimore",0.304093140604064,344577
"49","CD.BA.WB.U.4","Baltimore",0.295417013729403,127087
"50","CD.BA.WB.U.5","Baltimore",0.306387134964912,217681
"51","CD.BA.WBO.U.1","Baltimore",0.319514494478138,100596
"52","CD.BA.WBO.U.2","Baltimore",0.337645767264813,583315
"53","CD.BA.WBO.U.3","Baltimore",0.478820950763645,795588
"54","CD.BA.WBO.U.4","Baltimore",0.391768422203981,124878
"55","CD.BA.WBO.U.5","Baltimore",0.378388790241551,370648
"56","CD.BA.WGP.M.1","Baltimore",0.308955254612426,73115
"57","CD.BA.WGP.M.2","Baltimore",0.376494702840257,545869
