"","V1","V2","HindHe","Depth"
"1","DS.MN.L04-DS.U.2","Minneapolis",0.339914620136643,892
"2","DS.BO.WL3.M.4","Boston",0.266953109556648,1891
"3","DS.BO.WL1.M.4","Boston",NA,0
"4","DS.BO.LC1.M.2","Boston",0.211165312406014,1683
"5","DS.BO.HC4.M.4","Boston",0.180420677805974,1800
"6","DS.BA.AA.U.1","Baltimore",0.409370467147283,63003
"7","DS.BA.AA.U.2","Baltimore",0.518294457657561,704773
"8","DS.BA.AA.U.4","Baltimore",0.433161174866,547752
"9","DS.BA.CP.U.2","Baltimore",0.339621369165511,159389
"10","DS.BA.CP.U.5","Baltimore",0.496677029125012,662107
"11","DS.BA.DHI.U.1","Baltimore",0.500328875614723,675147
"12","DS.BA.DHI.U.3","Baltimore",0.423004106407008,491076
"13","DS.BA.DHI.U.4","Baltimore",0.470204405381026,540026
"14","DS.BA.DHI.U.5","Baltimore",0.422436503579114,262775
"15","DS.BA.GA.U.1","Baltimore",0.278628866006766,111617
"16","DS.BA.GA.U.2","Baltimore",0.419233430595273,474738
"17","DS.BA.GA.U.3","Baltimore",0.399860081502545,115526
"18","DS.BA.GA.U.4","Baltimore",0.462666045219561,720616
"19","DS.BA.LA.U.1","Baltimore",0.329790467349311,255920
"20","DS.BA.LA.U.2","Baltimore",0.359405473864016,133268
"21","DS.BA.LA.U.3","Baltimore",0.38696899935728,423254
"22","DS.BA.LA.U.5","Baltimore",0.487597775739126,617934
"23","DS.BA.LH-1.M.1","Baltimore",0.349368320173308,90261
"24","DS.BA.LH-1.M.2","Baltimore",0.452703172280216,472676
"25","DS.BA.LH-1.M.4","Baltimore",0.386760410288108,284118
"26","DS.BA.LH-2.M.1","Baltimore",0.448605658663069,495067
"27","DS.BA.LH-2.M.3","Baltimore",0.37112914708014,275041
"28","DS.BA.LH-2.M.5","Baltimore",0.428191877012964,592775
"29","DS.BA.LH-3.M.1","Baltimore",0.458551572293844,713306
"30","DS.BA.LH-3.M.2","Baltimore",0.453238581422363,448970
"31","DS.BA.LH-3.M.3","Baltimore",0.380567240160423,206194
"32","DS.BA.LH-3.M.4","Baltimore",0.361880856324231,577582
"33","DS.BA.LH-3.M.5","Baltimore",0.43747104004647,490906
"34","DS.BA.LL-3.M.1","Baltimore",0.386358976097974,293533
"35","DS.BA.LL-3.M.3","Baltimore",0.45432569503946,769550
"36","DS.BA.LL-4.M.1","Baltimore",0.435362083638388,591268
"37","DS.BA.LL-4.M.3","Baltimore",0.45783469523708,534453
"38","DS.BA.LL-4.M.5","Baltimore",0.399950777151271,581959
"39","DS.BA.PIK.U.1","Baltimore",0.431279134752182,657301
"40","DS.BA.PIK.U.3","Baltimore",0.322516078333634,140015
"41","DS.BA.PSP.M.2","Baltimore",0.345465793607065,137611
"42","DS.BA.PSP.M.5","Baltimore",0.502049740998435,677472
"43","DS.BA.RG-1.M.1","Baltimore",0.50424248249376,883182
"44","DS.BA.RG-1.M.3","Baltimore",0.426810102066812,604374
"45","DS.BA.RG-1.M.4","Baltimore",0.439204411787624,308329
"46","DS.BA.RG-2.M.2","Baltimore",0.407645412554856,437188
"47","DS.BA.RG-2.M.3","Baltimore",0.435017826450581,441820
"48","DS.BA.RG-2.M.4","Baltimore",0.462682623732152,612415
"49","DS.BA.RG-2.M.5","Baltimore",0.291023857370959,52852
"50","DS.BA.TRC.U.2","Baltimore",0.4094524442537,535193
"51","DS.BA.TRC.U.3","Baltimore",0.488069222116403,807702
"52","DS.BA.TRC.U.4","Baltimore",0.42219093551354,75108
"53","DS.BA.TRC.U.5","Baltimore",0.382605549446292,273710
"54","DS.BA.W3.M.2","Baltimore",0.451140164336944,655110
"55","DS.BA.W3.M.3","Baltimore",0.367459723879723,44400
"56","DS.BA.W3.M.4","Baltimore",0.352527869925175,148601
"57","DS.BA.WB.U.2","Baltimore",0.411474978500937,629921
"58","DS.BA.WB.U.3","Baltimore",0.336892678954252,213407
"59","DS.BA.WB.U.4","Baltimore",0.445068796667508,366925
"60","DS.BA.WB.U.5","Baltimore",0.350249997970936,96622
"61","DS.BO.HC1.M.1","Boston",0.381846854809589,234521
"62","DS.BO.HC1.M.2","Boston",0.295854774511946,387597
"63","DS.BO.HC1.M.3","Boston",0.178458616622497,4807
"64","DS.BO.HC1.M.5","Boston",0.347821637250087,104427
"65","DS.BO.HC2.M.2","Boston",0.350692741612134,522332
"66","DS.BO.HC2.M.3","Boston",0.461256814507674,516304
