"","V1","V2","HindHe","Depth"
"1","LS.PX.PAL.M.5","Phoenix",0.445655479310206,516
"2","LS.PX.PAL.M.2","Phoenix",0.390355099147271,3110
"3","LS.PX.PAL.M.1","Phoenix",0.468171430758175,2024
"4","LS.MN.L01-LS.M.1","Minneapolis",0.394947441493458,3019
"5","LS.PX.PKW.U.3","Phoenix",0.359491335588168,13347
"6","LS.PX.ENC.M.2","Phoenix",0.483068190869405,25818
"7","LS.MN.L01-LS.U.1","Minneapolis",0.331533161899746,10760
"8","LS.LA.ARR.U.4","Los Angeles",0.310226833230749,11582
"9","LS.BO.WL2.M.3","Boston",0.576689590106295,3972
"10","LS.BO.WL2.M.1","Boston",0.665945592788269,2708
"11","LS.BO.R4.U.4","Boston",0.522517472896968,3206
"12","LS.BO.R4.U.2","Boston",0.406291587450073,3737
"13","LS.BO.R4.U.1","Boston",0.389497152787008,1996
"14","LS.BO.R3.U.2","Boston",0.37201180634006,4199
"15","LS.BO.R2.U.1","Boston",0.202675608857641,319
"16","LS.BO.LC4.M.5","Boston",0.310970140016082,721
"17","LS.BO.LC2.M.1","Boston",0.445268604934524,2464
"18","LS.BO.I4.U.1","Boston",0.253345316986258,11788
"19","LS.BO.HC4.M.4","Boston",0.522227816526791,1533
"20","LS.BO.HC4.M.2","Boston",0.221099925154227,4464
"21","LS.BA.WB.U.5","Baltimore",0.334367442211639,13338
"22","LS.BA.CP.U.2","Baltimore",0.506043432769187,184748
"23","LS.BA.CP.U.4","Baltimore",0.454454905097498,152873
"24","LS.BA.CP.U.5","Baltimore",0.539646291758033,173944
"25","LS.BA.DHI.U.2","Baltimore",0.329893127751788,16549
"26","LS.BA.GA.U.1","Baltimore",0.52333410039446,221719
"27","LS.BA.GA.U.3","Baltimore",0.42025647490301,86225
"28","LS.BA.ML.U.2","Baltimore",0.447874311346802,136485
"29","LS.BA.ML.U.4","Baltimore",0.52738951813477,165213
"30","LS.BA.ML.U.5","Baltimore",0.40384565858476,119521
"31","LS.BA.PIK.U.1","Baltimore",0.504800750755274,106431
"32","LS.BA.PIK.U.2","Baltimore",0.413721154366628,72164
"33","LS.BA.PIK.U.3","Baltimore",0.403952675496161,134198
"34","LS.BA.PIK.U.5","Baltimore",0.479821472407201,136193
"35","LS.BA.PSP.M.1","Baltimore",0.52147333129468,195608
"36","LS.BA.WB.U.1","Baltimore",0.25162791265116,16988
"37","LS.BA.WB.U.2","Baltimore",0.417042498731022,147138
"38","LS.BA.WB.U.3","Baltimore",0.53318026981918,172790
"39","LS.BA.WBO.U.3","Baltimore",0.536725986625938,185849
"40","LS.BA.WBO.U.5","Baltimore",0.388521105314633,40531
"41","LS.BO.HC2.M.5","Boston",0.328244622074199,70
"42","LS.BO.HC4.M.3","Boston",0.28093216719198,28385
"43","LS.BO.I1.U.1","Boston",0.275233888223356,3507
"44","LS.BO.I2.U.1","Boston",0.391469945268172,3956
"45","LS.BO.I2.U.3","Boston",0.608634960412592,3786
"46","LS.BO.I2.U.4","Boston",0.491058026793376,3584
"47","LS.BO.I2.U.5","Boston",0.497379272107276,5976
"48","LS.BO.I4.U.2","Boston",0.678497927009788,5875
"49","LS.BO.LC1.M.2","Boston",0.471569090502502,36767
"50","LS.BO.LC4.M.2","Boston",0.480412691782043,6666
"51","LS.BO.LC4.M.3","Boston",0.534238228439079,3108
"52","LS.BO.LC4.M.4","Boston",0.612109195706107,3588
"53","LS.BO.R1.U.1","Boston",0.546839623938238,2720
"54","LS.BO.R1.U.2","Boston",0.509564763814721,4622
"55","LS.BO.R2.U.2","Boston",0.302897857348044,1317
"56","LS.BO.R2.U.4","Boston",0.303548708242052,2115
"57","LS.BO.R3.U.1","Boston",0.462529343330966,151536
"58","LS.BO.R3.U.3","Boston",0.39729673326243,195085
"59","LS.BO.WL1.M.1","Boston",0.61111073350266,2372
"60","LS.BO.WL1.M.2","Boston",0.54126959008073,2015
"61","LS.BO.WL1.M.3","Boston",0.403682330818532,5437
