"","V1","V2","HindHe","Depth"
"1","PA.BA.AA.U.3","Baltimore",NA,0
"2","PA.BA.AA.U.4","Baltimore",0.6956969576721,96
"3","PA.BA.LH-3.M.1","Baltimore",0.407094331874519,2244
"4","PA.BA.LH-3.M.4","Baltimore",NA,0
"5","PA.BA.LL-4.M.1","Baltimore",0.253288013311452,421
"6","PA.BA.RG-1.M.1","Baltimore",0.240547588322182,987
"7","PA.BO.HC2.M.4","Boston",0.329684862190069,317
"8","PA.BO.LC2.M.3","Boston",0.21442788202299,790
"9","PA.BO.LC2.M.4","Boston",0.264304740421363,2884
"10","PA.BO.R3.U.3","Boston",0.139116789462443,2108
"11","PA.PX.ALA.M.2","Phoenix",0.459832111867903,2414
"12","PA.PX.ALA.M.3","Phoenix",0.404646271737722,2484
"13","PA.PX.RPP.U.1","Phoenix",0,35
"14","PA.PX.RPP.U.2","Phoenix",0,75
"15","PA.BA.AA.U.1","Baltimore",0.230332020672546,16994
"16","PA.BA.AA.U.2","Baltimore",0.441954262232014,2440
"17","PA.BA.AA.U.5","Baltimore",0.256900368075253,3200
"18","PA.BA.LA.U.2","Baltimore",0.369419216912366,14079
"19","PA.BA.LA.U.3","Baltimore",0.430375135217803,68332
"20","PA.BA.LA.U.5","Baltimore",0.411267640314387,69587
"21","PA.BA.LH-2.M.1","Baltimore",0.330422823473584,22768
"22","PA.BA.LH-2.M.2","Baltimore",0.375762406942382,134603
"23","PA.BA.LH-2.M.3","Baltimore",0.303055335005037,34114
"24","PA.BA.LH-2.M.4","Baltimore",0.394098313718916,39818
"25","PA.BA.LH-2.M.5","Baltimore",0.506832048935011,374811
"26","PA.BA.LH-3.M.2","Baltimore",0.0907933763084016,928
"27","PA.BA.LH-3.M.3","Baltimore",0.209366924958711,2696
"28","PA.BA.LH-3.M.5","Baltimore",0.286652761486074,2734
"29","PA.BA.LL-3.M.1","Baltimore",0.338029209763787,23513
"30","PA.BA.LL-3.M.2","Baltimore",0.470086069118891,304317
"31","PA.BA.LL-3.M.3","Baltimore",0.426008405988247,76190
"32","PA.BA.LL-3.M.4","Baltimore",0.368234551115407,42684
"33","PA.BA.LL-3.M.5","Baltimore",0.44964192473323,239041
"34","PA.BA.LL-4.M.2","Baltimore",0.212054942053987,4828
"35","PA.BA.LL-4.M.3","Baltimore",0.418313499856015,44855
"36","PA.BA.LL-4.M.4","Baltimore",0.315078260580472,7882
"37","PA.BA.PIK.U.1","Baltimore",0.426990174391444,55413
"38","PA.BA.PIK.U.3","Baltimore",0.423985050463761,42806
"39","PA.BA.PIK.U.4","Baltimore",0.330141360246344,12382
"40","PA.BA.PIK.U.5","Baltimore",0.425404129508884,54148
"41","PA.BA.RG-1.M.2","Baltimore",0.293421507759263,13054
"42","PA.BA.RG-1.M.3","Baltimore",0.321870817523692,18739
"43","PA.BA.RG-1.M.4","Baltimore",0.165573609605173,1733
"44","PA.BA.RG-1.M.5","Baltimore",0.1800235176794,1493
"45","PA.BA.RG-2.M.2","Baltimore",0.12807043759923,1445
"46","PA.BA.RG-2.M.4","Baltimore",0.296840467299078,4280
"47","PA.BA.W3.M.2","Baltimore",0.315791432333459,4065
"48","PA.BA.W3.M.3","Baltimore",0.285884375434112,4497
"49","PA.BA.W3.M.4","Baltimore",0.248202424946567,6293
"50","PA.BA.WB.U.1","Baltimore",0.483150279076979,222248
"51","PA.BA.WB.U.2","Baltimore",0.449916365505246,259235
"52","PA.BA.WB.U.3","Baltimore",0.269273557737819,23300
"53","PA.BA.WB.U.4","Baltimore",0.380540666600098,139877
"54","PA.BA.WGP.M.1","Baltimore",0.477611530066953,314067
"55","PA.BA.WGP.M.2","Baltimore",0.422001670806202,142063
"56","PA.BA.WGP.M.3","Baltimore",0.429077420737418,225258
"57","PA.BA.WGP.M.4","Baltimore",0.338498576718056,23132
"58","PA.BA.WGP.M.5","Baltimore",0.468205324420587,311312
"59","PA.BO.HC1.M.1","Boston",0.453293776278578,70036
"60","PA.BO.HC1.M.2","Boston",0.491346492278704,86104
"61","PA.BO.HC1.M.3","Boston",0.300250893517846,10192
"62","PA.BO.HC1.M.4","Boston",0.330220873529632,29319
"63","PA.BO.HC1.M.5","Boston",0.257925517240179,5960
"64","PA.BO.HC2.M.1","Boston",0.503341787306032,364609
"65","PA.BO.HC2.M.2","Boston",0.349547640250543,72901
"66","PA.BO.HC2.M.5","Boston",0.332445813547466,39364
"67","PA.BO.HC4.M.1","Boston",0.427536164909665,47111
"68","PA.BO.HC4.M.3","Boston",0.412035944229885,97427
"69","PA.BO.HC4.M.4","Boston",0.510632923636629,90023
"70","PA.BO.HC4.M.5","Boston",0.516291400301617,160758
"71","PA.BO.I1.U.1","Boston",0.368507553627278,14339
"72","PA.BO.I1.U.2","Boston",0.260452679537036,4183
"73","PA.BO.I1.U.3","Boston",0.395420490264656,58926
"74","PA.BO.I1.U.4","Boston",0.37287587849313,7496
"75","PA.BO.I1.U.5","Boston",0.470180378120994,96776
"76","PA.BO.I2.U.2","Boston",0.468067619786426,274843
"77","PA.BO.I2.U.3","Boston",0.471589486037021,289877
"78","PA.BO.I2.U.4","Boston",0.327188363284573,68240
"79","PA.BO.I2.U.5","Boston",0.390138293878955,123212
"80","PA.BO.I4.U.2","Boston",0.395615193723696,52971
"81","PA.BO.I4.U.4","Boston",0.473859827797348,290203
"82","PA.BO.LC1.M.2","Boston",0.283945818042767,14182
"83","PA.BO.LC2.M.1","Boston",0.3491260061791,3346
"84","PA.BO.LC2.M.2","Boston",0.145877896307269,1329
"85","PA.BO.LC2.M.5","Boston",0.229939400713871,4584
"86","PA.BO.LC3.M.2","Boston",0.361444194728641,36789
"87","PA.BO.LC3.M.3","Boston",0.465339702001198,64446
"88","PA.BO.LC3.M.4","Boston",0.396589148152076,46809
"89","PA.BO.LC4.M.1","Boston",0.384535991396363,55088
"90","PA.BO.LC4.M.2","Boston",0.472950422730156,85320
"91","PA.BO.LC4.M.4","Boston",0.41324096367722,69939
"92","PA.BO.R1.U.1","Boston",0.413136756206748,5294
"93","PA.BO.R1.U.2","Boston",0.41740198043745,29114
"94","PA.BO.R1.U.4","Boston",0.338149617790342,12538
"95","PA.BO.R1.U.5","Boston",0.44557618871218,75550
"96","PA.BO.R3.U.1","Boston",0.494494143937632,81434
"97","PA.BO.R3.U.2","Boston",0.438274459818319,112480
"98","PA.BO.R3.U.4","Boston",0.429607336800737,54021
"99","PA.BO.R4.U.2","Boston",0.460854329219484,383788
"100","PA.BO.R4.U.3","Boston",0.367887205054301,33350
"101","PA.BO.R4.U.4","Boston",0.36862136467936,127227
"102","PA.BO.WL1.M.1","Boston",0.463174186508232,141326
"103","PA.BO.WL1.M.2","Boston",0.458024504206464,47068
"104","PA.BO.WL1.M.3","Boston",0.338884904451544,24839
"105","PA.BO.WL1.M.4","Boston",0.438825479506902,58564
"106","PA.BO.WL2.M.1","Boston",0.346566104716085,16463
"107","PA.BO.WL2.M.2","Boston",0.453840571165662,79249
"108","PA.BO.WL2.M.4","Boston",0.430087211219802,65613
"109","PA.BO.WL2.M.5","Boston",0.471373531663985,126519
"110","PA.BO.WL3.M.1","Boston",0.262852663747852,19050
"111","PA.BO.WL3.M.2","Boston",0.450786416475932,202532
"112","PA.BO.WL3.M.4","Boston",0.474030669156166,233688
"113","PA.BO.WL4.M.1","Boston",0.456983253963873,67957
"114","PA.BO.WL4.M.3","Boston",0.399207462212366,58498
"115","PA.BO.WL4.M.4","Boston",0.434690300902079,137803
"116","PA.BO.WL4.M.5","Boston",0.323847232406153,25648
"117","PA.LA.ALL.M.4","Los Angeles",0.517553234076924,401436
"118","PA.LA.ALL.M.5","Los Angeles",0.462681610817947,549235
"119","PA.LA.GLO.M.2","Los Angeles",0.370050247664779,42158
"120","PA.LA.GLO.M.3","Los Angeles",0.492242969810406,336702
"121","PA.LA.GLO.M.4","Los Angeles",0.428094697898633,124341
"122","PA.LA.GLO.M.5","Los Angeles",0.361234370859904,85919
"123","PA.LA.KIN.M.2","Los Angeles",0.449948991623658,162783
"124","PA.LA.KIN.M.4","Los Angeles",0.469959733440515,273122
"125","PA.LA.KIN.M.5","Los Angeles",0.483692698586093,345839
"126","PA.LA.LUB.M.1","Los Angeles",0.376469912770705,23649
"127","PA.LA.LUB.M.2","Los Angeles",0.479761447041913,297908
"128","PA.LA.LUB.M.4","Los Angeles",0.477419267884966,297925
"129","PA.LA.LUB.M.5","Los Angeles",0.474652048008163,336757
"130","PA.LA.NWH.M.1","Los Angeles",0.469871187674647,266929
"131","PA.LA.NWH.M.2","Los Angeles",0.437887126783205,288894
"132","PA.LA.NWH.M.3","Los Angeles",0.510309076113319,311830
"133","PA.LA.NWH.M.4","Los Angeles",0.427684008812142,295089
"134","PA.LA.NWH.M.5","Los Angeles",0.428366656446906,138022
"135","PA.LA.POP.M.1","Los Angeles",0.51381101118693,422044
"136","PA.LA.POP.M.3","Los Angeles",0.454927591528355,303825
"137","PA.LA.POP.M.4","Los Angeles",0.369509230919818,40284
"138","PA.LA.POP.M.5","Los Angeles",0.463572848117063,476603
"139","PA.LA.ROS.M.1","Los Angeles",0.436212178977199,58935
"140","PA.LA.ROS.M.3","Los Angeles",0.378958870111668,32964
"141","PA.LA.ROS.M.4","Los Angeles",0.314307072498044,7735
"142","PA.LA.ROS.M.5","Los Angeles",0.495006660793943,220755
"143","PA.LA.SEP.M.1","Los Angeles",0.48931495742661,358606
"144","PA.LA.SEP.M.2","Los Angeles",0.512760659008796,444658
"145","PA.LA.SEP.M.4","Los Angeles",0.448709655755029,197472
"146","PA.LA.SEP.M.5","Los Angeles",0.338534377947409,78783
"147","PA.LA.WHI.M.2","Los Angeles",0.486989538903513,388265
"148","PA.LA.WHI.M.3","Los Angeles",0.512439981533461,339185
"149","PA.LA.WHI.M.4","Los Angeles",0.398287547230808,46858
"150","PA.LA.WHI.M.5","Los Angeles",0.420870359253138,188542
"151","PA.LA.ZOO.M.1","Los Angeles",0.292406544466532,20275
"152","PA.LA.ZOO.M.3","Los Angeles",0.492416052835958,302685
"153","PA.LA.ZOO.M.4","Los Angeles",0.357774247855436,46317
"154","PA.LA.ZOO.M.5","Los Angeles",0.460178334533891,240739
"155","PA.MN.L01-TO_PA.M.4","Minneapolis",0.470213003141458,301221
"156","PA.MN.L01-TO_PA.M.5","Minneapolis",0.484185136333678,362224
"157","PA.PX.ALA.M.1","Phoenix",0.410654267947256,101045
"158","PA.PX.ALA.M.5","Phoenix",0.361427950873287,39867
"159","PA.PX.BUF.M.1","Phoenix",0.388790349317796,68252
"160","PA.PX.BUF.M.2","Phoenix",0.501339537476913,438367
"161","PA.PX.BUF.M.3","Phoenix",0.462533095303898,505354
"162","PA.PX.BUF.M.4","Phoenix",0.485890753697599,318799
"163","PA.PX.COY.M.1","Phoenix",0.542823014056243,729337
"164","PA.PX.DF1.M.2","Phoenix",0.310615972360716,1767
"165","PA.PX.DF1.M.5","Phoenix",0.50240361600198,2123
"166","PA.PX.ENC.M.2","Phoenix",0.402232307230944,1834
"167","PA.PX.ENC.M.3","Phoenix",0.462105107083294,1102
"168","PA.PX.ENC.M.4","Phoenix",0.379470000843644,3610
"169","PA.PX.ENC.M.5","Phoenix",0.368662509857699,7056
"170","PA.PX.LAP.M.1","Phoenix",0.35614325278961,21708
"171","PA.PX.LAP.M.2","Phoenix",0.509420672128002,369510
"172","PA.PX.LAP.M.4","Phoenix",0.428096577794334,220779
