"","V1","V2","HindHe","Depth"
"1","TO.BA.DHI.U.5","Baltimore",0.501918090971873,1810
"2","TO.BA.TRC.U.1","Baltimore",0.558327829639044,210
"3","TO.BA.TRC.U.2","Baltimore",0.679333281412179,44
"4","TO.BA.TRC.U.3","Baltimore",0,92
"5","TO.BO.R2.U.2","Boston",0.435813468189691,655
"6","TO.BO.R4.U.1","Boston",0.410560305196662,117
"7","TO.BO.R4.U.2","Boston",0.494039548517695,250
"8","TO.BA.AA.U.2","Baltimore",0.443026391770765,245213
"9","TO.BA.AA.U.3","Baltimore",0.473633897401813,266953
"10","TO.BA.AA.U.5","Baltimore",0.437713504936326,111532
"11","TO.BA.CP.U.1","Baltimore",0.435679741775622,131037
"12","TO.BA.CP.U.2","Baltimore",0.381888467850956,67626
"13","TO.BA.CP.U.3","Baltimore",0.431675057560718,177202
"14","TO.BA.CP.U.4","Baltimore",0.556796317324506,361395
"15","TO.BA.FH.U.1","Baltimore",0.311876626206703,4676
"16","TO.BA.FH.U.2","Baltimore",0.538633621850181,274733
"17","TO.BA.FH.U.4","Baltimore",0.42617859480878,105427
"18","TO.BA.FH.U.5","Baltimore",0.451767048925978,47169
"19","TO.BA.GA.U.1","Baltimore",0.561577572162075,350062
"20","TO.BA.GA.U.2","Baltimore",0.475275036163879,283825
"21","TO.BA.GA.U.3","Baltimore",0.429854910913524,147040
"22","TO.BA.GA.U.4","Baltimore",0.442007912380593,243604
"23","TO.BA.GA.U.5","Baltimore",0.51285206749299,84374
"24","TO.BA.LH-1.M.2","Baltimore",0.481168726073076,170789
"25","TO.BA.LH-1.M.4","Baltimore",0.463118568090019,162713
"26","TO.BA.LH-1.M.5","Baltimore",0.524298082449816,303343
"27","TO.BA.LH-2.M.1","Baltimore",0.512701145493266,264094
"28","TO.BA.LH-2.M.2","Baltimore",0.545363324768205,277218
"29","TO.BA.LH-2.M.3","Baltimore",0.270241202117084,32414
"30","TO.BA.LH-2.M.4","Baltimore",0.473986088533705,235059
"31","TO.BA.LH-3.M.2","Baltimore",0.47891379048418,193345
"32","TO.BA.LH-3.M.4","Baltimore",0.469494018791501,340907
"33","TO.BA.LH-3.M.5","Baltimore",0.542113236555046,299894
"34","TO.BA.LL-3.M.1","Baltimore",0.44079110407639,188905
"35","TO.BA.LL-3.M.2","Baltimore",0.466908370800833,107185
"36","TO.BA.LL-3.M.4","Baltimore",0.495424146153177,287542
"37","TO.BA.ML.U.1","Baltimore",0.420699632913342,110893
"38","TO.BA.ML.U.2","Baltimore",0.50692514358145,286805
"39","TO.BA.ML.U.3","Baltimore",0.424757772489554,107685
"40","TO.BA.ML.U.5","Baltimore",0.352722458597323,90871
"41","TO.BA.PIK.U.2","Baltimore",0.517662432574661,281978
"42","TO.BA.PIK.U.3","Baltimore",0.458543602389893,105813
"43","TO.BA.PIK.U.4","Baltimore",0.412934054988619,236929
"44","TO.BA.PIK.U.5","Baltimore",0.373456918546111,53336
"45","TO.BA.PSP.M.1","Baltimore",0.365160448388503,82740
"46","TO.BA.PSP.M.2","Baltimore",0.406374439230981,73643
"47","TO.BA.PSP.M.4","Baltimore",0.347021962617444,35935
"48","TO.BA.RG-1.M.2","Baltimore",0.414295802733774,110742
"49","TO.BA.RG-1.M.4","Baltimore",0.38994559254822,78325
"50","TO.BA.RG-1.M.5","Baltimore",0.471261980680205,125467
"51","TO.BA.RG-2.M.1","Baltimore",0.507149544087077,69844
"52","TO.BA.RG-2.M.2","Baltimore",0.371220165342436,112005
"53","TO.BA.RG-2.M.4","Baltimore",0.434385331941335,47024
"54","TO.BA.RG-2.M.5","Baltimore",0.574725301396627,364007
"55","TO.BA.W3.M.2","Baltimore",0.501966309105842,292086
"56","TO.BA.W3.M.3","Baltimore",0.451852583063321,252212
"57","TO.BA.W3.M.4","Baltimore",0.577998551332798,356220
"58","TO.BA.W3.M.5","Baltimore",0.382181420733817,61940
"59","TO.BA.WB.U.1","Baltimore",0.543598281331715,315610
"60","TO.BA.WB.U.2","Baltimore",0.533374235942368,342509
"61","TO.BA.WB.U.4","Baltimore",0.33846143479942,116355
"62","TO.BA.WBO.U.2","Baltimore",0.498571891737582,220784
"63","TO.BA.WBO.U.4","Baltimore",0.42712500033858,119458
"64","TO.BA.WGP.M.1","Baltimore",0.365581110256405,78191
"65","TO.BA.WGP.M.3","Baltimore",0.517609917764367,355100
"66","TO.BA.WGP.M.5","Baltimore",0.343256606513264,43456
"67","TO.BO.HC1.M.1","Boston",0.404379621929271,183306
"68","TO.BO.HC1.M.2","Boston",0.522121978166883,236755
"69","TO.BO.HC1.M.3","Boston",0.376903622101445,64076
"70","TO.BO.HC1.M.4","Boston",0.452582863217116,289792
"71","TO.BO.HC2.M.1","Boston",0.573539537013226,311282
"72","TO.BO.HC2.M.3","Boston",0.365779930454973,52166
"73","TO.BO.HC2.M.4","Boston",0.440665251386637,45244
"74","TO.BO.HC2.M.5","Boston",0.488839968831339,289328
"75","TO.BO.HC3.M.1","Boston",0.403473919685023,104089
"76","TO.BO.HC3.M.2","Boston",0.314071670572038,60201
"77","TO.BO.HC3.M.3","Boston",0.419493103897477,184235
"78","TO.BO.HC3.M.4","Boston",0.54128500467504,270176
"79","TO.BO.HC4.M.4","Boston",0.531476880547187,331348
"80","TO.BO.HC4.M.5","Boston",0.473044678544923,287151
"81","TO.BO.I1.U.1","Boston",0.49809910001596,214982
"82","TO.BO.I1.U.2","Boston",0.402799222423374,95464
"83","TO.BO.I1.U.3","Boston",0.442526389915589,176752
"84","TO.BO.I1.U.5","Boston",0.451126413852114,107957
"85","TO.BO.I2.U.2","Boston",0.485789425029404,229768
"86","TO.BO.I2.U.3","Boston",0.530647277974579,267559
"87","TO.BO.I2.U.4","Boston",0.448784216704421,220669
"88","TO.BO.I2.U.5","Boston",0.409071609094493,105561
"89","TO.BO.I3.U.1","Boston",0.427863112021063,140422
"90","TO.BO.I3.U.2","Boston",0.511819876822749,188955
"91","TO.BO.I3.U.4","Boston",0.346438462613072,43453
"92","TO.BO.I4.U.2","Boston",0.571659074246588,385895
"93","TO.BO.I4.U.4","Boston",0.375624088800401,59563
"94","TO.BO.LC1.M.1","Boston",0.356742569167484,64720
"95","TO.BO.LC1.M.2","Boston",0.385068174463785,182201
"96","TO.BO.LC1.M.4","Boston",0.541079979282421,309754
"97","TO.BO.LC2.M.1","Boston",0.51136852450922,314255
"98","TO.BO.LC2.M.2","Boston",0.416212523207057,249381
"99","TO.BO.LC2.M.3","Boston",0.506369296781918,215969
"100","TO.BO.LC2.M.5","Boston",0.53686454578159,561424
"101","TO.BO.LC3.M.1","Boston",0.556783204361105,319390
"102","TO.BO.LC3.M.5","Boston",0.478877229889735,217092
"103","TO.BO.LC4.M.1","Boston",0.469836793708472,252910
"104","TO.BO.LC4.M.2","Boston",0.369172114090141,64595
"105","TO.BO.LC4.M.3","Boston",0.471647353560477,208225
"106","TO.BO.LC4.M.5","Boston",0.485518128989083,151800
"107","TO.BO.R4.U.3","Boston",0.56000654899879,343579
"108","TO.BO.R4.U.4","Boston",0.322839770273467,39343
"109","TO.BO.R4.U.5","Boston",0.522981204759402,289289
"110","TO.BO.WL1.M.2","Boston",0.502615288339248,310962
"111","TO.BO.WL1.M.3","Boston",0.506258256108534,236522
"112","TO.BO.WL1.M.4","Boston",0.542581396618539,291046
"113","TO.BO.WL1.M.5","Boston",0.286796829488479,34327
"114","TO.BO.WL2.M.1","Boston",0.496298099834372,365348
"115","TO.BO.WL2.M.3","Boston",0.544653347449056,316808
"116","TO.BO.WL3.M.1","Boston",0.452717613176433,230854
"117","TO.BO.WL3.M.2","Boston",0.48265402929312,143949
"118","TO.BO.WL3.M.3","Boston",0.505237733007636,249544
"119","TO.BO.WL3.M.4","Boston",0.392037193152059,69866
"120","TO.BO.WL3.M.5","Boston",0.372758243903776,152998
"121","TO.BO.WL4.M.1","Boston",0.523059454060189,252896
"122","TO.BO.WL4.M.2","Boston",0.451118597810858,36016
"123","TO.BO.WL4.M.3","Boston",0.430393651389317,95345
"124","TO.BO.WL4.M.5","Boston",0.439379977853065,184871
"125","TO.LA.COM.M.1","Los Angeles",0.50037052074558,200306
"126","TO.LA.COM.M.2","Los Angeles",0.354432465326784,35547
"127","TO.LA.COM.M.3","Los Angeles",0.386392890185886,205492
"128","TO.LA.COM.M.4","Los Angeles",0.569539669944971,523819
"129","TO.LA.GLO.M.2","Los Angeles",0.417316263615328,46261
"130","TO.LA.GLO.M.5","Los Angeles",0.585186962198152,337996
"131","TO.LA.HAR.M.4","Los Angeles",0.354837801099942,56673
"132","TO.LA.MR1.M.1","Los Angeles",0.575309585950522,498602
"133","TO.LA.MR1.M.2","Los Angeles",0.469613253856552,204773
"134","TO.LA.MR1.M.3","Los Angeles",0.394480209769398,225384
"135","TO.LA.MR1.M.4","Los Angeles",0.548896901838856,337115
"136","TO.LA.NWH.M.1","Los Angeles",0.481805878656594,195167
"137","TO.LA.NWH.M.3","Los Angeles",0.436470306334876,119557
"138","TO.LA.NWH.M.4","Los Angeles",0.491397768520423,195298
"139","TO.LA.PEP.M.1","Los Angeles",0.501113115378477,195746
"140","TO.LA.PEP.M.3","Los Angeles",0.451824638191802,159761
"141","TO.LA.PEP.M.5","Los Angeles",0.530598620310188,418672
"142","TO.LA.RID.M.1","Los Angeles",0.403528976440036,1075
"143","TO.LA.ROS.M.1","Los Angeles",0.47177830817334,152381
"144","TO.LA.ROS.M.3","Los Angeles",0.344652551638453,30301
"145","TO.LA.STC.M.3","Los Angeles",0.561525561457681,344745
"146","TO.LA.STC.M.5","Los Angeles",0.494210760827964,279714
"147","TO.LA.VNS.M.2","Los Angeles",0.407018715876213,128962
"148","TO.LA.VNS.M.3","Los Angeles",0.44551970094854,107517
"149","TO.LA.VNS.M.5","Los Angeles",0.375537209892195,77039
"150","TO.LA.WHI.M.5","Los Angeles",0.415278019722576,145582
"151","TO.LA.ZOO.M.1","Los Angeles",0.59133140677053,531233
"152","TO.LA.ZOO.M.3","Los Angeles",0.458339649518023,184240
"153","TO.LA.ZOO.M.6","Los Angeles",0.5392968533258,302601
"154","TO.MN.L01-TO.U.2","Minneapolis",0.528925986549476,255106
"155","TO.MN.L01-TO.U.4","Minneapolis",0.457650683727924,218849
"156","TO.MN.L01-TO.U.5","Minneapolis",0.511676018635031,289310
"157","TO.MN.L02-TO.M.1","Minneapolis",0.474326377214446,189027
"158","TO.MN.L02-TO.M.3","Minneapolis",0.554301898093166,329227
"159","TO.MN.L02-TO.M.4","Minneapolis",0.512064481493289,271157
"160","TO.MN.L02-TO.U.1","Minneapolis",0.491769895717305,284199
"161","TO.MN.L02-TO.U.2","Minneapolis",0.277849756008365,66424
"162","TO.MN.L02-TO.U.3","Minneapolis",0.512312014516482,316776
"163","TO.MN.L02-TO.U.4","Minneapolis",0.534858515165471,270349
"164","TO.MN.L03-TO.M.1","Minneapolis",0.415358162311764,220504
"165","TO.MN.L03-TO.M.2","Minneapolis",0.522586848916027,331830
"166","TO.MN.L03-TO.M.4","Minneapolis",0.454336504603214,192664
"167","TO.MN.L03-TO.U.3","Minneapolis",0.387473688580899,49814
"168","TO.MN.L03-TO.U.4","Minneapolis",0.463155921906023,320061
"169","TO.MN.L03-TO.U.5","Minneapolis",0.408592331680148,101902
"170","TO.MN.L04-TO.M.2","Minneapolis",0.530707115161966,267356
"171","TO.MN.L04-TO.M.4","Minneapolis",0.497570936512877,317337
"172","TO.MN.L04-TO.M.5","Minneapolis",0.482366524849866,310836
"173","TO.MN.L04-TO.U.1","Minneapolis",0.50973018327076,596719
"174","TO.MN.L04-TO.U.3","Minneapolis",0.54687125338569,307844
"175","TO.MN.L04-TO.U.5","Minneapolis",0.482978661320473,299555
"176","TO.MN.L05-TO.M.1","Minneapolis",0.454971325008966,125705
"177","TO.MN.L05-TO.M.2","Minneapolis",0.390850380632722,65381
"178","TO.MN.L05-TO.M.3","Minneapolis",0.51550283798399,313505
"179","TO.MN.L05-TO.M.5","Minneapolis",0.562342153403608,475152
"180","TO.MN.L05-TO.U.1","Minneapolis",0.400863320488012,143408
"181","TO.MN.L05-TO.U.2","Minneapolis",0.55454070400013,339020
"182","TO.MN.L05-TO.U.3","Minneapolis",0.366699093316966,58477
"183","TO.MN.L05-TO.U.4","Minneapolis",0.478185813070011,250065
"184","TO.MN.L05-TO.U.5","Minneapolis",0.556334762274013,321705
"185","TO.MN.L06-TO.M.2","Minneapolis",0.523798919911197,355418
"186","TO.MN.L06-TO.M.3","Minneapolis",0.561059270281813,310759
"187","TO.MN.L06-TO.M.5","Minneapolis",0.461958106159105,178326
"188","TO.MN.L06-TO.U.2","Minneapolis",0.348665800963125,38392
"189","TO.MN.L06-TO.U.3","Minneapolis",0.403159550444845,44672
"190","TO.MN.L06-TO.U.4","Minneapolis",0.53764478245243,311029
"191","TO.MN.L06-TO.U.5","Minneapolis",0.511746394564862,261625
"192","TO.MN.L07-TO.M.2","Minneapolis",0.554937167219427,346093
"193","TO.MN.L07-TO.M.3","Minneapolis",0.424755704274396,196242
"194","TO.MN.L07-TO.M.4","Minneapolis",0.38782484387053,56561
"195","TO.MN.L07-TO.M.5","Minneapolis",0.504417754481796,319604
"196","TO.MN.L07-TO.U.1","Minneapolis",0.38881645021961,55423
"197","TO.MN.L07-TO.U.2","Minneapolis",0.361751453331677,141993
"198","TO.MN.L07-TO.U.3","Minneapolis",0.534994575343187,295644
"199","TO.MN.L07-TO.U.5","Minneapolis",0.355838491507608,43270
"200","TO.MN.L08-TO.M.1","Minneapolis",0.493987517603511,136847
"201","TO.MN.L08-TO.M.2","Minneapolis",0.566712363718523,414165
"202","TO.MN.L08-TO.M.4","Minneapolis",0.487455272877751,296954
