var,estimate,p,95% Lower,95% Upper,spp,city
distance_to_city_center,0.02,0.8973,-0.15237370323834,0.190542436600056,CD,BA
geodist,-0.35,0.0211,-0.518533792218271,-0.187923286885129,CD,BA
Intercept,0,0.4032,-0.151981571996343,0.151981571996342,CD,BA
nlcd_urban_pct,-0.06,0.6558,-0.214822692620996,0.100557395629559,CD,BA
soiltemp_Apr,-0.28,0.32,-0.562658825387871,-0.0028175568163511,CD,BA
soiltemp_Jul,0.31,0.3282,0.0271258308308332,0.589314852820448,CD,BA
R-Squared:,0.162562902095876,NA,NA,NA,CD,BA
F-Statistic:,3.84356684168159,NA,NA,NA,CD,BA
F p-value:,0.229,NA,NA,NA,CD,BA
distance_to_city_center,0.14,0.4463,-0.0985715077442507,0.377840270399278,CD,LA
geodist,-0.31,0.2809,-0.593024637896453,-0.0204905595924011,CD,LA
Intercept,0,0.0997,-0.203673651189975,0.203673651189994,CD,LA
nlcd_urban_pct,0.24,0.1315,0.0298572654096898,0.446866823012857,CD,LA
soiltemp_Apr,0.18,0.4165,-0.101328896311156,0.451760858080829,CD,LA
soiltemp_Jul,0.08,0.6539,-0.130346448066239,0.299307431595553,CD,LA
R-Squared:,0.0945151941455006,NA,NA,NA,CD,LA
F-Statistic:,1.2525691457359,NA,NA,NA,CD,LA
F p-value:,0.6516,NA,NA,NA,CD,LA
distance_to_city_center,0.34,0.0373,0.207251798752305,0.480774829351988,CD,PX
geodist,0.4,0.0022,0.27701210896435,0.515221813014355,CD,PX
Intercept,0,0.8503,-0.093203250729501,0.0932032507295043,CD,PX
nlcd_urban_pct,-0.03,0.7013,-0.132261887178087,0.0657577129092103,CD,PX
soiltemp_Apr,0,0.9831,-0.215343206914359,0.20714936316278,CD,PX
soiltemp_Jul,-0.25,0.0577,-0.451683887253259,-0.0537646897749838,CD,PX
R-Squared:,0.280400926011113,NA,NA,NA,CD,PX
F-Statistic:,17.5348219954699,NA,NA,NA,CD,PX
F p-value:,4e-4,NA,NA,NA,CD,PX
distance_to_city_center,-0.44,0.0109,-0.610435295339819,-0.279013254202905,DS,BA
geodist,0.25,0.0428,0.0861416587340237,0.422104884043775,DS,BA
Intercept,0,0.0113,-0.134772261665454,0.134772261665533,DS,BA
nlcd_urban_pct,-0.01,0.9143,-0.148762661179265,0.123178517881404,DS,BA
soiltemp_Apr,0.08,0.802,-0.183920624743021,0.335933383054385,DS,BA
soiltemp_Jul,-0.04,0.8914,-0.295805065187892,0.216304652564259,DS,BA
R-Squared:,0.133271533926045,NA,NA,NA,DS,BA
F-Statistic:,3.99786094227751,NA,NA,NA,DS,BA
F p-value:,0.2716,NA,NA,NA,DS,BA
distance_to_city_center,-0.57,0.103,-0.909879451872905,-0.226076737072856,DS,BO
geodist,0.36,0.1553,0.0217352287830021,0.698146011366113,DS,BO
Intercept,0,0.7256,-0.137949342041922,0.137949342041921,DS,BO
nlcd_urban_pct,-0.07,0.6664,-0.217023264055271,0.0766400274725862,DS,BO
soiltemp_Apr,0.01,0.9879,-0.244915225457502,0.255102624419802,DS,BO
soiltemp_Jul,-0.06,0.8223,-0.311284888587062,0.187067963978672,DS,BO
R-Squared:,0.0919258889106413,NA,NA,NA,DS,BO
F-Statistic:,2.63202428357907,NA,NA,NA,DS,BO
F p-value:,0.5485,NA,NA,NA,DS,BO
distance_to_city_center,0.05,0.7321,-0.0903496564123658,0.191100431360888,DS,MN
geodist,0.12,0.4199,-0.0192034367888773,0.259077292223285,DS,MN
Intercept,0,0.5525,-0.0985694695991934,0.0985694695991568,DS,MN
nlcd_urban_pct,-0.01,0.9417,-0.114193886289613,0.0980040976721359,DS,MN
soiltemp_Apr,0.32,0.22,0.161748887863235,0.486416727303744,DS,MN
soiltemp_Jul,-0.05,0.8532,-0.212894259356337,0.118517458403218,DS,MN
R-Squared:,0.116140191484014,NA,NA,NA,DS,MN
F-Statistic:,6.49121659796179,NA,NA,NA,DS,MN
F p-value:,0.3132,NA,NA,NA,DS,MN
distance_to_city_center,0,0.9967,-0.32849503377839,0.326735560974025,DS,PX
geodist,-0.24,0.3248,-0.4784122901129,-0.00281349417383595,DS,PX
Intercept,0,0.7725,-0.204061495850269,0.20406149585027,DS,PX
nlcd_urban_pct,0.1,0.5874,-0.121060369886936,0.312901904309841,DS,PX
soiltemp_Apr,-0.24,0.4982,-0.585838535513613,0.103530069022073,DS,PX
soiltemp_Jul,0.07,0.7285,-0.230202468783781,0.367840798385127,DS,PX
R-Squared:,0.0910633797507915,NA,NA,NA,DS,PX
F-Statistic:,1.20224065426024,NA,NA,NA,DS,PX
F p-value:,0.721,NA,NA,NA,DS,PX
distance_to_city_center,0.09,0.6916,-0.140228584214675,0.326827995498656,EC,BA
geodist,0.04,0.8507,-0.194520760514337,0.270385904450225,EC,BA
Intercept,0,0.6794,-0.188872241308799,0.188872241308804,EC,BA
nlcd_urban_pct,-0.09,0.631,-0.290565007615524,0.103085202923628,EC,BA
soiltemp_Apr,-0.07,0.8783,-0.41556003350197,0.279040878033237,EC,BA
soiltemp_Jul,0.26,0.4575,-0.083819897531335,0.608115199764817,EC,BA
R-Squared:,0.062935383207236,NA,NA,NA,EC,BA
F-Statistic:,0.967136632782095,NA,NA,NA,EC,BA
F p-value:,0.913,NA,NA,NA,EC,BA
distance_to_city_center,-0.94,0.0832,-1.61220993946382,-0.259859127895105,EC,LA
geodist,0.08,0.7098,-0.234955172622862,0.392761442407145,EC,LA
Intercept,0,0.6185,-0.248510584002355,0.248510584002364,EC,LA
nlcd_urban_pct,0.56,0.1261,0.0411702487736604,1.08726458414214,EC,LA
soiltemp_Apr,0.01,0.9704,-0.259391928679379,0.276528786639519,EC,LA
soiltemp_Jul,0.47,0.1918,0.0759789546869838,0.860090101298794,EC,LA
R-Squared:,0.132281635846763,NA,NA,NA,EC,LA
F-Statistic:,1.18909176321471,NA,NA,NA,EC,LA
F p-value:,0.5913,NA,NA,NA,EC,LA
distance_to_city_center,0.32,0.1977,0.0521246598983962,0.585301931987788,EC,PX
geodist,0.27,0.144,0.0401394291509446,0.492274705227543,EC,PX
Intercept,0,0.7511,-0.195553173615562,0.195553173615562,EC,PX
nlcd_urban_pct,0.21,0.2363,0.00685464744634634,0.406440012819524,EC,PX
soiltemp_Apr,0.08,0.8098,-0.334888174955089,0.493404024452474,EC,PX
soiltemp_Jul,-0.04,0.8632,-0.429506076734058,0.353100448118959,EC,PX
R-Squared:,0.321013304962276,NA,NA,NA,EC,PX
F-Statistic:,4.63327250978831,NA,NA,NA,EC,PX
F p-value:,0.0534,NA,NA,NA,EC,PX
distance_to_city_center,1.07,0.0922,0.684451125617825,1.46478135547781,LS,BA
geodist,-1.3,0.0261,-1.69168818608334,-0.91559977218187,LS,BA
Intercept,0,0.527,-0.213882949352588,0.213882949352586,LS,BA
nlcd_urban_pct,0.12,0.5297,-0.105904705440789,0.351039181766528,LS,BA
soiltemp_Apr,0.31,0.4468,-0.107462408063134,0.721740687691488,LS,BA
soiltemp_Jul,-0.15,0.6985,-0.566245895462121,0.264022081241953,LS,BA
R-Squared:,0.646038804193993,NA,NA,NA,LS,BA
F-Statistic:,8.03074114375936,NA,NA,NA,LS,BA
F p-value:,0.0998,NA,NA,NA,LS,BA
distance_to_city_center,-0.02,0.979,-0.545207745807177,0.510556116113106,LS,BO
geodist,-0.11,0.7865,-0.629021964178038,0.408711583436987,LS,BO
Intercept,0,0.4855,-0.17298227906593,0.172982279065931,LS,BO
