spp,city,R-Squared:,F-Statistic:,F p-value:,p adjusted
CD,BA,0.162562902095876,3.84356684168159,0.229,0.3435
CD,LA,0.0945151941455006,1.2525691457359,0.6516,0.6516
CD,PX,0.280400926011113,17.5348219954699,4e-4,0.0012
DS,BA,0.133271533926045,3.99786094227751,0.2716,0.6264
DS,BO,0.0919258889106413,2.63202428357907,0.5485,0.721
DS,MN,0.116140191484014,6.49121659796179,0.3132,0.6264
DS,PX,0.0910633797507915,1.20224065426024,0.721,0.721
EC,BA,0.062935383207236,0.967136632782095,0.913,0.913
EC,LA,0.132281635846763,1.18909176321471,0.5913,0.887
EC,PX,0.321013304962276,4.63327250978831,0.0534,0.1602
LS,BA,0.646038804193993,8.03074114375936,0.0998,0.1663
LS,BO,0.0700753299722627,1.2810506570311,0.8163,0.8468
LS,LA,0.658343336192076,56.6512997824282,0.0189,0.0945
LS,MN,0.29909337893604,5.1206828975082,0.0729,0.1663
LS,PX,0.0540128477654593,0.685161708226681,0.8468,0.8468
PA,BA,0.298199696952175,5.09888118868802,0.0943,0.3772
PA,BO,0.111236426405652,3.25412423784481,0.4281,0.4669
PA,LA,0.208150080796563,2.05035145024253,0.3566,0.4669
PA,PX,0.251509796801339,2.01613698396999,0.4669,0.4669
TO,BA,0.0283787827739128,0.85870522253004,0.9491,0.9491
TO,BO,0.0802684642216009,2.2691187466953,0.5396,0.6745
TO,LA,0.601479136745905,18.1113469995393,0.0378,0.0945
TO,MN,0.0643590235662548,2.80646981870309,0.4602,0.6745
TO,PX,0.659942782563005,8.53899901070392,0.0319,0.0945
