var,estimate,p,95% Lower,95% Upper,spp
distance_to_city_center,0.22,0.0119,0.1778816837945,0.271760147697291,CD
geodist,0.28,0.2142,0.104937032131591,0.456824461075169,CD
Intercept,0,0.2807,-0.0458878193778719,0.0458878193778566,CD
nlcd_urban_pct,-0.04,0.5666,-0.0811224663241611,0.0109601367689646,CD
soiltemp_Apr,-0.69,0.0598,-1.00288568392542,-0.377049602488965,CD
soiltemp_Jul,0.59,0.0027,0.399329142488584,0.771861512627523,CD
R-Squared:,0.0900707322509634,NA,NA,NA,CD
F-Statistic:,23.162845831813,NA,NA,NA,CD
F p-value:,0.0035,NA,NA,NA,CD
distance_to_city_center,-0.07,0.4747,-0.100667221605941,-0.040828687137335,DS
geodist,0.26,1e-4,0.213969332586819,0.309637643861874,DS
Intercept,0,0.0803,-0.0287769042585592,0.0287769042585743,DS
nlcd_urban_pct,0.03,0.6047,-2.72439714225445e-4,0.0574211032303183,DS
soiltemp_Apr,1.1,1e-4,0.918151316590824,1.28395374873066,DS
soiltemp_Jul,-1.77,1e-4,-1.9569819658487,-1.57305219766906,DS
R-Squared:,0.284036780086208,NA,NA,NA,DS
F-Statistic:,185.664862919008,NA,NA,NA,DS
F p-value:,1e-4,NA,NA,NA,DS
distance_to_city_center,0.28,0.0013,0.222891432528036,0.343935775818898,EC
geodist,-0.04,0.6365,-0.155380161663412,0.0721141158831303,EC
Intercept,0,0.4512,-0.0572345778928614,0.057234577892852,EC
nlcd_urban_pct,-0.05,0.4057,-0.113651405404807,0.0057863875760468,EC
soiltemp_Apr,-0.19,0.0474,-0.389700419324807,0.00889733198368442,EC
soiltemp_Jul,0.65,1e-4,0.505864175880933,0.795011190172797,EC
R-Squared:,0.32906688147636,NA,NA,NA,EC
F-Statistic:,54.4412294391589,NA,NA,NA,EC
F p-value:,1e-4,NA,NA,NA,EC
distance_to_city_center,-0.36,5e-4,-0.397821347392241,-0.328002831133011,LS
geodist,-0.13,0.0945,-0.178206163815504,-0.0759297707494944,LS
Intercept,0,0.8986,-0.033601057666027,0.0336010576660285,LS
nlcd_urban_pct,0.04,0.4429,0.00456200686306745,0.0731657564740082,LS
soiltemp_Apr,0.2,0.1098,0.114099567611962,0.295560178876711,LS
soiltemp_Jul,0.03,0.8262,-0.0412285574864428,0.10946628721589,LS
R-Squared:,0.16157831768293,NA,NA,NA,LS
F-Statistic:,77.4723329304045,NA,NA,NA,LS
F p-value:,2e-4,NA,NA,NA,LS
distance_to_city_center,-0.13,0.2887,-0.175437057571388,-0.0821790290815706,PA
geodist,0.46,0.0073,0.325212743287174,0.601975003668197,PA
Intercept,0,0.5196,-0.0464542688269373,0.0464542688269334,PA
nlcd_urban_pct,0,0.9576,-0.0496727687578382,0.0433418052879951,PA
soiltemp_Apr,-0.42,0.1529,-0.686467066542572,-0.155134870884655,PA
soiltemp_Jul,0.15,0.5495,-0.0239223662132252,0.323545156735881,PA
R-Squared:,0.0674673388391742,NA,NA,NA,PA
F-Statistic:,16.9295489004262,NA,NA,NA,PA
F p-value:,0.0976,NA,NA,NA,PA
distance_to_city_center,0.05,0.5852,0.0215944350111306,0.0826828350985537,TO
geodist,-0.06,0.3368,-0.10082730644704,-0.0113832457018593,TO
Intercept,0,0.4746,-0.0301864546386671,0.0301864546386217,TO
nlcd_urban_pct,0,0.9869,-0.0315460060234173,0.0294924623375039,TO
soiltemp_Apr,0.32,0.0779,0.22325584041066,0.413248256001616,TO
soiltemp_Jul,-0.44,0.0465,-0.519954081558587,-0.35230786758212,TO
R-Squared:,0.0424339687478194,NA,NA,NA,TO
F-Statistic:,25.2060334598515,NA,NA,NA,TO
F p-value:,0.1653,NA,NA,NA,TO
