0,sample,species,city,population,type
,DS.BA.PIK.U.1,DS,BA,PIK,U
,DS.BA.GA.U.4,DS,BA,GA,U
,DS.BA.LH-1.M.4,DS,BA,LH-1,M
,DS.BA.LH-3.M.1,DS,BA,LH-3,M
,DS.BA.WB.U.2,DS,BA,WB,U
,DS.BA.LL-4.M.5,DS,BA,LL-4,M
,DS.BA.LH-2.M.5,DS,BA,LH-2,M
,DS.BA.TRC.U.3,DS,BA,TRC,U
,DS.BA.W3.M.2,DS,BA,W3,M
,DS.BA.RG-1.M.1,DS,BA,RG-1,M
,DS.BA.LL-3.M.3,DS,BA,LL-3,M
,DS.BA.RG-2.M.4,DS,BA,RG-2,M
,DS.BO.HC1.M.3,DS,BO,HC1,M
,DS.BO.HC4.M.5,DS,BO,HC4,M
,DS.BO.LC1.M.3,DS,BO,LC1,M
,DS.BO.LC2.M.2,DS,BO,LC2,M
,DS.BO.LC3.M.5,DS,BO,LC3,M
,DS.BO.WL1.M.2,DS,BO,WL1,M
,DS.BO.WL2.M.1,DS,BO,WL2,M
,DS.BO.WL3.M.5,DS,BO,WL3,M
,DS.BO.I4.U.1,DS,BO,I4,U
,DS.BO.R1.U.4,DS,BO,R1,U
,DS.BO.R2.U.2,DS,BO,R2,U
,DS.BO.R4.U.4,DS,BO,R4,U
,DS.MN.L05-DS.M.3,DS,MN,L05-DS,M
,DS.MN.L09-DS.M.3,DS,MN,L09-DS,M
,DS.MN.L11-DS.M.1,DS,MN,L11-DS,M
,DS.MN.L02-DS.U.1,DS,MN,L02-DS,U
,DS.MN.L02-DS.M.4,DS,MN,L02-DS,M
,DS.MN.L03-DS.U.3,DS,MN,L03-DS,U
,DS.MN.L04-DS.U.5,DS,MN,L04-DS,U
,DS.MN.L06-DS.U.3,DS,MN,L06-DS,U
,DS.MN.L07-DS.U.3,DS,MN,L07-DS,U
,DS.MN.L09-DS.U.3,DS,MN,L09-DS,U
,DS.MN.L11-DS.U.1,DS,MN,L11-DS,U
,DS.MN.L11-DS.U.5,DS,MN,L11-DS,U
,DS.PX.BUF.M.1,DS,PX,BUF,M
,DS.PX.PIE.M.2,DS,PX,PIE,M
,DS.PX.ALA.M.1,DS,PX,ALA,M
,DS.PX.MTN.M.6,DS,PX,MTN,M
,DS.PX.LAP.M.3,DS,PX,LAP,M
,DS.PX.NUE.M.4,DS,PX,NUE,M
,DS.PX.WES.M.2,DS,PX,WES,M
,DS.PX.DF1.M.1,DS,PX,DF1,M
,DS.PX.ENC.M.1,DS,PX,ENC,M
,DS.PX.DOW.M.1,DS,PX,DOW,M
,DS.PX.DOW.M.4,DS,PX,DOW,M
,DS.PX.DF2.M.3,DS,PX,DF2,M
,CD.BA.LA.U.2,CD,BA,LA,U
,CD.BA.TRC.U.3,CD,BA,TRC,U
,CD.BA.WGP.M.2,CD,BA,WGP,M
,CD.BA.LH-2.M.2,CD,BA,LH-2,M
,CD.BA.LL-4.M.1,CD,BA,LL-4,M
,CD.BA.PIK.U.2,CD,BA,PIK,U
,CD.BA.WB.U.2,CD,BA,WB,U
,CD.BA.CP.U.4,CD,BA,CP,U
,CD.BA.FH.U.1,CD,BA,FH,U
,CD.BA.PSP.M.4,CD,BA,PSP,M
,CD.BA.AA.U.4,CD,BA,AA,U
,CD.BA.RG-1.M.2,CD,BA,RG-1,M
,CD.BA.W3.M.3,CD,BA,W3,M
,CD.BA.GA.U.3,CD,BA,GA,U
,CD.BA.WBO.U.5,CD,BA,WBO,U
,CD.LA.WHI.M.3,CD,LA,WHI,M
,CD.LA.SEP.M.3,CD,LA,SEP,M
,CD.LA.SEP.M.4,CD,LA,SEP,M
,CD.LA.ROS.M.5,CD,LA,ROS,M
,CD.LA.MR2.M.2,CD,LA,MR2,M
