	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049
Pop001	0	0.975	0.954	0.95	0.949	0.858	0.947	0.951	0.851	0.851	0.956	0.854	0.932	1.065	0.944	1.138	1.063	1.137	1.112	1.137	1.061	1.076	1.114	1.133	1.072	1.078	1.129	1.052	1.076	1.12	1.141	1.123	1.119	1.138	1.141	1.134	1.027	1.155	1.071	1.134	1.094	1.046	1.08	1.136	1.086	1.14	1.155	1.074	1.153
Pop002	0.975	0	0.955	0.936	0.94	0.835	0.957	0.958	0.827	0.825	0.954	0.83	0.915	1.054	0.939	1.127	1.06	1.127	1.099	1.128	1.047	1.065	1.101	1.121	1.046	1.06	1.111	1.021	1.05	1.1	1.13	1.113	1.106	1.13	1.132	1.125	1.016	1.14	1.06	1.122	1.073	1.03	1.058	1.122	1.063	1.12	1.146	1.055	1.141
Pop003	0.954	0.955	0	0.921	0.927	0.864	0.942	0.933	0.856	0.856	0.95	0.858	0.924	1.069	0.936	1.147	1.067	1.143	1.117	1.146	1.061	1.084	1.118	1.142	1.08	1.078	1.129	1.051	1.078	1.123	1.149	1.134	1.134	1.154	1.151	1.147	1.03	1.168	1.085	1.14	1.096	1.052	1.086	1.144	1.089	1.146	1.165	1.077	1.158
Pop004	0.95	0.936	0.921	0	0.914	0.83	0.937	0.937	0.824	0.824	0.93	0.826	0.901	1.045	0.913	1.13	1.059	1.13	1.099	1.133	1.041	1.065	1.101	1.131	1.058	1.062	1.11	1.031	1.068	1.109	1.128	1.115	1.11	1.136	1.133	1.124	1.004	1.155	1.058	1.127	1.084	1.028	1.07	1.132	1.071	1.125	1.151	1.056	1.143
Pop005	0.949	0.94	0.927	0.914	0	0.836	0.933	0.932	0.828	0.827	0.927	0.83	0.896	1.044	0.91	1.14	1.061	1.131	1.106	1.133	1.043	1.073	1.108	1.129	1.059	1.061	1.116	1.034	1.07	1.098	1.135	1.12	1.117	1.139	1.136	1.133	0.995	1.153	1.061	1.128	1.084	1.031	1.066	1.131	1.074	1.137	1.152	1.053	1.149
Pop006	0.858	0.835	0.864	0.83	0.836	0	0.828	0.854	0.185	0.222	0.859	0.178	0.81	0.846	0.854	0.813	0.862	0.847	0.837	0.849	0.81	0.839	0.798	0.818	0.777	0.859	0.896	0.777	0.797	0.863	0.833	0.837	0.816	0.839	0.834	0.825	0.863	0.859	0.79	0.818	0.815	0.748	0.792	0.842	0.805	0.832	0.901	0.785	0.853
Pop007	0.947	0.957	0.942	0.937	0.933	0.828	0	0.933	0.82	0.82	0.952	0.822	0.916	1.055	0.93	1.126	1.052	1.122	1.09	1.122	1.038	1.066	1.094	1.117	1.051	1.057	1.116	1.035	1.06	1.091	1.124	1.111	1.103	1.128	1.122	1.117	0.988	1.139	1.053	1.115	1.073	1.029	1.064	1.12	1.06	1.123	1.147	1.055	1.14
Pop008	0.951	0.958	0.933	0.937	0.932	0.854	0.933	0	0.846	0.846	0.939	0.848	0.929	1.063	0.936	1.142	1.062	1.145	1.112	1.146	1.06	1.081	1.113	1.137	1.071	1.074	1.116	1.051	1.069	1.117	1.144	1.126	1.121	1.15	1.143	1.139	1.025	1.162	1.068	1.138	1.091	1.043	1.081	1.14	1.079	1.139	1.159	1.066	1.15
Pop009	0.851	0.827	0.856	0.824	0.828	0.185	0.82	0.846	0	0.174	0.852	0.166	0.802	0.839	0.847	0.804	0.853	0.838	0.828	0.84	0.801	0.831	0.789	0.81	0.769	0.85	0.888	0.769	0.79	0.855	0.824	0.829	0.807	0.83	0.824	0.816	0.858	0.852	0.783	0.81	0.807	0.738	0.783	0.835	0.799	0.825	0.892	0.779	0.845
Pop010	0.851	0.825	0.856	0.824	0.827	0.222	0.82	0.846	0.174	0	0.851	0.19	0.801	0.838	0.847	0.804	0.852	0.836	0.829	0.839	0.803	0.829	0.789	0.808	0.768	0.851	0.888	0.768	0.79	0.854	0.823	0.829	0.808	0.83	0.824	0.816	0.857	0.851	0.782	0.808	0.806	0.738	0.782	0.833	0.797	0.825	0.891	0.779	0.845
Pop011	0.956	0.954	0.95	0.93	0.927	0.859	0.952	0.939	0.852	0.851	0	0.853	0.921	1.047	0.95	1.146	1.071	1.141	1.111	1.149	1.056	1.086	1.117	1.14	1.07	1.076	1.123	1.05	1.082	1.122	1.148	1.127	1.129	1.149	1.144	1.146	1.036	1.169	1.072	1.143	1.099	1.042	1.085	1.144	1.084	1.144	1.167	1.07	1.155
Pop012	0.854	0.83	0.858	0.826	0.83	0.178	0.822	0.848	0.166	0.19	0.853	0	0.804	0.841	0.849	0.806	0.856	0.84	0.832	0.843	0.804	0.833	0.792	0.812	0.771	0.853	0.89	0.771	0.792	0.857	0.827	0.831	0.809	0.833	0.827	0.819	0.86	0.854	0.785	0.812	0.809	0.741	0.786	0.837	0.8	0.827	0.895	0.782	0.847
Pop013	0.932	0.915	0.924	0.901	0.896	0.81	0.916	0.929	0.802	0.801	0.921	0.804	0	1.035	0.908	1.127	1.053	1.119	1.088	1.125	1.023	1.049	1.097	1.116	1.042	1.053	1.108	1.018	1.047	1.099	1.124	1.107	1.106	1.128	1.122	1.119	0.99	1.139	1.049	1.115	1.065	1.018	1.056	1.118	1.055	1.121	1.143	1.05	1.141
Pop014	1.065	1.054	1.069	1.045	1.044	0.846	1.055	1.063	0.839	0.838	1.047	0.841	1.035	0	1.061	1.049	1.061	1.065	1.053	1.06	1.047	1.043	1.037	1.09	1.093	1.051	1.075	1.017	1.099	1.093	1.054	1.108	1.102	1.086	1.104	1.091	1.077	1.08	1.09	1.083	1.121	1.056	1.067	1.116	1.112	1.095	1.092	1.093	1.097
