	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049	Pop050	Pop051	Pop052	Pop053	Pop054	Pop055	Pop056	Pop057	Pop058	Pop059	Pop060	Pop061	Pop062	Pop063	Pop064	Pop065	Pop066	Pop067	Pop068	Pop069
Pop001	0	0.947	0.962	0.974	0.96	0.962	0.992	0.971	0.981	0.979	0.977	0.938	0.985	0.969	0.954	0.973	0.958	0.989	1.016	1.026	0.77	0.988	1.047	1.008	0.989	0.976	0.996	1.002	0.956	1.012	0.765	1.016	0.812	0.991	1.004	0.98	0.983	1.018	1.001	1.008	1.03	1.064	0.996	0.986	0.992	0.998	0.993	1.012	1.018	0.998	1.014	1.024	0.985	0.986	1.028	1.004	0.982	0.884	0.774	0.764	0.773	0.773	0.777	0.777	0.778	0.777	0.774	0.778	0.773
Pop002	0.947	0	0.932	0.959	0.94	0.909	0.937	0.936	0.94	0.979	0.927	0.9	0.969	0.944	0.94	0.918	0.947	0.957	0.995	0.991	0.728	0.964	1.032	0.985	0.953	0.972	0.991	0.995	0.92	0.995	0.722	0.972	0.773	0.948	0.999	0.966	0.989	0.999	0.963	0.983	0.994	1.042	0.972	0.977	0.964	0.982	0.98	0.972	0.994	0.976	0.989	1.017	0.962	0.982	1.017	0.981	0.95	0.851	0.733	0.723	0.732	0.732	0.736	0.735	0.735	0.736	0.733	0.737	0.732
Pop003	0.962	0.932	0	0.952	0.958	0.938	0.956	0.949	0.952	0.955	0.958	0.937	0.974	0.957	0.958	0.95	0.955	0.987	1.014	1.023	0.764	0.994	1.047	1.007	0.969	0.991	0.995	1.002	0.957	1.019	0.758	1.003	0.806	0.97	1.024	1.002	1.007	1.041	0.994	1.013	1.038	1.058	0.989	0.998	0.995	1.006	0.991	1.016	1.017	1.004	1.025	1.028	0.986	0.999	1.048	1.002	0.991	0.873	0.767	0.759	0.767	0.766	0.771	0.771	0.771	0.771	0.768	0.773	0.767
Pop004	0.974	0.959	0.952	0	0.944	0.944	0.981	0.98	0.973	0.951	0.974	0.958	0.982	0.972	0.973	0.952	0.958	0.982	1.021	1.034	0.778	1.011	1.047	1.009	0.997	0.995	0.993	1.003	0.972	1.016	0.772	1.012	0.817	0.975	1.022	1.005	1.016	1.043	1.008	1.017	1.033	1.07	1.013	0.996	1.002	1.001	1.011	1.023	1.032	1.012	1.032	1.031	1.002	0.992	1.048	1.021	1.006	0.888	0.781	0.773	0.781	0.781	0.785	0.784	0.784	0.784	0.782	0.786	0.781
Pop005	0.96	0.94	0.958	0.944	0	0.952	0.986	0.977	0.99	0.964	0.967	0.946	0.988	0.968	0.953	0.974	0.944	0.991	1.021	1.044	0.771	1.005	1.053	1.014	0.996	0.991	0.998	0.992	0.973	1.013	0.766	1.02	0.813	0.985	1.006	0.984	0.996	1.036	1.008	1.006	1.033	1.065	1.003	0.985	0.994	0.995	0.998	1.021	1.032	1.001	1.03	1.027	0.992	0.982	1.037	1.017	1.009	0.88	0.775	0.765	0.774	0.774	0.779	0.777	0.778	0.777	0.776	0.779	0.774
Pop006	0.962	0.909	0.938	0.944	0.952	0	0.925	0.935	0.926	0.98	0.912	0.923	0.974	0.939	0.942	0.901	0.949	0.955	0.99	0.987	0.726	0.969	1.031	0.986	0.968	0.977	0.98	1.002	0.936	1.005	0.72	0.964	0.77	0.938	0.987	0.963	0.995	1	0.952	0.98	0.997	1.041	0.975	0.971	0.969	0.976	0.981	0.97	0.99	0.966	1.006	1.007	0.961	0.979	1.017	0.982	0.958	0.839	0.729	0.72	0.729	0.729	0.733	0.731	0.732	0.734	0.73	0.735	0.729
Pop007	0.992	0.937	0.956	0.981	0.986	0.925	0	0.952	0.933	0.998	0.943	0.942	0.987	0.965	0.972	0.915	0.982	0.97	0.995	0.989	0.752	0.97	1.023	1.004	0.958	0.987	1.014	1.019	0.939	1.026	0.747	0.971	0.795	0.966	1.019	0.99	1.004	1.009	0.959	0.999	1.012	1.041	0.981	0.993	0.981	0.99	0.987	0.986	0.985	0.982	1.015	1.012	0.971	0.997	1.042	0.978	0.964	0.871	0.755	0.747	0.755	0.756	0.76	0.758	0.76	0.76	0.757	0.761	0.757
Pop008	0.971	0.936	0.949	0.98	0.977	0.935	0.952	0	0.943	0.98	0.959	0.933	0.953	0.957	0.954	0.944	0.976	0.971	1.001	1.014	0.758	0.99	1.032	1.001	0.964	0.983	0.991	1.017	0.955	1.036	0.752	0.995	0.801	0.982	1.011	0.998	1.009	1.019	0.982	1.004	1.007	1.046	0.987	0.997	1.004	0.998	0.999	1.011	1.017	1	1.018	1.03	0.988	0.995	1.032	0.996	0.989	0.88	0.762	0.752	0.761	0.761	0.766	0.765	0.765	0.765	0.762	0.767	0.762
Pop009	0.981	0.94	0.952	0.973	0.99	0.926	0.933	0.943	0	0.99	0.942	0.943	0.976	0.952	0.968	0.91	0.985	0.987	1.011	1.012	0.774	0.997	1.047	1.011	0.982	0.997	1.007	1.022	0.96	1.026	0.769	0.981	0.815	0.976	1.03	1.007	1.016	1.03	0.987	1.016	1.033	1.054	1.004	1.01	1.007	1.01	1.008	1.008	1.01	1.01	1.026	1.046	0.993	1.008	1.047	1.005	0.988	0.891	0.778	0.769	0.776	0.777	0.781	0.78	0.781	0.781	0.779	0.783	0.778
Pop010	0.979	0.979	0.955	0.951	0.964	0.98	0.998	0.98	0.99	0	0.998	0.985	0.982	0.969	0.981	0.988	0.985	1.008	1.014	1.055	0.792	1.015	1.058	1.01	0.996	0.992	0.992	1.009	0.993	1.035	0.788	1.038	0.83	0.999	1.024	1.009	1.011	1.054	1.019	1.023	1.052	1.073	0.997	0.998	1.006	1.007	0.997	1.052	1.035	1.02	1.038	1.04	0.995	0.985	1.057	1.018	1.033	0.918	0.796	0.787	0.795	0.795	0.799	0.798	0.798	0.799	0.796	0.801	0.796
