	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049	Pop050	Pop051	Pop052	Pop053	Pop054	Pop055	Pop056	Pop057	Pop058	Pop059	Pop060	Pop061	Pop062	Pop063	Pop064	Pop065	Pop066	Pop067	Pop068	Pop069
Pop001	0	-0.016	-0.013	-0.005	-0.005	0.016	0.026	-0.014	0.042	0.024	0.014	-0.039	0.005	-0.002	-0.02	0.009	-0.009	0.032	0.017	0.032	-0.895	0.038	0.022	0.02	0.206	0.043	-0.016	0.004	-0.024	0.004	-0.181	0.041	0.123	0.023	0.036	0.019	0.011	0.018	0.044	-0.006	0.018	0.021	0.068	0.021	0.023	0.022	0.026	0.031	0.02	0.023	0.011	0.003	0.048	0.045	-0.012	0.005	0.012	-0.164	-0.871	-0.937	-0.877	0.019	0.194	0.198	0.199	0.124	-0.165	0.121	0.123
Pop002	-0.016	0	-0.044	-0.003	-0.012	0	-0.026	-0.049	-0.01	-0.002	-0.051	-0.059	-0.02	-0.011	-0.029	-0.004	-0.02	0.049	-0.013	0.029	-0.93	0.07	0.038	-0.002	0.175	0.051	-0.028	-0.025	-0.024	0.004	-0.004	0.004	0.333	-0.009	0.072	0.037	-0.005	0.021	0.05	-0.04	0.004	-0.01	0.038	0.002	0.003	0.01	0	0.007	-0.01	0.013	-0.006	-0.034	0.024	0.052	-0.041	-0.022	-0.011	-0.199	-0.903	-0.969	-0.912	0.238	0.445	0.451	0.448	0.367	0.007	0.363	0.367
Pop003	-0.013	-0.044	0	-0.015	-0.001	-0.016	0.004	-0.003	0.009	0.02	-0.012	-0.062	0.009	-0.001	-0.011	-0.022	-0.006	0.023	0.035	0.029	-0.895	0.028	0.024	0.027	0.106	0.035	-0.002	0.027	-0.05	0.017	-0.239	0.013	0.033	0.013	0.041	0.018	0.037	0.034	0.035	0.024	0.031	0.027	0.046	0.035	0.03	0.042	0.03	0.032	0.029	0.034	0.029	0.026	0.035	0.055	0.024	0.024	-0.001	-0.25	-0.878	-0.93	-0.882	-0.064	0.082	0.084	0.086	0.024	-0.223	0.022	0.023
Pop004	-0.005	-0.003	-0.015	0	-0.016	-0.016	0.018	-0.005	0.049	0.022	0.019	-0.025	0.016	-0.003	-0.012	-0.02	-0.016	0.004	0.024	0.02	-0.909	0.021	0.009	0.023	0.22	0.057	-0.012	0.021	-0.025	0.005	-0.254	0.038	0.021	0.013	0.026	0.016	0.039	0.019	0.027	0.006	0.014	0.032	0.085	0.029	0.03	0.021	0.04	0.035	0.035	0.022	0.016	0.018	0.064	0.048	0.004	0.013	0.026	-0.152	-0.888	-0.954	-0.892	-0.077	0.067	0.069	0.07	0.009	-0.235	0.007	0.008
Pop005	-0.005	-0.012	-0.001	-0.016	0	-0.001	0.032	0.003	0.065	0.034	0.022	-0.031	0.025	0.004	-0.013	0.003	-0.018	0.021	0.034	0.037	-0.876	0.033	0.024	0.033	0.208	0.059	0.002	0.021	-0.014	0.013	-0.235	0.054	0.038	0.028	0.031	0.014	0.035	0.028	0.039	0.011	0.026	0.036	0.085	0.031	0.034	0.032	0.04	0.041	0.041	0.032	0.026	0.026	0.063	0.048	0.011	0.021	0.036	-0.162	-0.858	-0.92	-0.864	-0.061	0.085	0.087	0.088	0.027	-0.217	0.025	0.025
Pop006	0.016	0	-0.016	-0.016	-0.001	0	-0.002	-0.035	0.052	0.05	0.004	-0.002	0.021	-0.014	-0.022	-0.022	-0.013	0.014	0.008	0.012	-0.853	0.035	0.021	0.027	0.318	0.098	-0.02	0.014	0.012	0.009	-0.169	0.049	0.131	0.008	0.037	0.026	0.036	0.011	0.022	-0.021	0.003	0.024	0.1	0.027	0.029	0.009	0.037	0.022	0.019	0.007	0.01	-0.003	0.079	0.067	-0.019	-0.008	0.04	-0.062	-0.832	-0.904	-0.836	0.03	0.202	0.207	0.207	0.135	-0.147	0.131	0.134
Pop007	0.026	-0.026	0.004	0.018	0.032	-0.002	0	-0.008	-0.007	0.042	-0.024	-0.035	0.022	0.014	0.011	-0.017	0.02	0.041	0.024	0.029	-0.877	0.05	0.033	0.031	0.119	0.054	0.015	0.037	-0.035	0.037	-0.167	0.003	0.137	0.017	0.067	0.039	0.038	0.034	0.041	0.015	0.03	0.019	0.054	0.041	0.034	0.042	0.034	0.029	0.016	0.038	0.03	0.015	0.036	0.069	0.018	0.014	-0.003	-0.223	-0.858	-0.912	-0.862	0.032	0.21	0.212	0.213	0.139	-0.151	0.136	0.138
Pop008	-0.014	-0.049	-0.003	-0.005	0.003	-0.035	-0.008	0	-0.01	0.032	-0.026	-0.078	-0.009	-0.008	-0.014	-0.039	-0.002	-0.002	0.026	0.012	-0.906	0.007	0.004	0.016	0.072	0.014	-0.007	0.041	-0.067	0.02	-0.271	-0.008	-0.02	0.012	0.019	0.001	0.034	0.013	0.015	0.024	0.007	0.016	0.036	0.029	0.028	0.039	0.031	0.019	0.022	0.026	0.019	0.031	0.022	0.045	0.021	0.023	-0.019	-0.272	-0.891	-0.941	-0.895	-0.11	0.017	0.019	0.02	-0.032	-0.256	-0.034	-0.034
Pop009	0.042	-0.01	0.009	0.049	0.065	0.052	-0.007	-0.01	0	0.022	-0.029	-0.01	0.008	0.032	0.031	0.029	0.051	0.116	0.037	0.085	-0.842	0.137	0.093	0.049	0.112	0.075	0.018	0.027	0.022	0.07	0.049	0.02	0.379	0.042	0.136	0.1	0.043	0.081	0.109	0.022	0.071	0.024	0.063	0.056	0.064	0.065	0.05	0.062	0.029	0.076	0.063	0.02	0.055	0.096	0.019	0.033	0.034	-0.233	-0.823	-0.872	-0.83	0.283	0.485	0.491	0.489	0.409	0.059	0.406	0.41
Pop010	0.024	-0.002	0.02	0.022	0.034	0.05	0.042	0.032	0.022	0	0.018	-0.013	0.018	0.036	0.038	0.042	0.044	0.084	0.053	0.091	-0.818	0.1	0.075	0.043	0.066	0.036	0.019	0.04	-0.003	0.06	-0.127	0.046	0.17	0.049	0.093	0.061	0.052	0.08	0.096	0.05	0.076	0.05	0.051	0.048	0.057	0.072	0.05	0.081	0.055	0.076	0.069	0.048	0.039	0.061	0.048	0.06	0.041	-0.245	-0.801	-0.845	-0.807	0.068	0.246	0.249	0.249	0.174	-0.115	0.172	0.174
