	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034
Pop001	0	0.96	0.963	0.887	0.912	0.959	0.945	0.919	0.965	0.942	0.964	0.969	0.895	1.035	1.017	1.016	1.037	0.992	1.019	1.018	1.059	1.028	1.034	1.011	1.128	0.99	1.185	1.071	1.138	0.981	1.08	1.037	1.133	1.01
Pop002	0.96	0	0.942	0.89	0.913	0.945	0.949	0.916	0.973	0.958	0.982	0.966	0.897	1.032	1.013	1.035	1.059	0.98	1.027	1.032	1.053	1.04	1.067	1.027	1.149	1.001	1.194	1.078	1.165	0.981	1.091	1.058	1.135	1.015
Pop003	0.963	0.942	0	0.91	0.937	0.937	0.948	0.92	0.961	0.956	0.976	0.948	0.904	1.055	1.035	1.024	1.065	1.007	1.036	1.038	1.07	1.036	1.069	1.034	1.152	1.005	1.199	1.087	1.166	0.988	1.099	1.061	1.142	1.026
Pop004	0.887	0.89	0.91	0	0.797	0.871	0.876	0.798	0.912	0.872	0.909	0.901	0.765	0.93	0.91	0.914	0.931	0.874	0.916	0.923	0.953	0.93	0.941	0.906	1.045	0.895	1.103	0.97	1.048	0.871	0.991	0.942	1.031	0.908
Pop005	0.912	0.913	0.937	0.797	0	0.877	0.892	0.808	0.939	0.888	0.931	0.923	0.777	0.963	0.948	0.954	0.975	0.909	0.958	0.967	1.001	0.954	0.977	0.94	1.067	0.921	1.123	0.996	1.086	0.894	1.015	0.983	1.071	0.93
Pop006	0.959	0.945	0.937	0.871	0.877	0	0.938	0.882	0.97	0.954	0.986	0.968	0.872	1.013	1.006	1.003	1.026	0.957	1.004	1.026	1.04	1.005	1.03	0.995	1.11	0.974	1.156	1.044	1.13	0.949	1.061	1.03	1.116	0.986
Pop007	0.945	0.949	0.948	0.876	0.892	0.938	0	0.893	0.962	0.934	0.964	0.961	0.871	1.031	1.006	1.011	1.038	0.977	1.01	1.013	1.051	1.027	1.032	0.995	1.122	0.973	1.166	1.052	1.125	0.945	1.066	1.028	1.102	0.986
Pop008	0.919	0.916	0.92	0.798	0.808	0.882	0.893	0	0.934	0.896	0.93	0.925	0.794	0.967	0.956	0.937	0.98	0.917	0.959	0.97	1.007	0.966	0.975	0.961	1.08	0.935	1.139	1.01	1.102	0.91	1.024	0.982	1.074	0.951
Pop009	0.965	0.973	0.961	0.912	0.939	0.97	0.962	0.934	0	0.953	0.986	0.968	0.908	1.059	1.03	1.031	1.054	1.001	1.051	1.038	1.06	1.034	1.058	1.014	1.125	0.99	1.177	1.064	1.135	0.976	1.071	1.04	1.12	1.011
Pop010	0.942	0.958	0.956	0.872	0.888	0.954	0.934	0.896	0.953	0	0.947	0.97	0.865	1.013	1.004	1.006	1.037	0.971	1.011	1.019	1.044	1.008	1.032	0.997	1.104	0.977	1.163	1.055	1.132	0.952	1.062	1.022	1.108	0.987
