	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034
Pop001	0	-0.011	-0.011	-0.069	-0.016	0.016	-0.013	0.018	-0.011	-0.018	-0.012	-0.025	-0.13	0.036	0.035	0.069	0.021	0.021	0.011	-0.003	0.036	0.031	0.031	0.073	0.091	0.077	0.084	0.074	0.125	0.052	0.105	0.244	0.084	0.11
Pop002	-0.011	0	-0.007	-0.092	-0.022	0.02	0.002	-0.004	-0.004	-0.018	0.011	-0.005	-0.122	0.034	0.05	0.088	0.057	0.019	0.029	0.026	0.057	0.045	0.072	0.055	0.115	0.085	0.105	0.08	0.162	0.02	0.107	0.258	0.092	0.077
Pop003	-0.011	-0.007	0	-0.083	-0.013	0.005	0.002	-0.004	-0.011	-0.02	0.015	-0.012	-0.13	0.044	0.057	0.081	0.059	0.024	0.039	0.033	0.062	0.037	0.076	0.056	0.111	0.061	0.105	0.077	0.16	0.012	0.102	0.232	0.09	0.083
Pop004	-0.069	-0.092	-0.083	0	0.022	0.02	-0.058	0.003	-0.041	-0.042	-0.079	-0.104	0.148	-0.042	-0.041	0.013	-0.093	-0.043	-0.097	-0.102	-0.073	0.015	-0.079	0.082	0.038	0.367	-0.003	0.086	0.041	0.147	0.136	0.489	0.019	0.11
Pop005	-0.016	-0.022	-0.013	0.022	0	0.026	-0.022	0.033	0.018	0.012	-0.01	-0.041	0	0.037	0.026	0.07	-0.016	0.024	-0.011	-0.024	0.009	0.046	-0.016	0.135	0.089	0.274	0.056	0.114	0.101	0.158	0.158	0.416	0.085	0.161
Pop006	0.016	0.02	0.005	0.02	0.026	0	0.01	0.077	0.027	0.047	0.042	-0.006	-0.141	0.079	0.057	0.088	0.029	0.045	0.032	0.03	0.041	0.041	0.03	0.155	0.111	0.079	0.089	0.094	0.128	0.126	0.132	0.24	0.109	0.197
Pop007	-0.013	0.002	0.002	-0.058	-0.022	0.01	0	0.025	0.005	0	0.016	-0.015	-0.172	0.061	0.052	0.084	0.049	0.035	0.035	0.016	0.056	0.043	0.051	0.083	0.109	0.041	0.093	0.069	0.134	0.036	0.104	0.215	0.086	0.12
Pop008	0.018	-0.004	-0.004	0.003	0.033	0.077	0.025	0	0.038	0.023	0.01	-0.002	0.07	0.046	0.066	0.093	0.024	0.051	0.013	0.017	0.046	0.103	0.038	0.14	0.136	0.317	0.099	0.164	0.156	0.155	0.196	0.439	0.115	0.154
Pop009	-0.011	-0.004	-0.011	-0.041	0.018	0.027	0.005	0.038	0	-0.011	0.006	-0.026	-0.093	0.056	0.049	0.086	0.031	0.03	0.027	0.014	0.039	0.039	0.042	0.078	0.095	0.089	0.079	0.076	0.121	0.049	0.101	0.257	0.081	0.115
Pop010	-0.018	-0.018	-0.02	-0.042	0.012	0.047	0	0.023	-0.011	0	-0.016	-0.024	-0.042	0.026	0.041	0.079	0.018	0.02	0.005	0	0.026	0.047	0.027	0.083	0.093	0.171	0.071	0.099	0.123	0.069	0.127	0.326	0.082	0.108
Pop011	-0.012	0.011	0.015	-0.079	-0.01	0.042	0.016	0.01	0.006	-0.016	0	0.009	-0.125	0.044	0.052	0.097	0.049	0.034	0.041	0.029	0.071	0.038	0.076	0.059	0.117	0.071	0.11	0.077	0.164	0.02	0.109	0.232	0.095	0.085
Pop012	-0.025	-0.005	-0.012	-0.104	-0.041	-0.006	-0.015	-0.002	-0.026	-0.024	0.009	0	-0.207	0.033	0.035	0.066	0.043	0.007	0.022	0.011	0.039	0.006	0.055	0.043	0.095	-0.017	0.091	0.044	0.14	-0.013	0.072	0.165	0.077	0.072
Pop013	-0.13	-0.122	-0.13	0.148	0	-0.141	-0.172	0.07	-0.093	-0.042	-0.125	-0.207	0	-0.037	-0.138	-0.071	-0.192	-0.08	-0.162	-0.203	-0.18	-0.153	-0.234	0.154	-0.074	NA	-0.102	-0.037	-0.089	0.261	0.029	NA	-0.054	0.213
Pop014	0.036	0.034	0.044	-0.042	0.037	0.079	0.061	0.046	0.056	0.026	0.044	0.033	-0.037	0	0.011	0.07	0.008	0.01	0.004	-0.004	0.026	0.031	0.035	0.064	0.108	0.114	0.092	0.082	0.146	0.042	0.113	0.29	0.1	0.089
Pop015	0.035	0.05	0.057	-0.041	0.026	0.057	0.052	0.066	0.049	0.041	0.052	0.035	-0.138	0.011	0	0.069	-0.027	-0.007	0.01	-0.022	0.009	-0.032	0.022	0.072	0.105	0.014	0.095	0.058	0.143	0.036	0.088	0.197	0.093	0.116
Pop016	0.069	0.088	0.081	0.013	0.07	0.088	0.084	0.093	0.086	0.079	0.097	0.066	-0.071	0.07	0.069	0	0.057	0.022	0.023	0.038	0.048	0.053	-0.014	0.126	0.14	0.084	0.123	0.11	0.173	0.089	0.137	0.248	0.132	0.162
Pop017	0.021	0.057	0.059	-0.093	-0.016	0.029	0.049	0.024	0.031	0.018	0.049	0.043	-0.192	0.008	-0.027	0.057	0	-0.009	0.026	-0.006	0.032	-0.06	0.042	0.034	0.093	-0.054	0.102	0.027	0.151	-0.021	0.055	0.119	0.079	0.069
Pop018	0.021	0.019	0.024	-0.043	0.024	0.045	0.035	0.051	0.03	0.02	0.034	0.007	-0.08	0.01	-0.007	0.022	-0.009	0	-0.024	-0.026	-0.009	0.002	-0.007	0.081	0.104	0.109	0.086	0.085	0.141	0.056	0.116	0.264	0.087	0.113
Pop019	0.011	0.029	0.039	-0.097	-0.011	0.032	0.035	0.013	0.027	0.005	0.041	0.022	-0.162	0.004	0.01	0.023	0.026	-0.024	0	-0.005	0.009	-0.009	0.018	0.038	0.1	0.014	0.095	0.049	0.15	-0.006	0.077	0.182	0.079	0.066
Pop020	-0.003	0.026	0.033	-0.102	-0.024	0.03	0.016	0.017	0.014	0	0.029	0.011	-0.203	-0.004	-0.022	0.038	-0.006	-0.026	-0.005	0	0.01	-0.044	0.028	0.033	0.086	-0.032	0.086	0.032	0.14	-0.016	0.058	0.152	0.072	0.068
Pop021	0.036	0.057	0.062	-0.073	0.009	0.041	0.056	0.046	0.039	0.026	0.071	0.039	-0.18	0.026	0.009	0.048	0.032	-0.009	0.009	0.01	0	-0.01	0.028	0.055	0.096	-0.036	0.1	0.046	0.143	0.001	0.067	0.146	0.079	0.092
Pop022	0.031	0.045	0.037	0.015	0.046	0.041	0.043	0.103	0.039	0.047	0.038	0.006	-0.153	0.031	-0.032	0.053	-0.06	0.002	-0.009	-0.044	-0.01	0	-0.014	0.111	0.078	0.023	0.06	0.054	0.099	0.089	0.096	0.191	0.075	0.156
Pop023	0.031	0.072	0.076	-0.079	-0.016	0.03	0.051	0.038	0.042	0.027	0.076	0.055	-0.234	0.035	0.022	-0.014	0.042	-0.007	0.018	0.028	0.028	-0.014	0	0.051	0.101	-0.074	0.104	0.034	0.152	-0.014	0.057	0.096	0.087	0.094
Pop024	0.073	0.055	0.056	0.082	0.135	0.155	0.083	0.14	0.078	0.083	0.059	0.043	0.154	0.064	0.072	0.126	0.034	0.081	0.038	0.033	0.055	0.111	0.051	0	0.035	0.126	-0.011	0.039	0.07	-0.009	0.042	0.359	0.039	-0.006
Pop025	0.091	0.115	0.111	0.038	0.089	0.111	0.109	0.136	0.095	0.093	0.117	0.095	-0.074	0.108	0.105	0.14	0.093	0.104	0.1	0.086	0.096	0.078	0.101	0.035	0	-0.087	-0.038	-0.04	-0.009	-0.013	-0.032	0.068	-0.03	0.073
Pop026	0.077	0.085	0.061	0.367	0.274	0.079	0.041	0.317	0.089	0.171	0.071	-0.017	NA	0.114	0.014	0.084	-0.054	0.109	0.014	-0.032	-0.036	0.023	-0.074	0.126	-0.087	0	-0.145	-0.045	-0.108	0.227	-0.057	NA	-0.015	0.202
Pop027	0.084	0.105	0.105	-0.003	0.056	0.089	0.093	0.099	0.079	0.071	0.11	0.091	-0.102	0.092	0.095	0.123	0.102	0.086	0.095	0.086	0.1	0.06	0.104	-0.011	-0.038	-0.145	0	-0.051	0.032	-0.067	-0.059	0.012	-0.019	0.023
Pop028	0.074	0.08	0.077	0.086	0.114	0.094	0.069	0.164	0.076	0.099	0.077	0.044	-0.037	0.082	0.058	0.11	0.027	0.085	0.049	0.032	0.046	0.054	0.034	0.039	-0.04	-0.045	-0.051	0	-0.032	0.047	-0.017	0.142	-0.019	0.103
Pop029	0.125	0.162	0.16	0.041	0.101	0.128	0.134	0.156	0.121	0.123	0.164	0.14	-0.089	0.146	0.143	0.173	0.151	0.141	0.15	0.14	0.143	0.099	0.152	0.07	-0.009	-0.108	0.032	-0.032	0	0.008	0.003	-0.022	-0.017	0.117
Pop030	0.052	0.02	0.012	0.147	0.158	0.126	0.036	0.155	0.049	0.069	0.02	-0.013	0.261	0.042	0.036	0.089	-0.021	0.056	-0.006	-0.016	0.001	0.089	-0.014	-0.009	-0.013	0.227	-0.067	0.047	0.008	0	0.028	0.457	0.005	0.018
Pop031	0.105	0.107	0.102	0.136	0.158	0.132	0.104	0.196	0.101	0.127	0.109	0.072	0.029	0.113	0.088	0.137	0.055	0.116	0.077	0.058	0.067	0.096	0.057	0.042	-0.032	-0.057	-0.059	-0.017	0.003	0.028	0	0.167	0.023	0.097
Pop032	0.244	0.258	0.232	0.489	0.416	0.24	0.215	0.439	0.257	0.326	0.232	0.165	NA	0.29	0.197	0.248	0.119	0.264	0.182	0.152	0.146	0.191	0.096	0.359	0.068	NA	0.012	0.142	-0.022	0.457	0.167	0	0.087	0.415
Pop033	0.084	0.092	0.09	0.019	0.085	0.109	0.086	0.115	0.081	0.082	0.095	0.077	-0.054	0.1	0.093	0.132	0.079	0.087	0.079	0.072	0.079	0.075	0.087	0.039	-0.03	-0.015	-0.019	-0.019	-0.017	0.005	0.023	0.087	0	0.084
Pop034	0.11	0.077	0.083	0.11	0.161	0.197	0.12	0.154	0.115	0.108	0.085	0.072	0.213	0.089	0.116	0.162	0.069	0.113	0.066	0.068	0.092	0.156	0.094	-0.006	0.073	0.202	0.023	0.103	0.117	0.018	0.097	0.415	0.084	0
