	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049	Pop050	Pop051	Pop052	Pop053	Pop054	Pop055	Pop056	Pop057	Pop058	Pop059	Pop060	Pop061	Pop062	Pop063	Pop064
Pop001	0	0.951	1.113	1.076	1.06	1.05	1.041	1.046	0.967	0.895	0.897	0.921	0.963	0.882	0.899	0.887	0.884	1.095	0.898	0.883	0.903	1.076	1.128	1.144	1.137	0.904	1.05	1.148	1.142	1.144	1.117	1.131	1.131	1.134	1.114	1.145	1.113	1.12	1.131	1.13	0.991	1.126	1.097	1.008	1.105	1.074	1.051	1.092	1.097	1.109	1.078	1.073	1.202	1.17	1.037	1.135	1.144	1.199	1.19	1.149	0.897	1.107	1.09	1.078
Pop002	0.951	0	0.955	0.961	0.91	0.915	0.958	0.944	0.685	0.539	0.545	0.58	0.712	0.508	0.532	0.526	0.518	0.988	0.546	0.531	0.554	0.941	0.912	0.949	0.945	0.561	0.83	0.948	0.957	0.973	0.924	0.956	0.948	0.96	0.929	0.936	0.946	0.963	0.957	0.943	0.744	0.964	0.927	0.795	0.939	0.948	0.955	0.957	0.956	0.968	0.951	0.909	1.011	0.985	0.795	0.926	0.95	1.013	1.009	0.965	0.548	0.884	0.879	0.854
Pop003	1.113	0.955	0	1.101	1.039	1.065	1.106	1.123	0.968	0.897	0.899	0.924	0.976	0.885	0.902	0.893	0.888	1.153	0.9	0.896	0.903	1.079	1.124	1.121	1.098	0.908	1.036	1.132	1.156	1.165	1.098	1.133	1.141	1.164	1.124	1.12	1.127	1.136	1.124	1.118	0.985	1.095	1.065	1.004	1.067	1.074	1.074	1.095	1.078	1.105	1.086	1.068	1.188	1.169	1.049	1.137	1.137	1.185	1.194	1.161	0.903	1.089	1.097	1.086
Pop004	1.076	0.961	1.101	0	1.06	1.054	1.099	1.093	0.982	0.907	0.911	0.933	0.972	0.896	0.912	0.902	0.898	1.087	0.912	0.907	0.914	1.095	1.131	1.136	1.124	0.918	1.05	1.141	1.14	1.159	1.114	1.148	1.129	1.126	1.131	1.133	1.123	1.139	1.143	1.134	1.013	1.112	1.093	1.031	1.103	1.087	1.107	1.092	1.111	1.103	1.083	1.085	1.203	1.177	1.054	1.15	1.15	1.205	1.203	1.166	0.913	1.109	1.098	1.099
Pop005	1.06	0.91	1.039	1.06	0	1.063	1.053	1.073	0.937	0.862	0.861	0.881	0.935	0.845	0.864	0.852	0.847	1.108	0.864	0.855	0.868	1.056	1.129	1.108	1.099	0.871	1.009	1.13	1.129	1.149	1.094	1.14	1.12	1.133	1.098	1.107	1.1	1.144	1.138	1.102	0.946	1.077	1.048	0.972	1.052	1.05	1.041	1.048	1.052	1.06	1.058	1.055	1.187	1.159	1.029	1.117	1.129	1.191	1.184	1.143	0.857	1.079	1.08	1.076
Pop006	1.05	0.915	1.065	1.054	1.063	0	1.071	1.037	0.933	0.852	0.854	0.878	0.937	0.837	0.857	0.844	0.84	1.114	0.856	0.848	0.86	1.033	1.079	1.096	1.106	0.862	1.023	1.093	1.11	1.119	1.073	1.121	1.086	1.13	1.102	1.093	1.094	1.104	1.095	1.099	0.978	1.085	1.048	0.995	1.064	1.077	1.056	1.075	1.065	1.095	1.066	1.07	1.164	1.139	1.012	1.098	1.109	1.161	1.156	1.128	0.856	1.067	1.052	1.049
Pop007	1.041	0.958	1.106	1.099	1.053	1.071	0	1.053	0.974	0.902	0.902	0.928	0.981	0.888	0.907	0.895	0.89	1.093	0.903	0.893	0.905	1.066	1.135	1.12	1.14	0.906	1.06	1.156	1.152	1.151	1.116	1.14	1.13	1.136	1.114	1.148	1.113	1.14	1.126	1.126	1	1.117	1.104	1.021	1.118	1.081	1.052	1.111	1.087	1.116	1.095	1.095	1.197	1.175	1.048	1.142	1.14	1.205	1.192	1.153	0.9	1.108	1.095	1.083
Pop008	1.046	0.944	1.123	1.093	1.073	1.037	1.053	0	0.962	0.886	0.887	0.909	0.955	0.871	0.888	0.878	0.875	1.096	0.883	0.881	0.886	1.052	1.108	1.113	1.127	0.896	1.047	1.121	1.127	1.127	1.106	1.129	1.111	1.119	1.109	1.133	1.103	1.118	1.129	1.117	0.984	1.121	1.097	0.987	1.106	1.073	1.088	1.109	1.063	1.109	1.089	1.087	1.181	1.157	1.04	1.113	1.129	1.189	1.175	1.147	0.889	1.087	1.069	1.081
Pop009	0.967	0.685	0.968	0.982	0.937	0.933	0.974	0.962	0	0.572	0.581	0.517	0.745	0.547	0.585	0.559	0.555	1.002	0.572	0.559	0.584	0.958	0.943	0.958	0.947	0.598	0.84	0.965	0.977	0.991	0.927	0.972	0.948	0.977	0.943	0.954	0.954	0.969	0.974	0.953	0.79	0.988	0.945	0.805	0.961	0.962	0.964	0.975	0.973	0.989	0.967	0.923	1.018	0.983	0.82	0.942	0.951	0.999	1.019	0.976	0.577	0.891	0.89	0.878
Pop010	0.895	0.539	0.897	0.907	0.862	0.852	0.902	0.886	0.572	0	0.377	0.451	0.605	0.305	0.357	0.333	0.293	0.937	0.353	0.329	0.342	0.889	0.852	0.885	0.864	0.396	0.741	0.892	0.901	0.921	0.861	0.901	0.872	0.906	0.869	0.879	0.869	0.905	0.906	0.879	0.672	0.92	0.872	0.693	0.877	0.885	0.887	0.908	0.894	0.924	0.892	0.844	0.965	0.915	0.703	0.872	0.873	0.955	0.959	0.901	0.37	0.801	0.792	0.781
