	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049	Pop050	Pop051	Pop052	Pop053	Pop054	Pop055	Pop056	Pop057	Pop058	Pop059	Pop060	Pop061	Pop062	Pop063	Pop064
Pop001	0	0	0	0.012	0.021	0	0.205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0.063	0.043	0.108	0	0	0.089	0.036	0.141	0	0	0.081	0.138	0.073	0	0.05	0.071	0.065	0.074	0	0.035	0	0	0	0.011	0.015	0.009	0.009	0	0	0	0.122	0.025	-0.015	0	0	0.118	0.133	0	0	0.026	0.042	0.042
Pop002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop004	0.012	0	0	0	-0.031	0	-0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0.083	0.014	0.055	0	0	0.004	0.026	0.044	0	0	0.032	0.035	0.008	0	0.089	0.042	0.091	0.038	0	-0.051	0	0	0	0.006	0.075	0.021	0.07	0	0	0	0.108	0.055	0.186	-0.113	0	0.151	0.097	0	0	0.109	0.208	0.25
Pop005	0.021	0	0	-0.031	0	0	-0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0.05	0.01	0.078	0	0	0.021	0.01	0.151	0	0	0.043	0.104	0.055	0	0.037	0.085	0.027	0.017	0.077	-0.016	0	0	0	0.006	-0.018	0.006	0.017	0	0	0	0.1	0.084	0.067	0.029	0	0.133	0.055	0	-0.019	0.205	0.088	0.115
Pop006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop007	0.205	0	0	-0.038	-0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.036	0.035	-0.009	0.189	0	0	-0.032	0	0.282	0	0	0.029	0.04	0.06	0	0.083	0	0.016	0.103	0.016	0.022	0	0	0	0.063	0.038	-0.06	-0.001	0	0	0	0.118	-0.034	0.051	0	0	0.192	0.044	0	0	0.203	0	0.333
Pop008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.071	0.063	0	0.273	0.063	0	0	0	0	0	0	0	0	0	0.109	0	0	0	0	0	0	0	0	0	0	0	0	0.077	0.008	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
