	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049
Pop001	0	0.544	0.798	0.38	0.844	0.501	0.516	0.518	0.384	0.388	0.766	0.779	0.535	0.841	0.549	0.541	0.781	0.844	0.421	0.438	0.527	0.553	0.521	0.524	0.86	0.545	0.537	0.81	0.56	0.859	0.813	0.808	0.793	0.729	0.84	0.575	0.766	0.795	0.804	0.851	0.713	0.808	0.921	0.328	0.333	0.855	0.744	0.859	0.31
Pop002	0.544	0	0.887	0.553	0.897	0.602	0.574	0.632	0.546	0.547	0.86	0.872	0.586	0.905	0.582	0.615	0.878	0.887	0.56	0.588	0.586	0.587	0.585	0.576	0.939	0.595	0.597	0.895	0.608	0.932	0.897	0.89	0.887	0.833	0.913	0.629	0.864	0.889	0.891	0.916	0.808	0.893	0.982	0.492	0.51	0.929	0.856	0.928	0.486
Pop003	0.798	0.887	0	0.798	1.013	0.858	0.881	0.86	0.802	0.801	0.944	0.945	0.902	1.027	0.898	0.89	0.94	1.023	0.818	0.82	0.893	0.899	0.88	0.89	0.98	0.893	0.898	0.995	0.907	1.062	0.977	1.007	1.011	0.963	1.039	0.906	0.977	1.015	1.005	1.033	0.93	1.021	1.099	0.775	0.78	1.053	0.97	1.052	0.769
Pop004	0.38	0.553	0.798	0	0.841	0.485	0.521	0.499	0.346	0.368	0.765	0.775	0.56	0.838	0.552	0.546	0.778	0.847	0.421	0.421	0.532	0.551	0.521	0.532	0.86	0.547	0.555	0.811	0.568	0.853	0.815	0.809	0.794	0.727	0.843	0.572	0.767	0.796	0.808	0.859	0.717	0.804	0.921	0.316	0.31	0.856	0.744	0.856	0.309
Pop005	0.844	0.897	1.013	0.841	0	0.884	0.894	0.901	0.846	0.846	0.982	0.992	0.899	1.032	0.908	0.904	0.993	1.019	0.856	0.863	0.904	0.901	0.896	0.899	1.065	0.899	0.896	1.005	0.891	1.068	1.044	1.057	1.062	1.035	1.07	0.916	1.036	1.063	1.052	1.058	1.002	1.065	1.111	0.822	0.825	1.068	1.047	1.077	0.815
Pop006	0.501	0.602	0.858	0.485	0.884	0	0.547	0.56	0.484	0.467	0.835	0.845	0.577	0.886	0.561	0.583	0.851	0.883	0.514	0.496	0.576	0.596	0.576	0.567	0.913	0.58	0.584	0.864	0.603	0.909	0.876	0.865	0.854	0.801	0.897	0.62	0.834	0.855	0.863	0.892	0.781	0.867	0.954	0.453	0.462	0.911	0.819	0.905	0.439
Pop007	0.516	0.574	0.881	0.521	0.894	0.547	0	0.604	0.53	0.516	0.854	0.869	0.565	0.886	0.56	0.554	0.874	0.893	0.512	0.557	0.563	0.561	0.548	0.554	0.933	0.57	0.535	0.886	0.574	0.93	0.894	0.886	0.88	0.829	0.915	0.586	0.861	0.881	0.884	0.913	0.801	0.891	0.977	0.478	0.49	0.927	0.846	0.927	0.46
Pop008	0.518	0.632	0.86	0.499	0.901	0.56	0.604	0	0.484	0.479	0.834	0.844	0.62	0.902	0.619	0.611	0.848	0.883	0.534	0.483	0.608	0.633	0.617	0.59	0.914	0.631	0.626	0.87	0.641	0.911	0.88	0.87	0.859	0.802	0.901	0.648	0.836	0.862	0.869	0.902	0.784	0.866	0.969	0.475	0.48	0.912	0.824	0.909	0.464
Pop009	0.384	0.546	0.802	0.346	0.846	0.484	0.53	0.484	0	0.368	0.765	0.776	0.545	0.847	0.553	0.556	0.779	0.852	0.423	0.367	0.54	0.566	0.535	0.541	0.863	0.557	0.564	0.807	0.58	0.857	0.815	0.811	0.795	0.73	0.837	0.579	0.764	0.798	0.81	0.855	0.716	0.807	0.923	0.309	0.317	0.858	0.752	0.856	0.321
Pop010	0.388	0.547	0.801	0.368	0.846	0.467	0.516	0.479	0.368	0	0.766	0.779	0.547	0.847	0.545	0.542	0.783	0.847	0.43	0.403	0.535	0.556	0.525	0.531	0.864	0.548	0.551	0.813	0.571	0.862	0.819	0.808	0.796	0.729	0.844	0.571	0.764	0.797	0.809	0.85	0.712	0.808	0.922	0.322	0.342	0.856	0.755	0.857	0.319
Pop011	0.766	0.86	0.944	0.765	0.982	0.835	0.854	0.834	0.765	0.766	0	0.917	0.873	0.98	0.879	0.871	0.902	0.998	0.789	0.792	0.869	0.878	0.853	0.865	0.995	0.873	0.871	0.964	0.886	1.028	0.971	0.991	0.99	0.936	1.039	0.88	0.961	0.996	0.986	1.008	0.912	1.013	1.085	0.732	0.743	1.04	0.951	1.049	0.733
Pop012	0.779	0.872	0.945	0.775	0.992	0.845	0.869	0.844	0.776	0.779	0.917	0	0.889	0.998	0.893	0.883	0.924	0.994	0.805	0.797	0.879	0.893	0.867	0.881	0.968	0.889	0.892	0.973	0.906	1.024	0.977	1.003	0.999	0.947	1.045	0.892	0.969	1.005	1.011	0.999	0.937	1.021	1.093	0.75	0.755	1.033	0.969	1.033	0.747
Pop013	0.535	0.586	0.902	0.56	0.899	0.577	0.565	0.62	0.545	0.547	0.873	0.889	0	0.915	0.509	0.56	0.894	0.906	0.557	0.582	0.57	0.576	0.557	0.558	0.953	0.569	0.566	0.899	0.604	0.942	0.912	0.903	0.903	0.848	0.931	0.606	0.879	0.903	0.9	0.926	0.817	0.912	0.993	0.514	0.518	0.945	0.865	0.945	0.49
Pop014	0.841	0.905	1.027	0.838	1.032	0.886	0.886	0.902	0.847	0.847	0.98	0.998	0.915	0	0.919	0.905	0.983	1.042	0.854	0.867	0.906	0.915	0.9	0.897	1.057	0.91	0.905	0.999	0.914	1.06	1.042	1.05	1.06	0.999	1.082	0.927	1.039	1.054	1.034	1.044	0.99	1.067	1.122	0.821	0.825	1.049	1.026	1.062	0.818
Pop015	0.549	0.582	0.898	0.552	0.908	0.561	0.56	0.619	0.553	0.545	0.879	0.893	0.509	0.919	0	0.557	0.894	0.896	0.554	0.579	0.574	0.559	0.565	0.566	0.953	0.55	0.578	0.904	0.602	0.949	0.916	0.907	0.901	0.852	0.935	0.614	0.884	0.901	0.903	0.924	0.819	0.912	0.989	0.513	0.519	0.947	0.869	0.942	0.498
Pop016	0.541	0.615	0.89	0.546	0.904	0.583	0.554	0.611	0.556	0.542	0.871	0.883	0.56	0.905	0.557	0	0.888	0.901	0.55	0.586	0.584	0.559	0.561	0.555	0.944	0.575	0.563	0.902	0.596	0.942	0.909	0.895	0.895	0.841	0.925	0.611	0.871	0.896	0.897	0.917	0.814	0.903	0.984	0.507	0.518	0.942	0.861	0.944	0.497
Pop017	0.781	0.878	0.94	0.778	0.993	0.851	0.874	0.848	0.779	0.783	0.902	0.924	0.894	0.983	0.894	0.888	0	0.986	0.802	0.805	0.881	0.895	0.871	0.878	0.998	0.889	0.893	0.923	0.9	1.043	0.989	0.999	0.983	0.956	1.063	0.893	0.968	1.008	0.989	1.031	0.934	1.016	1.095	0.759	0.755	1.046	0.976	1.038	0.756
