	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049
Pop001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop002	0	0	0	0	-0.018	0	-0.025	0	0	0	0.167	0	0.003	0	-0.017	-0.044	0	0	0	0	-0.039	0.006	0	-0.053	0	-0.007	-0.004	0	-0.004	0	0.05	0.156	0	0	0	-0.016	0.146	0.24	0	0	0	0.125	0	0	0	0	0	0.198	0
Pop003	0	0	0	0	0.043	0	0.26	0.281	0	0.156	0.026	0.002	0.239	-0.01	0.21	0.213	0.002	0	0	0	0.417	0.135	0.255	0.167	0.025	0.252	0.253	-0.003	0.223	0	-0.011	-0.007	-0.001	0.018	0.018	0.204	0.005	0.04	-0.003	0	0	0.017	0	0	0	0.001	0.014	0.039	0
Pop004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.055	0	0	0	0	0	0	0	0	0	0	0	-0.098	0	0	0	0
Pop005	0	-0.018	0.043	0	0	0	0.023	0.034	0	0	-0.017	-0.024	0.043	-0.076	0.029	-0.015	0.003	0	0	0	0.103	-0.018	0.042	0.03	0.039	0.039	0.066	0.051	0.009	0	0.065	-0.025	0.024	0.016	0.081	0.034	0.014	-0.02	-0.008	0	0	-0.024	0	0	0	0.056	0.007	0.049	0
Pop006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop007	0	-0.025	0.26	0	0.023	0	0	0.168	0	0	0.153	0.218	0.013	0.037	0.005	-0.009	0.189	0	0	0.177	-0.012	0.01	-0.003	0.012	0.134	0.033	0.002	0.163	-0.001	0	0.181	0.208	0.232	0.153	0.219	0.003	0.142	0.23	0.226	0	0	0.204	0	0	0	0	0.134	0.138	0
Pop008	0	0	0.281	0	0.034	0	0.168	0	0	0	0.094	0	0.178	0	0.275	0	0.115	0	0	0	0.125	-0.002	0.286	-0.009	0	0.104	0.222	0	0.058	0	0	0.562	0	0.143	0	0.119	0	0.083	0.367	0	0	0.563	0	0	0	0.074	0.085	0	0
Pop009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop010	0	0	0.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063	0	0	0
Pop011	0	0.167	0.026	0	-0.017	0	0.153	0.094	0	0	0	-0.002	0.253	0.003	0.177	0.183	-0.007	0	0	0	0.214	0.139	0	0.143	-0.026	0.177	0.199	-0.023	0.149	0	0.016	0.019	0.018	0.007	0.042	0.159	0.008	0.014	0.061	0	0	0.041	0	0	0	0.04	0.007	0.042	0
Pop012	0	0	0.002	0	-0.024	0	0.218	0	0	0	-0.002	0	0.267	0.024	0.199	0.2	-0.005	0	0	0.242	0.268	0.137	0.239	0.161	0.038	0.264	0.247	0.031	0.254	0	0.025	0.006	0.027	0.008	0.039	0.174	0.007	0.015	0.013	0	0	0.023	0	0	0	0.027	0.011	0.028	0
