	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049
Pop001	0	0.023	-0.107	-0.028	-0.129	-0.014	-0.002	-0.003	0.147	0.023	-0.06	-0.108	-0.049	-0.02	0.025	-0.066	-0.066	0.222	0.627	0.069	0.057	0.084	0.004	-0.01	0.026	0.006	0.008	0.017	0.007	0.278	-0.07	0.004	-0.093	-0.135	-0.068	0.041	-0.104	-0.088	-0.076	0.322	-0.055	-0.069	0.963	-0.042	0.04	-0.086	-0.13	-0.068	0.009
Pop002	0.023	0	-0.042	0.096	-0.081	0.062	-0.002	0.111	-0.058	0.03	-0.02	-0.063	0.009	-0.008	-0.004	0.017	-0.028	0.137	-0.161	0.169	-0.002	0.002	0.027	0	0.041	-0.002	-0.003	0.033	-0.005	0.235	-0.028	0.018	-0.053	-0.095	-0.04	0.026	-0.068	-0.051	-0.034	0.256	0.015	-0.038	0.801	-0.157	0.115	-0.044	-0.082	-0.041	-0.143
Pop003	-0.107	-0.042	0	-0.033	0	-0.017	0.021	0.029	-0.223	-0.096	0.012	-0.002	0.05	0.011	0.046	0.034	0.008	0.056	-0.596	0.026	-0.003	0.009	0.005	0.022	0.04	0.026	0.039	0.037	0.04	0.206	0.003	0.061	0.024	0.004	0.045	0.032	0.015	0.033	0.018	0.174	-0.015	0.05	0.477	-0.261	-0.031	0.018	0.007	0.05	-0.261
Pop004	-0.028	0.096	-0.033	0	-0.056	-0.002	0.061	0.004	0.065	-0.004	0.025	-0.033	0.029	0.078	0.098	-0.006	0.019	0.337	0.545	0.063	0.142	0.159	0.055	0.064	0.127	0.07	0.09	0.118	0.083	0.393	0.015	0.107	-0.005	-0.059	0.018	0.105	-0.018	-0.001	0.01	0.432	0.024	0.017	0.953	-0.123	-0.022	-0.001	-0.054	0.018	-0.072
Pop005	-0.129	-0.081	0	-0.056	0	-0.046	-0.018	0.005	-0.25	-0.121	0.004	-0.003	0.008	-0.013	0.004	0	0.012	0.013	-0.676	0.002	-0.045	-0.042	-0.031	-0.018	0.055	-0.013	-0.01	0.016	-0.017	0.173	0.013	0.059	0.021	0.008	0.032	-0.005	0.017	0.028	0.02	0.148	-0.012	0.042	0.436	-0.286	-0.055	0.008	0.014	0.033	-0.286
Pop006	-0.014	0.062	-0.017	-0.002	-0.046	0	0.023	0.002	-0.009	-0.048	0.035	-0.02	0.004	0.076	0.054	-0.007	0.029	0.305	0.289	0.05	0.087	0.122	0.031	0.034	0.128	0.038	0.05	0.116	0.049	0.38	0.028	0.108	0.002	-0.049	0.025	0.08	-0.01	0.006	0.019	0.405	0.034	0.025	0.915	-0.139	0.043	0.009	-0.043	0.022	-0.129
Pop007	-0.002	-0.002	0.021	0.061	-0.018	0.023	0	0.099	-0.055	0.008	0.056	0.01	0.021	0.061	0.028	0.003	0.05	0.229	-0.189	0.129	0.014	0.032	0.013	0.01	0.126	0.029	0.008	0.114	0.016	0.334	0.047	0.109	0.024	-0.022	0.041	0.032	0.012	0.027	0.039	0.344	0.063	0.042	0.802	-0.147	0.081	0.03	-0.011	0.039	-0.149
Pop008	-0.003	0.111	0.029	0.004	0.005	0.002	0.099	0	-0.028	-0.031	0.086	0.026	0.066	0.144	0.128	0.041	0.082	0.37	0.298	0.017	0.16	0.185	0.097	0.085	0.192	0.104	0.123	0.181	0.118	0.45	0.079	0.175	0.057	-0.002	0.081	0.133	0.046	0.062	0.073	0.471	0.075	0.079	0.913	-0.12	0.046	0.061	0.006	0.079	-0.113
Pop009	0.147	-0.058	-0.223	0.065	-0.25	-0.009	-0.055	-0.028	0	0.041	-0.201	-0.241	-0.086	-0.18	-0.056	-0.077	-0.213	0.012	0.524	0.082	-0.029	-0.015	-0.002	-0.056	-0.145	-0.059	-0.048	-0.153	-0.059	0.054	-0.207	-0.166	-0.239	-0.273	-0.216	-0.032	-0.256	-0.233	-0.211	0.114	-0.145	-0.217	0.948	0.09	0.175	-0.225	-0.263	-0.216	0.252
Pop010	0.023	0.03	-0.096	-0.004	-0.121	-0.048	0.008	-0.031	0.041	0	-0.055	-0.103	-0.021	-0.014	0.035	-0.039	-0.063	0.216	0.499	0.044	0.069	0.088	0.024	0.009	0.029	0.019	0.03	0.02	0.025	0.274	-0.062	0.005	-0.089	-0.131	-0.063	0.043	-0.1	-0.084	-0.068	0.315	-0.045	-0.065	0.945	-0.07	0.095	-0.08	-0.124	-0.065	-0.003
Pop011	-0.06	-0.02	0.012	0.025	0.004	0.035	0.056	0.086	-0.201	-0.055	0	-0.003	0.092	-0.02	0.073	0.089	-0.014	-0.01	-0.662	0.092	0.012	0.019	0.047	0.057	0.017	0.061	0.067	0.004	0.068	0.124	0.009	0.035	0.022	0	0.05	0.063	0.01	0.024	0.023	0.096	0.015	0.044	0.337	-0.232	0.026	0.031	0.007	0.046	-0.226
Pop012	-0.108	-0.063	-0.002	-0.033	-0.003	-0.02	0.01	0.026	-0.241	-0.103	-0.003	0	0.044	-0.024	0.031	0.036	-0.004	-0.036	-0.695	0.025	-0.03	-0.019	-0.004	0.012	0.006	0.016	0.025	0.003	0.028	0.108	0.005	0.036	0.023	0.011	0.043	0.017	0.012	0.022	0.022	0.072	-0.01	0.045	0.298	-0.264	-0.033	0.016	0.017	0.032	-0.263
Pop013	-0.049	0.009	0.05	0.029	0.008	0.004	0.021	0.066	-0.086	-0.021	0.092	0.044	0	0.113	-0.001	-0.005	0.091	0.279	-0.122	0.085	0.027	0.047	-0.013	0.002	0.177	0.019	0.028	0.158	0.038	0.393	0.083	0.158	0.065	0.015	0.082	0.063	0.055	0.068	0.075	0.397	0.072	0.085	0.812	-0.17	0.031	0.067	0.022	0.082	-0.181
Pop014	-0.02	-0.008	0.011	0.078	-0.013	0.076	0.061	0.144	-0.18	-0.014	-0.02	-0.024	0.113	0	0.081	0.109	-0.028	-0.005	-0.715	0.159	0.014	0.022	0.077	0.064	0.01	0.07	0.068	-0.02	0.071	0.098	0.002	0.009	-0.008	-0.042	0.007	0.083	-0.024	-0.009	0.001	0.086	0.042	0.007	0.403	-0.214	0.085	-0.015	-0.023	-0.011	-0.21
Pop015	0.025	-0.004	0.046	0.098	0.004	0.054	0.028	0.128	-0.056	0.035	0.073	0.031	-0.001	0.081	0	0.036	0.065	0.192	-0.237	0.162	0.031	0.012	0.037	0.027	0.134	0.013	0.027	0.119	0.035	0.316	0.07	0.115	0.04	-0.003	0.055	0.075	0.03	0.043	0.057	0.315	0.085	0.058	0.743	-0.117	0.108	0.048	0.008	0.05	-0.118
Pop016	-0.066	0.017	0.034	-0.006	0	-0.007	0.003	0.041	-0.077	-0.039	0.089	0.036	-0.005	0.109	0.036	0	0.084	0.293	-0.066	0.066	0.05	0.054	-0.011	-0.003	0.175	0.015	0.026	0.161	0.034	0.405	0.077	0.157	0.057	0.006	0.077	0.046	0.048	0.061	0.068	0.411	0.062	0.078	0.837	-0.192	0.01	0.06	0.015	0.078	-0.196
Pop017	-0.066	-0.028	0.008	0.019	0.012	0.029	0.05	0.082	-0.213	-0.063	-0.014	-0.004	0.091	-0.028	0.065	0.084	0	-0.055	-0.72	0.085	0	0.01	0.042	0.051	0.007	0.054	0.061	-0.031	0.061	0.104	0.011	0.023	0.014	0.011	0.048	0.054	0.007	0.029	0.019	0.076	0.017	0.041	0.267	-0.234	0.019	0.025	0.023	0.04	-0.232
Pop018	0.222	0.137	0.056	0.337	0.013	0.305	0.229	0.37	0.012	0.216	-0.01	-0.036	0.279	-0.005	0.192	0.293	-0.055	0	-0.73	0.416	0.133	0.133	0.272	0.215	0.003	0.215	0.204	-0.039	0.201	0.056	0.039	-0.006	-0.027	-0.058	0.004	0.238	-0.048	-0.025	0.026	0.063	0.171	-0.012	0.366	-0.006	0.351	0.007	-0.033	-0.008	0.001
Pop019	0.627	-0.161	-0.596	0.545	-0.676	0.289	-0.189	0.298	0.524	0.499	-0.662	-0.695	-0.122	-0.715	-0.237	-0.066	-0.72	-0.73	0	0.56	-0.312	-0.245	0.048	-0.146	-0.698	-0.19	-0.241	-0.678	-0.258	-0.722	-0.657	-0.753	-0.752	-0.799	-0.72	-0.155	-0.804	-0.759	-0.668	-0.576	-0.337	-0.743	NA	0.723	0.668	-0.693	-0.764	-0.734	0.888
Pop020	0.069	0.169	0.026	0.063	0.002	0.05	0.129	0.017	0.082	0.044	0.092	0.025	0.085	0.159	0.162	0.066	0.085	0.416	0.56	0	0.212	0.229	0.139	0.128	0.204	0.136	0.156	0.195	0.149	0.477	0.082	0.187	0.059	-0.003	0.084	0.166	0.047	0.064	0.076	0.505	0.08	0.082	0.953	-0.007	0.088	0.065	0.005	0.083	0.018
Pop021	0.057	-0.002	-0.003	0.142	-0.045	0.087	0.014	0.16	-0.029	0.069	0.012	-0.03	0.027	0.014	0.031	0.05	0	0.133	-0.312	0.212	0	-0.018	0.054	0.001	0.057	0.028	-0.005	0.053	0	0.234	0.013	0.038	-0.028	-0.069	-0.009	0.058	-0.04	-0.025	-0.002	0.251	0.062	-0.013	0.755	-0.082	0.167	-0.012	-0.054	-0.018	-0.082
Pop022	0.084	0.002	0.009	0.159	-0.042	0.122	0.032	0.185	-0.015	0.088	0.019	-0.019	0.047	0.022	0.012	0.054	0.01	0.133	-0.245	0.229	-0.018	0	0.064	0.014	0.065	0.04	0.002	0.063	0.016	0.231	0.025	0.043	-0.017	-0.059	-0.003	0.076	-0.03	-0.017	0.008	0.247	0.076	-0.004	0.735	-0.073	0.182	-0.001	-0.043	-0.006	-0.071
Pop023	0.004	0.027	0.005	0.055	-0.031	0.031	0.013	0.097	-0.002	0.024	0.047	-0.004	-0.013	0.077	0.037	-0.011	0.042	0.272	0.048	0.139	0.054	0.064	0	0.019	0.129	0.041	0.03	0.12	0.035	0.362	0.042	0.111	0.016	-0.036	0.034	0.08	0.003	0.017	0.031	0.381	0.055	0.034	0.866	-0.132	0.075	0.024	-0.027	0.033	-0.123
Pop024	-0.01	0	0.022	0.064	-0.018	0.034	0.01	0.085	-0.056	0.009	0.057	0.012	0.002	0.064	0.027	-0.003	0.051	0.215	-0.146	0.128	0.001	0.014	0.019	0	0.127	0.028	0.008	0.115	-0.02	0.332	0.052	0.109	0.023	-0.021	0.043	0.064	0.015	0.028	0.041	0.341	0.063	0.043	0.801	-0.15	0.07	0.031	-0.012	0.042	-0.144
Pop025	0.026	0.041	0.04	0.127	0.055	0.128	0.126	0.192	-0.145	0.029	0.017	0.006	0.177	0.01	0.134	0.175	0.007	0.003	-0.698	0.204	0.057	0.065	0.129	0.127	0	0.129	0.13	0.011	0.127	0.082	0.03	0.033	0.022	-0.008	0.034	0.131	0.017	0.031	0.047	0.072	0.069	0.031	0.261	-0.165	0.131	0.044	0.022	0.032	-0.165
Pop026	0.006	-0.002	0.026	0.07	-0.013	0.038	0.029	0.104	-0.059	0.019	0.061	0.016	0.019	0.07	0.013	0.015	0.054	0.215	-0.19	0.136	0.028	0.04	0.041	0.028	0.129	0	0.017	0.115	0.028	0.329	0.055	0.113	0.03	-0.015	0.046	0.059	0.017	0.032	0.045	0.336	0.067	0.047	0.787	-0.13	0.088	0.034	-0.005	0.044	-0.131
Pop027	0.008	-0.003	0.039	0.09	-0.01	0.05	0.008	0.123	-0.048	0.03	0.067	0.025	0.028	0.068	0.027	0.026	0.061	0.204	-0.241	0.156	-0.005	0.002	0.03	0.008	0.13	0.017	0	0.12	-0.021	0.32	0.062	0.111	0.035	-0.008	0.049	0.064	0.026	0.037	0.053	0.323	0.078	0.053	0.761	-0.136	0.096	0.044	0.001	0.05	-0.131
Pop028	0.017	0.033	0.037	0.118	0.016	0.116	0.114	0.181	-0.153	0.02	0.004	0.003	0.158	-0.02	0.119	0.161	-0.031	-0.039	-0.678	0.195	0.053	0.063	0.12	0.115	0.011	0.115	0.12	0	0.115	0.111	0.033	0.024	0.002	-0.01	0.031	0.118	-0.005	0.015	0.019	0.089	0.071	0.023	0.334	-0.172	0.122	0.021	-0.001	0.024	-0.173
Pop029	0.007	-0.005	0.04	0.083	-0.017	0.049	0.016	0.118	-0.059	0.025	0.068	0.028	0.038	0.071	0.035	0.034	0.061	0.201	-0.258	0.149	0	0.016	0.035	-0.02	0.127	0.028	-0.021	0.115	0	0.317	0.062	0.113	0.038	-0.006	0.053	0.052	0.026	0.039	0.055	0.319	0.08	0.053	0.753	-0.136	0.094	0.043	0.004	0.05	-0.132
Pop030	0.278	0.235	0.206	0.393	0.173	0.38	0.334	0.45	0.054	0.274	0.124	0.108	0.393	0.098	0.316	0.405	0.104	0.056	-0.722	0.477	0.234	0.231	0.362	0.332	0.082	0.329	0.32	0.111	0.317	0	0.134	0.065	0.074	0.045	0.055	0.332	0.036	0.072	0.136	0.077	0.274	0.061	0.095	0.044	0.401	0.108	0.087	0.056	0.05
