	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049	Pop050	Pop051	Pop052	Pop053	Pop054	Pop055	Pop056	Pop057	Pop058	Pop059	Pop060	Pop061	Pop062	Pop063	Pop064	Pop065	Pop066	Pop067	Pop068	Pop069	Pop070	Pop071	Pop072	Pop073	Pop074	Pop075	Pop076
Pop001	0	0.003	0	0	-0.032	-0.05	0.003	0.107	-0.032	0.009	0.009	-0.071	0.104	-0.033	0	-0.053	0	-0.015	0.009	0.01	-0.037	0	0.038	0.005	0.018	0	-0.064	-0.013	0	0.021	-0.006	0.148	0	0.047	0.058	0	0	0	0.035	-0.003	0.039	0	0	0	-0.049	0	-0.031	0.023	0.023	0.033	0	0.093	-0.04	0.085	-0.017	0.009	0.009	0.02	-0.013	-0.02	-0.006	-0.006	-0.014	0.022	0	-0.015	0.02	-0.071	-0.038	0	0	0.011	0	0	0	0
Pop002	0.003	0	0	-0.018	0.004	0.017	-0.009	0.027	0.013	-0.005	0.004	-0.022	0.025	-0.03	-0.016	0.011	0	0.028	0.022	0.009	-0.013	0	0.036	0.04	0.03	0	0	0.022	0	0	-0.013	0.015	0	0.018	-0.02	0.026	0	0	0.041	0.05	0.015	0	0	0	-0.003	0	0.025	0.001	0.051	0.024	-0.01	-0.04	0.021	-0.007	-0.002	0.008	0.013	-0.019	0.007	-0.033	0.023	-0.001	0.035	0.06	-0.007	0.018	0.02	-0.025	0.002	0	0	0.014	0	0	0	0
Pop003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop004	0	-0.018	0	0	-0.068	-0.008	-0.093	0	0	0	0	0	0	-0.042	-0.013	0	0	0	-0.007	-0.029	0.065	0	-0.191	0.128	0.037	0	0	0	0	0.045	-0.009	0.065	0	-0.048	0.058	0.068	0	0	0.134	0	0	0	0	0	-0.015	0	0.013	-0.089	0.074	-0.021	0.008	0	0	0.045	-0.034	-0.074	0	0	0	-0.011	0	0	0.009	0	0	-0.045	0.067	-0.05	0	0	0	-0.136	0	0	0	0
Pop005	-0.032	0.004	0	-0.068	0	-0.015	0	-0.012	-0.019	0.008	-0.01	-0.057	-0.011	-0.008	0.018	0.023	0	0.069	-0.005	-0.004	-0.008	0	0.076	0.04	0.021	0	0.009	0.013	0	0.009	0.049	0.025	0	0.028	0.023	0.006	0	0	0.013	0.042	0.017	0	0	0	0.005	0	0.001	0.009	0.051	0.022	0.007	-0.005	0.027	0.03	0.002	0.009	-0.008	-0.004	0.008	0.006	0.025	-0.002	-0.014	0.032	-0.003	0.009	0.011	-0.037	0.021	0	0	0.003	0	0	0	0
Pop006	-0.05	0.017	0	-0.008	-0.015	0	-0.02	0.095	-0.056	0.009	-0.029	-0.056	-0.029	0.002	-0.034	0.021	0	0	-0.014	0.028	0.002	0	0.072	0.056	0	0	-0.025	0.01	0	0.019	0.037	-0.001	0	0.059	0.023	-0.001	0	0	0.017	0.033	0.007	0	0	0	-0.024	0	0.028	0	0.022	0.016	-0.028	0.016	0.017	-0.018	-0.018	-0.008	-0.011	0	-0.002	-0.005	-0.013	-0.017	-0.056	0.044	0	0.006	0.013	0.028	0.039	0	0	-0.012	0	0	0	0
Pop007	0.003	-0.009	0	-0.093	0	-0.02	0	-0.007	-0.022	0.006	-0.034	-0.049	-0.013	-0.042	-0.009	0.007	0	0.036	0.007	0.008	-0.011	0	0.011	0.023	-0.008	0	-0.049	0.019	0	0.006	0.019	-0.029	0	0.022	0.013	0.014	0	0	0.003	0.023	0.017	0	0	0	-0.025	0	0.013	-0.007	0.028	-0.02	0.016	-0.038	-0.013	0.045	-0.025	-0.014	-0.006	0.015	-0.003	-0.019	0.008	-0.013	-0.012	-0.003	0.003	-0.02	-0.001	-0.003	0.001	0	0	-0.01	0	0	0	0
Pop008	0.107	0.027	0	0	-0.012	0.095	-0.007	0	0.052	0.043	0.049	-0.007	-0.003	0.024	0.018	0.087	0	0.026	0.055	0.013	0.019	0	0.123	0.073	0	0	0	0.038	0	0.042	0.103	0.026	0	0.078	0.034	-0.025	0	0	0.03	0.093	0.064	0	0	0	0.017	0	0.013	0.038	0.093	0.032	0.03	0	0.06	0.052	0.047	0.017	0.004	0.026	0.043	0.066	0.04	0.03	0.019	0.082	-0.027	0.047	0.018	0	0.087	0	0	-0.007	0	0	0	0
Pop009	-0.032	0.013	0	0	-0.019	-0.056	-0.022	0.052	0	-0.017	-0.002	-0.083	0	0.008	0.021	0.015	0	0	0	0	0.019	0	0	0.066	0	0	0.019	0.022	0	-0.015	-0.03	0.112	0	0.046	0	0.041	0	0	0.017	0	-0.036	0	0	0	0.016	0	-0.028	0.016	0.08	0	0.083	0.032	-0.085	0.037	0.018	-0.038	-0.045	0	0.024	0	0.041	0.016	-0.007	-0.075	0	0.01	-0.003	-0.089	0.013	0	0	-0.031	0	0	0	0
Pop010	0.009	-0.005	0	0	0.008	0.009	0.006	0.043	-0.017	0	0.003	-0.093	-0.014	-0.009	0.001	0.054	0	0	-0.002	0.032	0.035	0	0.074	0.061	0.004	0	0.002	0.017	0	-0.002	-0.011	0.029	0	0.037	-0.016	0.016	0	0	0.022	-0.002	0.033	0	0	0	-0.007	0	0.01	0.031	0.088	0.022	0.01	0.055	0.074	-0.021	-0.013	-0.021	0.022	0.033	0.058	-0.028	0.066	-0.018	-0.023	0.031	0	0.027	0.018	-0.026	0.046	0	0	0.017	0	0	0	0
