	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049	Pop050	Pop051	Pop052	Pop053	Pop054	Pop055	Pop056	Pop057	Pop058	Pop059	Pop060	Pop061	Pop062	Pop063	Pop064	Pop065	Pop066	Pop067	Pop068	Pop069	Pop070	Pop071	Pop072	Pop073	Pop074	Pop075	Pop076
Pop001	0	-0.006	-0.98	0.036	-0.014	-0.016	-0.012	0.063	0	0	0.009	-0.005	0.021	0.019	-0.011	0.024	-0.005	0.011	-0.002	0.009	0.002	0.057	0.04	0.031	0.026	0.004	-0.015	0.002	0.029	0.015	-0.014	-0.006	0.11	0.027	0.026	0.006	0.024	-0.444	-0.004	0.009	0.029	-0.988	-0.024	0.101	-0.003	-0.121	-0.006	0.015	0.078	-0.008	-0.003	-0.004	0.038	0.003	0.009	-0.005	0.012	0.017	-0.007	0.007	0.023	-0.008	0.01	0.031	-0.006	-0.024	0.005	-0.005	0.028	-0.048	-0.498	0.019	-0.241	-0.18	-0.027	0.08
Pop002	-0.006	0	-0.946	0.005	0.002	-0.003	0.002	0.055	0.008	0.005	0.002	-0.024	-0.003	0	-0.01	0.027	-0.004	-0.006	0.013	0.004	-0.001	0.072	0.03	0.03	0.011	0	-0.008	0.027	0.032	0.02	0.001	0.018	0.13	0.024	0.016	0.02	-0.004	-0.471	0.019	0.025	0.041	-0.96	-0.058	0.096	-0.012	-0.139	0.017	0.035	0.081	0.008	0.016	0.001	0.045	0.033	0.015	0.007	0.017	0.01	0	0.006	0.025	0.006	0.011	0.042	-0.024	0.007	0.029	-0.033	0.009	-0.069	-0.468	0.043	-0.238	-0.181	-0.055	0.101
Pop003	-0.98	-0.946	0	-0.943	-0.974	-1.03	-1	-0.809	-0.978	-0.97	-0.973	-0.934	-0.898	-0.976	-1.002	-0.881	-0.954	-0.959	-0.981	-0.971	-0.98	-0.901	-0.876	-0.877	-0.862	-1.031	-1.016	-0.941	-0.986	-0.936	-0.991	-0.976	-0.674	-0.933	-0.931	-0.949	-0.778	NA	-0.967	-0.935	-0.862	NA	-0.87	-0.72	-0.977	NA	-1.025	-0.935	-0.736	-1.008	-0.99	-0.978	-0.83	-0.952	-0.93	-0.992	-0.975	-0.972	-0.968	-0.98	-0.888	-0.99	-0.979	-0.909	-0.969	-1.002	-0.939	-0.972	-0.939	-0.761	NA	-0.947	NA	NA	-0.748	-0.81
Pop004	0.036	0.005	-0.943	0	-0.016	0.018	-0.014	0.096	0.024	-0.008	0.002	-0.006	0.018	-0.002	-0.009	0.075	0.098	0.027	-0.002	0.002	0.008	0.169	0.035	0.032	0.046	0.1	0.023	0.024	0.13	0.018	0.031	-0.001	0.244	-0.001	0.012	0.009	0.111	-0.167	0.009	0.05	0.061	-0.975	0.04	0.213	0.007	0.16	0.039	0.046	0.111	-0.001	0.043	0.024	0.091	0.059	0.016	-0.021	0.041	-0.015	0.004	-0.005	0.039	-0.008	-0.004	0.047	0.019	-0.01	0.027	-0.01	0.007	0.022	-0.197	0.065	0.054	0.136	0.051	0.197
Pop005	-0.014	0.002	-0.974	-0.016	0	-0.009	-0.008	0.034	-0.005	-0.015	-0.003	-0.049	-0.032	-0.01	0.008	0.035	-0.01	-0.028	-0.011	0.003	-0.004	0.064	0.024	0.035	-0.003	-0.009	-0.008	0.034	0.031	0.007	-0.002	-0.002	0.131	0.021	0	0.014	-0.025	-0.48	0.023	0.015	0.035	-0.981	-0.069	0.084	-0.031	-0.188	0.017	0.022	0.061	0.003	0.006	-0.013	0.061	0.032	0.018	-0.004	0.009	-0.005	0.011	-0.013	0.032	-0.002	-0.003	0.021	-0.019	0	0.016	-0.044	-0.001	-0.097	-0.493	0.043	-0.263	-0.197	-0.077	0.092
Pop006	-0.016	-0.003	-1.03	0.018	-0.009	0	-0.024	0.044	-0.02	-0.002	-0.01	-0.013	-0.009	0.006	-0.02	0.004	-0.025	-0.012	-0.01	-0.003	-0.009	0.032	0.029	0.02	0.012	-0.025	-0.029	-0.005	0.017	-0.007	-0.017	-0.003	0.107	0.013	0.017	0.003	0.001	-0.5	-0.014	0.008	0.027	-1.038	-0.048	0.088	-0.018	-0.168	-0.018	-0.015	0.055	-0.02	-0.025	-0.01	0.027	0.001	0.003	-0.019	-0.021	0.003	-0.008	0.003	0.009	-0.015	-0.027	0.015	-0.009	-0.028	-0.011	-0.023	0.022	-0.059	-0.504	0.003	-0.283	-0.199	-0.051	0.073
Pop007	-0.012	0.002	-1	-0.014	-0.008	-0.024	0	0.057	-0.01	-0.014	-0.013	-0.039	-0.02	-0.008	-0.01	0.02	-0.011	-0.007	-0.008	0.001	-0.008	0.069	0.03	0.028	0.01	0.003	-0.01	0.017	0.033	0.007	-0.012	-0.003	0.127	0.012	0.003	0.002	0.013	-0.448	0.008	0.009	0.034	-1.008	-0.051	0.124	-0.031	-0.113	0.011	0.008	0.059	-0.007	0.007	-0.015	0.041	0.024	0.009	-0.016	0.016	-0.008	-0.007	-0.013	0.018	-0.01	-0.008	0.014	-0.018	-0.017	0.018	-0.04	0.002	-0.079	-0.464	0.036	-0.231	-0.157	-0.049	0.104
Pop008	0.063	0.055	-0.809	0.096	0.034	0.044	0.057	0	0.036	0.064	0.06	0.073	0.056	0.08	0.046	0.073	0.028	0.004	0.057	0.067	0.059	0.086	0.093	0.082	0.082	0.044	0.05	0.049	0.067	0.077	0.059	0.063	0.148	0.082	0.08	0.064	0.067	-0.368	0.045	0.066	0.088	-0.815	0.025	0.129	0.061	-0.11	0.036	0.064	0.097	0.046	0.044	0.05	0.097	0.052	0.053	0.043	0.001	0.062	0.056	0.07	0.077	0.037	0.058	0.069	0.05	0.046	0.018	0.059	0.096	0.011	-0.412	0.06	-0.199	-0.154	0.014	0.113
Pop009	0	0.008	-0.978	0.024	-0.005	-0.02	-0.01	0.036	0	-0.005	-0.003	0.005	0.004	0.005	-0.01	0.042	-0.006	-0.002	0.001	0.019	0.007	0.069	0.045	0.037	0.033	0.02	-0.006	0.002	0.028	0.021	-0.006	0.001	0.131	0.012	0.023	0.011	0.025	-0.423	-0.009	0.026	0.032	-0.986	-0.018	0.109	0.004	-0.116	0	0.002	0.048	-0.01	-0.009	0	0.043	-0.009	0.006	-0.022	-0.015	0.01	0.004	0.002	0.027	-0.017	-0.003	0.01	0.014	-0.028	-0.006	-0.009	0.034	-0.033	-0.457	0.027	-0.209	-0.141	-0.018	0.093
Pop010	0	0.005	-0.97	-0.008	-0.015	-0.002	-0.014	0.064	-0.005	0	-0.005	-0.035	-0.004	0	-0.006	0.048	0.009	0.002	0.002	0.009	0	0.096	0.044	0.04	0.025	0.019	0.003	0.026	0.057	0.01	0.007	0.007	0.16	0.02	0.018	0.01	0.023	-0.389	0.014	0.02	0.046	-0.978	-0.036	0.133	-0.02	-0.067	0.026	0.025	0.08	-0.002	0.01	-0.01	0.065	0.032	0.015	-0.009	0.014	0.008	0.003	0	0.03	0.002	-0.004	0.035	-0.002	-0.005	0.018	-0.029	0.009	-0.063	-0.404	0.05	-0.166	-0.1	-0.036	0.127
