"","X","V1","V2","HindHe","Depth","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"DS.MN.L04-DS.U.2",1,"DS.MN.L04-DS.U.2","Minneapolis",0.339914620136643,892,5.14752589934818,-0.304736747624861,-4.40891069057922,-2.76915148890482,-4.0214774618035,-0.900270522615098,1.54778828381926,-0.0564631289140424,-0.159648477878888,-0.200008155309838,0.0196250827388164,0.233716406003947,0.198609650156238,-0.101916435916057,0.0636369516101239
"DS.BO.WL3.M.4",2,"DS.BO.WL3.M.4","Boston",0.266953109556648,1891,4.68897593579463,-0.0247023452067479,-5.79432059182218,-5.33320101826711,-4.36691703061312,-0.68672075720028,0.941915118573049,0.340402200584038,-0.370154815092943,-0.444222783310428,0.238728425936412,0.170769824466558,0.418842711805017,-0.255503771258777,0.197358126690053
"DS.BO.WL1.M.4",3,"DS.BO.WL1.M.4","Boston",NA,0,2.86620999575938,-2.45527933302229,1.34453790620673,-0.334826453984512,-2.91627026696371,-1.43658366753216,2.82888004148399,0.40224784813501,-0.295061359234328,0.25899302051425,-0.097985231758578,0.0607845490921942,0.264907871220129,0.379638872086875,-0.159044037146405
"DS.BO.LC1.M.2",4,"DS.BO.LC1.M.2","Boston",0.211165312406014,1683,5.40992102327733,0.451306729889309,-4.47234424126008,-3.44856809949359,-4.07789466259851,-0.755022498790689,1.10254328139989,-0.0335356094081994,-0.171330430837213,-0.317662223270857,0.113067866761673,0.178825819464038,0.214049423116564,-0.228571141135542,0.0918178109316121
"DS.BO.HC4.M.4",5,"DS.BO.HC4.M.4","Boston",0.180420677805974,1800,5.51699485131678,0.109241184191602,-5.07301780115576,-4.24908717700048,-3.78999022533794,-0.731425452512341,1.00700375586442,0.170516338515236,-0.0947840534062447,-0.354936959742173,0.297185780554519,0.119482411312536,0.213710631923242,-0.243020837742306,0.137694182674521
"DS.BA.AA.U.1",6,"DS.BA.AA.U.1","Baltimore",0.409370467147283,63003,7.70615005680124,-0.636804290568619,0.085779542221483,0.59293535360581,-0.451813253519099,0.46171584653304,-0.369236155757695,-0.482097206209139,0.18615962597436,0.273211422369496,-0.0679198361560693,0.158187171662444,-0.600105495676464,-0.507041043439615,0.300697615029961
"DS.BA.AA.U.2",7,"DS.BA.AA.U.2","Baltimore",0.518294457657561,704773,-0.727824630192576,-3.15561989367195,-4.5959521297843,3.90330558609448,-2.80296032157792,-1.29799010673531,1.06174964724982,-2.05045308142065,2.87503486016127,-0.252871524352172,-1.20298085563986,-0.315315483381478,1.10004857791309,1.27348991408087,-0.722722776567437
"DS.BA.AA.U.4",8,"DS.BA.AA.U.4","Baltimore",0.433161174866,547752,-2.25896616397524,-5.60082227515451,-1.08794513015729,0.949577161753552,2.58340723382753,-2.36793050200727,-0.0706557828833423,0.94284977582735,-1.28777838737739,-0.0917298010329066,-0.930476623348994,4.60025512077348,-6.12609119822255,1.69626494635749,2.02260934548676
"DS.BA.CP.U.2",9,"DS.BA.CP.U.2","Baltimore",0.339621369165511,159389,6.08236402556102,2.07062789852986,-2.00617174475307,-1.57551155661899,1.42007717339859,0.344876726835896,-1.1760046418262,0.784800413706686,0.457960370346936,-0.0842821059157933,0.868948933976322,0.0141863748156478,-0.109092492672661,-0.0879627636796621,0.440328712820674
"DS.BA.CP.U.5",10,"DS.BA.CP.U.5","Baltimore",0.496677029125012,662107,0.396978205523104,-2.59509691706112,-4.58077950092978,5.47401266010461,-0.122613261513127,-0.321835708203085,0.995289847739125,-0.770607872049414,1.74637095372731,1.41025457997229,-2.74641225589388,-0.163401052508387,-0.496202760097724,-1.10963176063131,0.331699775471918
