"","X","V1","V2","HindHe","Depth","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"LS.PX.PAL.M.5",1,"LS.PX.PAL.M.5","Phoenix",0.445655479310206,516,1.2195767376198,0.708078228619549,0.418270157297513,-0.585094299104361,-0.147740844173483,-0.424558234873748,-0.932840187177562,0.410596901955091,0.0522219051888413,0.428701165346485
"LS.PX.PAL.M.2",2,"LS.PX.PAL.M.2","Phoenix",0.390355099147271,3110,-1.00453432718055,1.50067267090559,-0.774957730899306,-1.06645574882411,-0.0486870855629373,-0.6767925608435,-0.747180303627068,-0.160746531545874,-0.180901234947169,-0.819815899004016
"LS.PX.PAL.M.1",3,"LS.PX.PAL.M.1","Phoenix",0.468171430758175,2024,0.788428565189229,-0.459418076119877,1.43289377901626,0.682150760041506,0.263966662293152,0.150129092769791,-0.461146808667875,-0.811686877820506,-0.162594583514254,0.125389996369642
"LS.MN.L01-LS.M.1",4,"LS.MN.L01-LS.M.1","Minneapolis",0.394947441493458,3019,-1.8673742195341,1.32033545848718,-0.339257242085756,-1.01930434479065,-0.789785736816055,-2.19590040276372,-1.58959864416719,0.737166957909792,-0.797110909084854,-0.205332260093034
"LS.PX.PKW.U.3",5,"LS.PX.PKW.U.3","Phoenix",0.359491335588168,13347,4.07433525476154,0.80919580560898,1.60620148379239,1.65870853480695,-1.30772315970285,-0.979640911594969,-0.0679903283614028,-0.542739362279162,0.523677955454613,-0.00324178168197797
"LS.PX.ENC.M.2",6,"LS.PX.ENC.M.2","Phoenix",0.483068190869405,25818,6.46549831696839,-0.0607342903508403,1.59631847204805,1.11271042612053,-0.29076254017412,-1.69208856956929,1.09301580738178,0.350746398263329,0.60536328919062,0.259388119088545
"LS.MN.L01-LS.U.1",7,"LS.MN.L01-LS.U.1","Minneapolis",0.331533161899746,10760,-0.392742036675527,1.13152081458563,0.615318744919396,0.0419537447199946,-0.00508349504496405,1.53005668009048,1.05457353626561,1.14373133108731,0.380218485688746,0.473653919251177
"LS.LA.ARR.U.4",8,"LS.LA.ARR.U.4","Los Angeles",0.310226833230749,11582,-0.603112372652977,0.477583585112765,1.96790725942098,1.06348175854632,-1.12358543243657,1.26487932205802,-1.15090450362681,0.574059427367676,-0.561874011720374,-0.260205184436587
"LS.BO.WL2.M.3",9,"LS.BO.WL2.M.3","Boston",0.576689590106295,3972,0.200900166292203,-0.276451931614708,0.388650938174221,-0.317372655764381,0.590818639343483,0.218949694006199,0.595775647933164,0.033708430689582,-0.102239280640741,-0.725595743364931
"LS.BO.WL2.M.1",10,"LS.BO.WL2.M.1","Boston",0.665945592788269,2708,0.441080360457062,-0.10920333817455,0.224785060179418,0.266491494724377,-0.304312808167153,-0.0475069589316115,-1.14067972818999,-0.0458619097877366,-0.206160214241825,0.851155757265583
