"","X","V1","V2","HindHe","Depth","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"TO.BA.DHI.U.5",1,"TO.BA.DHI.U.5","Baltimore",0.501918090971873,1810,1.00835246679964,0.257482058568737,0.141138558977898,-0.849077006069103,-0.730741474011649,0.395080756371723,0.471539375147656,-0.922377020311185,0.645733125925606,-0.416531666114762,0.974863929096119,-0.23209908442962,-0.030768400890777,-0.468182433609055,-0.0239989750404954,0.367237200814966,-0.0735278890009602,0.188870338035715,-0.0326999413321966,0.0563928617816151,-0.0081686870213518
"TO.BA.TRC.U.1",2,"TO.BA.TRC.U.1","Baltimore",0.558327829639044,210,-0.162368903283205,-0.0754919764969641,0.482246321562469,-0.243049967865027,-0.9178924688062,-0.279108107027444,0.0388420261192331,-0.150315491763237,0.223851045425097,-0.0890426316988062,0.0206568538934569,-0.495178228120431,0.143739744130441,0.0493675459545015,0.0944704358561134,0.026429784374102,0.0558864094671945,0.226548685462389,-0.0485721554113686,-0.00144975019946031,0.00214151962445486
"TO.BA.TRC.U.2",3,"TO.BA.TRC.U.2","Baltimore",0.679333281412179,44,0.0359522543406306,-0.0137979109962884,0.379063653172849,-0.0223420410006762,-2.09443386542076,-1.15932910441843,0.208742676478663,-0.0868498204846536,-0.0890665896717647,0.186561367683845,-0.246153033067923,0.0451428795729085,0.358917850580005,0.0717171750009888,0.221190864640473,-0.210792027344018,-0.133169808251838,0.350201793931574,0.0275904944910813,0.00222525906949897,-0.00289076340466789
"TO.BA.TRC.U.3",4,"TO.BA.TRC.U.3","Baltimore",0,92,-0.162368903283205,-0.0754919764969641,0.482246321562469,-0.243049967865027,-0.9178924688062,-0.279108107027444,0.0388420261192331,-0.150315491763237,0.223851045425097,-0.0890426316988062,0.0206568538934569,-0.495178228120431,0.143739744130441,0.0493675459545015,0.0944704358561134,0.026429784374102,0.0558864094671945,0.226548685462389,-0.0485721554113686,-0.00144975019946031,0.00214151962445486
"TO.BO.R2.U.2",5,"TO.BO.R2.U.2","Boston",0.435813468189691,655,-0.135007467659751,1.00943771677123,1.34726294265559,0.473012223167284,-1.98264973768945,-0.808618817338933,0.261839363730948,-0.800597803780812,0.109334915057365,0.0655804389760523,-0.753064395052394,-0.130728621291511,0.287885550338802,0.0687546439212234,0.399073463010394,-0.262978348201528,0.0871593462040241,0.0320030118394741,-0.0186238485981548,-0.0148824807232274,-0.0338338446729504
"TO.BO.R4.U.1",6,"TO.BO.R4.U.1","Boston",0.410560305196662,117,-0.455673068745973,0.431088219080941,1.43552539150389,0.202130191291159,-2.92428030759534,-1.39927084690104,0.277981861573398,0.180656495680896,0.350988552678011,0.116572517494128,-0.18235531774809,0.34596174796521,0.407945199167837,-0.0934013789470708,0.275923412895467,-0.28078024211658,-0.0691735940404512,0.217428670635064,0.0674160034939502,0.0697738991777397,-0.012299790572691
"TO.BO.R4.U.2",7,"TO.BO.R4.U.2","Boston",0.494039548517695,250,-0.588682682126715,0.0751071961855827,1.16855018470748,-0.267549715358474,-0.0542445179866936,1.47350731435874,-0.53111173247891,-0.541803534476766,-0.0852598530747007,-0.208850286747643,-0.375094663298465,-0.658924211475697,-0.0868139973515636,0.158491487206423,0.11825804094424,0.0718112091916447,0.0615953519999631,0.0676369630233642,-0.0625433382526439,0.0324953030952906,0.016181576846816
"TO.BA.AA.U.2",8,"TO.BA.AA.U.2","Baltimore",0.443026391770765,245213,1.50517538011867,0.567230601888986,-3.38664028209499,-0.0458605971659386,-3.18446353484276,0.571599567556355,-3.89156443927466,-1.901085660719,-1.57773224658858,0.178935181622175,0.0352044254203381,-0.440254972313738,1.80891083711217,2.59956567597803,0.656199452092795,-0.383707934829902,-1.52519629200025,-0.867090923222084,1.2215641813386,-1.72706923370166,1.70975881407321
"TO.BA.AA.U.3",9,"TO.BA.AA.U.3","Baltimore",0.473633897401813,266953,0.281609649502593,-0.272038593265906,1.24347633163451,-1.06629388468024,1.59367878193501,2.20632443806023,-0.371141172292324,0.0701659050859019,0.419446266583877,-1.27714306633267,0.507728656892763,1.08987611798046,1.18458981997568,-1.54593089741223,-0.357846659254309,-0.027512184948823,-0.781019029672105,-1.74745718841428,-0.252182055986801,1.51240965888115,-1.12470510230013
"TO.BA.AA.U.5",10,"TO.BA.AA.U.5","Baltimore",0.437713504936326,111532,1.73065028427806,1.35997870937608,3.13054316891991,3.22609378189793,-2.48844824824005,-1.21284220826337,0.88097903759837,-0.115232253717314,0.209796909851673,-0.915972051166051,-0.0864271445376607,0.258650797342178,-0.293191471876544,-0.179771677986411,0.301623398001311,-0.598786210956877,-0.664964512540844,0.436711473450535,-0.709469710673975,0.0964521413400608,0.214302613329169
