spp,city,n,Ho,Hs,Ht,Fis
CD,BA,56,0.091,0.1659,0.1659,0.4514
CD,LA,48,0.1106,0.2427,0.2427,0.5441
CD,PX,82,0.0951,0.2495,0.2495,0.6187
DS,BA,55,0.2461,0.312,0.312,0.2112
DS,BO,50,0.2167,0.3122,0.3122,0.306
DS,MN,80,0.2139,0.2058,0.2058,-0.0396
DS,PX,36,0.2151,0.0752,0.0752,-1.8589
EC,BA,41,0.1433,0.1641,0.1641,0.127
EC,PX,29,0.1908,0.1673,0.1673,-0.1406
EC,LA,37,0.1461,0.1652,0.1652,0.1157
LS,BA,19,0.144,0.2085,0.2085,0.3093
LS,BO,26,0.1307,0.1815,0.1815,0.2798
LS,LA,59,0.144,0.2131,0.2131,0.324
LS,MN,28,0.1421,0.1903,0.1903,0.2531
LS,PX,35,0.1455,0.1251,0.1251,-0.1631
PA,BA,44,0.125,0.2785,0.2785,0.5512
PA,BO,58,0.1277,0.2588,0.2588,0.5063
PA,LA,38,0.1449,0.2494,0.2494,0.4191
PA,MN,2,0.1136,0.1993,0.1993,0.4301
PA,PX,28,0.1402,0.2169,0.2169,0.3537
TO,BA,59,0.1608,0.2235,0.2235,0.2804
TO,BO,58,0.1585,0.257,0.257,0.3831
TO,LA,28,0.1748,0.2473,0.2473,0.2934
TO,MN,75,0.1599,0.2271,0.2271,0.296
TO,PX,16,0.1744,0.2105,0.2105,0.1715
