spp,city,n,Ia,p.Ia,rbarD,p.rD
CD,BA,56,21.29383925615563,0.001,0.022760349158322018,0.001
CD,LA,48,27.61619600434191,0.001,0.015274487189412435,0.001
CD,PX,82,26.695440926720252,0.001,0.013780594587487533,0.001
DS,BA,55,29.625624454005624,0.001,0.01942946084541447,0.001
DS,BO,50,48.63004070608388,0.001,0.02998867167422927,0.001
DS,MN,80,14.64137982831803,0.001,0.0121960146886755,0.001
DS,PX,36,0.1930822457893664,0.01,0.023841306753340372,0.001
EC,BA,41,10.38521950080432,0.001,0.014702502077046813,0.001
EC,PX,29,6.3919146344482565,0.001,0.01639218710854822,0.001
EC,LA,37,14.229362631291394,0.001,0.019658931415888037,0.001
LS,BA,19,11.02542957005212,0.001,0.024132898758548335,0.001
LS,BO,26,19.336432356688785,0.001,0.12116529699922277,0.001
LS,LA,59,14.979736992183142,0.001,0.02012644312805441,0.001
LS,MN,28,12.992589353590688,0.001,0.026215369839972556,0.001
LS,PX,35,4.257289653811032,0.001,0.02008274327886599,0.001
PA,BA,44,11.179138253783536,0.001,0.030156847942761394,0.001
PA,BO,58,11.34445102663513,0.001,0.037981558190578836,0.001
PA,LA,38,10.801315633589908,0.001,0.02285422389448519,0.001
PA,MN,2,NA,NA,NA,NA
PA,PX,28,25.18865853890398,0.001,0.07857112300849507,0.001
TO,BA,59,7.8175799832208686,0.001,0.009288594069647027,0.001
TO,BO,58,9.66357127646857,0.001,0.010215011194810287,0.001
TO,LA,28,10.824444650526736,0.001,0.015681324632525168,0.001
TO,MN,75,7.914777317538684,0.001,0.008437311293835936,0.001
TO,PX,16,13.383521452945729,0.001,0.04890030672141874,0.001
