spp,city,Num,Eff_num,Ho,Hs,Gis
CD,BA,8.242,4.53,0.627,0.748,0.163
CD,LA,12.664,6.47,0.683,0.827,0.174
CD,PX,14.192,6.978,0.672,0.83,0.191
DS,BA,10.611,5.069,0.637,0.768,0.171
DS,BO,10.588,5.23,0.612,0.778,0.214
DS,MN,11.696,5.233,0.623,0.771,0.192
DS,PX,3.928,3.692,0.743,0.8,0.072
EC,BA,6.204,4.365,0.838,0.753,-0.113
EC,LA,6.724,4.737,0.839,0.771,-0.088
EC,PX,6.044,4.525,0.84,0.748,-0.123
LS,BA,6.379,4.83,0.858,0.816,-0.051
LS,BO,4.252,3.72,0.847,0.838,-0.011
LS,LA,9.665,6.077,0.85,0.823,-0.033
LS,MN,7.564,5.401,0.862,0.819,-0.052
LS,PX,6.962,4.89,0.835,0.767,-0.089
PA,BA,8.44,5.161,0.667,0.794,0.16
PA,BO,9.134,5.212,0.659,0.789,0.164
PA,LA,11.645,6.093,0.682,0.811,0.16
PA,MN,3.181,2.913,0.655,0.728,0.1
PA,PX,10.592,6.26,0.697,0.823,0.153
TO,BA,12.697,7.192,-0.208,0.874,1.239
TO,BO,13.957,7.698,-0.13,0.884,1.148
TO,LA,10.339,6.843,-0.246,1.027,1.239
TO,MN,15.141,8.081,0.019,0.869,0.978
TO,PX,6.995,5.445,-0.718,1.598,1.449
