,filename,species,city,location,land_type,replicate,total_reads,cutsite_not_found,low_quality,retained_reads,total_reads_for_sublibrary,prop_sample_per_library,prop_reads_retained_per_sample,outlier
0,DS.BA.PIK.U.2,DS,BA,PIK,U,2,573714,0,56,573658,80804625,0.007100014,0.999902,Y
0,DS.BA.PIK.U.4,DS,BA,PIK,U,4,354604,0,46,354558,80804625,0.004388412,0.999870,Y
0,DS.BA.PIK.U.5,DS,BA,PIK,U,5,456550,0,49,456501,80804625,0.005650048,0.999893,Y
0,DS.BA.DHI.U.2,DS,BA,DHI,U,2,269188,0,31,269157,80804625,0.003331344,0.999885,Y
0,CD.BA.LA.U.5,CD,BA,LA,U,5,569112,0,67,569045,51217894,0.011111585,0.999882,Y
0,PA.BA.PIK.U.2,PA,BA,PIK,U,2,34816,0,2,34814,51217894,0.000679762,0.999943,Y
0,CD.BA.TRC.U.4,CD,BA,TRC,U,4,246226,0,21,246205,70999844,0.003467979,0.999915,Y
0,TO.BA.WBO.U.1,TO,BA,WBO,U,1,155904,0,12,155892,53535102,0.002912183,0.999923,Y
0,TO.BA.WBO.U.3,TO,BA,WBO,U,3,11910,0,1,11909,53535102,0.000222471,0.999916,Y
0,TO.BA.WBO.U.5,TO,BA,WBO,U,5,396294,0,49,396245,62855778,0.006304814,0.999876,Y
0,CD.BA.LH-2.M.1,CD,BA,LH-2,M,1,53066,0,2,53064,62855778,0.00084425,0.999962,Y
0,EC.BA.LH-2.M.3,EC,BA,LH-2,M,3,97750,0,24,97726,55574200,0.00175891,0.999754,Y
0,EC.BA.LH-2.M.4,EC,BA,LH-2,M,4,207072,0,32,207040,55574200,0.003726046,0.999845,Y
0,EC.BA.LH-2.M.5,EC,BA,LH-2,M,5,136010,0,16,135994,55574200,0.002447359,0.999882,Y
0,DS.BA.GA.U.5,DS,BA,GA,U,5,143406,0,21,143385,83932483,0.001708588,0.999854,Y
0,DS.BA.LH-1.M.3,DS,BA,LH-1,M,3,839690,0,109,839581,83932483,0.010004351,0.999870,Y
0,DS.BA.LH-1.M.5,DS,BA,LH-1,M,5,354230,0,33,354197,83932483,0.004220416,0.999907,Y
0,DS.BA.CP.U.1,DS,BA,CP,U,1,382196,0,62,382134,70641788,0.005410339,0.999838,Y
0,DS.BA.CP.U.3,DS,BA,CP,U,3,345884,0,41,345843,70641788,0.004896309,0.999881,Y
0,DS.BA.CP.U.4,DS,BA,CP,U,4,518738,0,55,518683,70641788,0.007343217,0.999894,Y
0,DS.BA.WB.U.1,DS,BA,WB,U,1,162790,0,22,162768,70641788,0.002304443,0.999865,Y
