,file,total_sequences,ambiguous_barcodes_not_found,dropped_reads,retained_reads
0,AMH_macro_1_1_12px_S1,82562566,1748902,9039,80804625
0,AMH_macro_1_10_8px_S10,52435752,1212012,5846,51217894
0,AMH_macro_1_11_8px_S11,72737066,1728778,8444,70999844
0,AMH_macro_1_12_8px_S12,54992912,1451504,6306,53535102
0,AMH_macro_1_13_8px_S13,64298080,1435102,7200,62855778
0,AMH_macro_1_14_8px_S14,56763206,1182554,6452,55574200
0,AMH_macro_1_2_12px_S2,85814922,1872824,9615,83932483
0,AMH_macro_1_3_12px_S3,72123814,1473666,8360,70641788
0,AMH_macro_1_4_12px_S4,69774746,1445586,7808,68321352
0,AMH_macro_1_5_8px_S5,57649008,1284652,6468,56357888
0,AMH_macro_1_6_8px_S6,60898116,1231846,6831,59659439
0,AMH_macro_1_7_8px_S7,57511568,1340536,6442,56164590
0,AMH_macro_1_8_8px_S8,63255984,1345700,7062,61903222
0,AMH_macro_1_9_8px_S9,49907168,1131698,5606,48769864
0,AMH_macro_10_1_8px_S127,48661936,1328180,5473,47328283
0,AMH_macro_10_10_12px_S136,62693664,1316344,6831,61370489
0,AMH_macro_10_11_12px_S137,88774688,1752474,10005,87012209
0,AMH_macro_10_12_12px_S138,83410442,1810388,9307,81590747
0,AMH_macro_10_13_8px_S139,67665698,1205066,7625,66453007
0,AMH_macro_10_14_8px_S140,57301804,1102490,6303,56193011
0,AMH_macro_10_2_8px_S128,47901636,1209358,5332,46686946
0,AMH_macro_10_3_8px_S129,61568176,1322782,6821,60238573
0,AMH_macro_10_4_8px_S130,51022818,1280712,5608,49736498
0,AMH_macro_10_5_8px_S131,56181002,1239974,6201,54934827
0,AMH_macro_10_6_8px_S132,48154324,1155504,5507,46993313
0,AMH_macro_10_7_8px_S133,60108520,1401228,6693,58700599
0,AMH_macro_10_8_8px_S134,63093732,1338324,7004,61748404
0,AMH_macro_10_9_12px_S135,88551672,1630828,10155,86910689
0,AMH_macro_11_1_8px_S141,55426140,1404868,6303,54014969
0,AMH_macro_11_10_12px_S150,71066066,1613174,7881,69445011
0,AMH_macro_11_11_12px_S151,64111866,1555964,7313,62548589
0,AMH_macro_11_12_12px_S152,54753488,1276662,6276,53470550
0,AMH_macro_11_13_8px_S153,70452566,1342132,7970,69102464
0,AMH_macro_11_14_8px_S154,62611176,1120500,6964,61483712
0,AMH_macro_11_2_8px_S142,52459546,1329442,5892,51124212
0,AMH_macro_11_3_8px_S143,50338052,1117868,5614,49214570
0,AMH_macro_11_4_8px_S144,52850638,1114746,5903,51729989
0,AMH_macro_11_5_8px_S145,50767208,1337926,5684,49423598
0,AMH_macro_11_6_8px_S146,55957582,1412476,6272,54538834
0,AMH_macro_11_7_8px_S147,70266406,1425374,7955,68833077
0,AMH_macro_11_8_8px_S148,52520974,1138104,5677,51377193
0,AMH_macro_11_9_12px_S149,58696830,13041144,5199,45650487
0,AMH_macro_12_1_8px_S155,66518342,2047090,7323,64463929
0,AMH_macro_12_10_12px_S164,131174696,2538378,14652,128621666
0,AMH_macro_12_11_12px_S165,88011198,1889184,9948,86112066
0,AMH_macro_12_12_12px_S166,83302278,1745994,9385,81546899
0,AMH_macro_12_13_8px_S167,64335854,1374122,7097,62954635
0,AMH_macro_12_14_8px_S168,63883320,1273674,7168,62602478
0,AMH_macro_12_2_8px_S156,57449636,1550626,6279,55892731
0,AMH_macro_12_3_8px_S157,52432680,1320120,6097,51106463
0,AMH_macro_12_4_8px_S158,62727192,1462284,6845,61258063
0,AMH_macro_12_5_8px_S159,56633178,1326026,6294,55300858
0,AMH_macro_12_6_8px_S160,65948266,1501884,7326,64439056
0,AMH_macro_12_7_8px_S161,71384436,1512970,8002,69863464
0,AMH_macro_12_8_8px_S162,72696216,1622390,8225,71065601
0,AMH_macro_12_9_12px_S163,81424664,1887540,9123,79528001
0,AMH_macro_13_1_8px_S169,62332410,1420510,7121,60904779
0,AMH_macro_13_10_8px_S178,57074346,1050550,6621,56017175
0,AMH_macro_13_11_8px_S179,88872290,1559070,9957,87303263
0,AMH_macro_13_12_8px_S180,65762098,1192130,7388,64562580
0,AMH_macro_13_2_8px_S170,58634924,1204376,6668,57423880
0,AMH_macro_13_3_8px_S171,56307026,1190172,6387,55110467
0,AMH_macro_13_4_8px_S172,55814798,1284070,6204,54524524
0,AMH_macro_13_5_8px_S173,48421856,1206350,5420,47210086
0,AMH_macro_13_6_8px_S174,57294306,997640,6320,56290346
0,AMH_macro_13_7_8px_S175,48959470,1264510,5365,47689595
0,AMH_macro_13_8_8px_S176,60105782,1081906,6781,59017095
0,AMH_macro_13_9_8px_S177,63493532,1164818,7012,62321702
0,AMH_macro_14_1_8px_S181,59735290,1313720,6672,58414898
0,AMH_macro_14_10_8px_S190,62644702,19324852,5126,43314724
0,AMH_macro_14_11_8px_S191,74393660,1384684,8260,73000716
0,AMH_macro_14_12_8px_S192,66315642,1337690,7223,64970729
0,AMH_macro_14_13_4px_S193,33374672,808186,3670,32562816
0,AMH_macro_14_2_8px_S182,58646876,1162698,6562,57477616
0,AMH_macro_14_3_8px_S183,56784182,1105486,6234,55672462
0,AMH_macro_14_4_8px_S184,64351976,1451002,7093,62893881
0,AMH_macro_14_5_8px_S185,59400822,1202962,6817,58191043
0,AMH_macro_14_6_8px_S186,66428322,1254212,7593,65166517
0,AMH_macro_14_7_8px_S187,64333084,1456698,7297,62869089
0,AMH_macro_14_8_8px_S188,58367936,1233874,6385,57127677
0,AMH_macro_14_9_8px_S189,52884520,1024278,5828,51854414
0,AMH_macro_2_1_12px_S15,93941174,1776116,10541,92154517
0,AMH_macro_2_10_8px_S24,65458764,1354172,7349,64097243
0,AMH_macro_2_11_8px_S25,58621600,1645798,6717,56969085
0,AMH_macro_2_12_8px_S26,50118596,1594166,5571,48518859
0,AMH_macro_2_13_8px_S27,71428520,1541610,8019,69878891
0,AMH_macro_2_14_8px_S28,50726952,1115958,5694,49605300
0,AMH_macro_2_2_12px_S16,75958214,1539832,8524,74409858
0,AMH_macro_2_3_12px_S17,81061590,1753696,9005,79298889
0,AMH_macro_2_4_12px_S18,86155996,1822250,9643,84324103
0,AMH_macro_2_5_8px_S19,65679358,1279296,7486,64392576
0,AMH_macro_2_6_8px_S20,42793498,1098896,4996,41689606
0,AMH_macro_2_7_8px_S21,49515038,1171536,5547,48337955
0,AMH_macro_2_8_8px_S22,63687312,1426844,7033,62253435
0,AMH_macro_2_9_8px_S23,56118018,1180668,6292,54931058
0,AMH_macro_3_1_12px_S29,62681108,1413274,6794,61261040
0,AMH_macro_3_10_8px_S38,57328520,1519540,6320,55802660
0,AMH_macro_3_11_8px_S39,58844908,58821668,0,23240
0,AMH_macro_3_12_8px_S40,52632412,52600958,9,31445
0,AMH_macro_3_13_8px_S41,50641616,1381022,5750,49254844
0,AMH_macro_3_14_8px_S42,57270378,1215092,6447,56048839
0,AMH_macro_3_2_12px_S30,91940614,1758846,10351,90171417
0,AMH_macro_3_3_12px_S31,73701924,1445268,8632,72248024
0,AMH_macro_3_4_12px_S32,70738916,1613344,8044,69117528
0,AMH_macro_3_5_8px_S33,75597758,1490618,8634,74098506
0,AMH_macro_3_6_8px_S34,62201524,1273954,7032,60920538
0,AMH_macro_3_7_8px_S35,52080640,1193906,5973,50880761
0,AMH_macro_3_8_8px_S36,73466612,1390490,8323,72067799
0,AMH_macro_3_9_8px_S37,67005292,1591442,7489,65406361
0,AMH_macro_4_1_12px_S43,62056424,1471762,7002,60577660
0,AMH_macro_4_10_8px_S52,60662302,1494472,6859,59160971
0,AMH_macro_4_11_8px_S53,51779708,1282618,5714,50491376
0,AMH_macro_4_12_8px_S54,56982720,1209958,6273,55766489
0,AMH_macro_4_13_8px_S55,55733466,1602894,6245,54124327
0,AMH_macro_4_14_8px_S56,55002852,1451036,6032,53545784
0,AMH_macro_4_2_12px_S44,79110760,1502080,8938,77599742
0,AMH_macro_4_3_12px_S45,76863174,1642664,8757,75211753
0,AMH_macro_4_4_12px_S46,76144442,1321674,8553,74814215
0,AMH_macro_4_5_8px_S47,52799508,1158226,5964,51635318
0,AMH_macro_4_6_8px_S48,61331398,1254634,6920,60069844
0,AMH_macro_4_7_8px_S49,60854146,1210938,6750,59636458
0,AMH_macro_4_8_8px_S50,64308680,1300966,7410,63000304
0,AMH_macro_4_9_8px_S51,42830736,1190666,4788,41635282
0,AMH_macro_5_1_8px_S57,68111056,1528356,7777,66574923
0,AMH_macro_5_10_8px_S66,62946216,1521414,7023,61417779
0,AMH_macro_5_11_8px_S67,37163290,1433406,4048,35725836
0,AMH_macro_5_12_8px_S68,68823188,1602660,7907,67212621
0,AMH_macro_5_13_8px_S69,70601406,1432580,8125,69160701
0,AMH_macro_5_14_8px_S70,62301148,1413298,6885,60880965
0,AMH_macro_5_2_8px_S58,58439896,1311976,6666,57121254
0,AMH_macro_5_3_8px_S59,54875552,1264538,6075,53604939
0,AMH_macro_5_4_8px_S60,57335150,1209038,6436,56119676
0,AMH_macro_5_5_12px_S61,95090468,1609012,10827,93470629
0,AMH_macro_5_6_12px_S62,88832762,2105474,9950,86717338
0,AMH_macro_5_7_12px_S63,87124208,1729986,9750,85384472
0,AMH_macro_5_8_12px_S64,88694262,1856868,10160,86827234
0,AMH_macro_5_9_8px_S65,55515608,1251116,6224,54258268
0,AMH_macro_6_1_8px_S71,49670920,1175544,5724,48489652
0,AMH_macro_6_10_8px_S80,62035818,1382578,6951,60646289
0,AMH_macro_6_11_8px_S81,61039812,1524850,6743,59508219
0,AMH_macro_6_12_8px_S82,58487380,1275356,6372,57205652
0,AMH_macro_6_13_8px_S83,67230120,1347520,7574,65875026
0,AMH_macro_6_14_8px_S84,62400730,1283906,6863,61109961
0,AMH_macro_6_2_8px_S72,47445762,1157884,5438,46282440
0,AMH_macro_6_3_8px_S73,55591086,1136812,6424,54447850
0,AMH_macro_6_4_8px_S74,56217326,1200494,6346,55010486
0,AMH_macro_6_5_12px_S75,70207214,1415502,7925,68783787
0,AMH_macro_6_6_12px_S76,71718658,1543260,8076,70167322
0,AMH_macro_6_7_12px_S77,71228912,71180844,5,48063
0,AMH_macro_6_8_12px_S78,70673672,70633906,2,39764
0,AMH_macro_6_9_8px_S79,54773284,1326596,6159,53440529
0,AMH_macro_7_1_8px_S85,71012782,1527788,7875,69477119
0,AMH_macro_7_10_8px_S94,56589372,1387126,6456,55195790
0,AMH_macro_7_11_8px_S95,72293074,1621104,8237,70663733
0,AMH_macro_7_12_8px_S96,66763016,1445874,7382,65309760
0,AMH_macro_7_13_8px_S97,63106044,1561804,7100,61537140
0,AMH_macro_7_14_8px_S98,57561084,1304052,6406,56250626
0,AMH_macro_7_2_8px_S86,70567460,1413128,7973,69146359
0,AMH_macro_7_3_8px_S87,62092660,1322170,7182,60763308
0,AMH_macro_7_4_8px_S88,68276228,1404062,7832,66864334
0,AMH_macro_7_5_12px_S89,85497654,1773968,9476,83714210
0,AMH_macro_7_6_12px_S90,79288316,1543750,8968,77735598
0,AMH_macro_7_7_12px_S91,74447422,1537948,8450,72901024
0,AMH_macro_7_8_12px_S92,90805402,1753306,10184,89041912
0,AMH_macro_7_9_8px_S93,55420448,1320666,6245,54093537
0,AMH_macro_8_1_8px_S99,55320184,1374084,6054,53940046
0,AMH_macro_8_10_8px_S108,51823408,1431336,5799,50386273
0,AMH_macro_8_11_8px_S109,67878754,1888990,7472,65982292
0,AMH_macro_8_12_8px_S110,61373988,1356924,6827,60010237
0,AMH_macro_8_13_8px_S111,69210120,1721284,7729,67481107
0,AMH_macro_8_14_8px_S112,60265680,1469184,6699,58789797
0,AMH_macro_8_2_8px_S100,58581948,1370812,6483,57204653
0,AMH_macro_8_3_8px_S101,60860914,22578776,4632,38277506
0,AMH_macro_8_4_8px_S102,54353722,1243252,6222,53104248
0,AMH_macro_8_5_12px_S103,125007740,2243232,14254,122750254
0,AMH_macro_8_6_12px_S104,80893592,1758566,9129,79125897
0,AMH_macro_8_7_12px_S105,114427222,2023466,13132,112390624
0,AMH_macro_8_8_12px_S106,78131976,1635046,8725,76488205
0,AMH_macro_8_9_8px_S107,46490192,1274976,5043,45210173
0,AMH_macro_9_1_8px_S113,50466906,1212110,5712,49249084
0,AMH_macro_9_10_12px_S122,64963878,1446274,7215,63510389
0,AMH_macro_9_11_12px_S123,75919298,1695866,8520,74214912
0,AMH_macro_9_12_12px_S124,72144646,1410414,8008,70726224
0,AMH_macro_9_13_8px_S125,77024880,1270334,8809,75745737
0,AMH_macro_9_14_8px_S126,61905404,1222216,6936,60676252
0,AMH_macro_9_2_8px_S114,57648686,1326688,6449,56315549
0,AMH_macro_9_3_8px_S115,55389738,1362590,6245,54020903
0,AMH_macro_9_4_8px_S116,51606748,1274896,5760,50326092
0,AMH_macro_9_5_8px_S117,55945986,1194124,6293,54745569
0,AMH_macro_9_6_8px_S118,52505520,1292306,5931,51207283
0,AMH_macro_9_7_8px_S119,54249088,1376514,6030,52866544
0,AMH_macro_9_8_8px_S120,45793738,1336090,4997,44452651
0,AMH_macro_9_9_12px_S121,71471990,1328866,8125,70134999
