ustacks discarded,sample, population ,Total,cutsite_not_found,low_quality,retained_reads,total_reads_for_sublibrary,prop_sample_per_library,prop_reads_retained_per_sample
yes,CD.BA.DHI.U.1, Baltimore,1374932,0,142,1374790,58844908,0.023365352,0.999896722
yes,CD.BA.DHI.U.4, Baltimore,4130458,0,453,4130005,52632412,0.07847746,0.999890327
yes,CD.BA.DHI.U.5, Baltimore,8653648,0,956,8652692,52632412,0.16441671,0.999889526
yes,LS.BO.I3.U.1, Boston,9242464,0,1093,9241371,65982292,0.140074916,0.999882
yes,LS.LA.CAN.U.2, Los Angeles,11501326,0,1367,11499959,70673672,0.162738481,0.999881144
yes,LS.LA.CAN.U.5, Los Angeles,3214558,0,405,3214153,70673672,0.045484519,0.999874011
yes,LS.LA.CRI.U.1, Los Angeles,10527704,0,1188,10526516,71228912,0.147800994,0.999887155
yes,LS.LA.MAR.U.1, Los Angeles,13091456,0,1555,13089901,71228912,0.183794131,0.99988122
yes,LS.LA.MAR.U.3, Los Angeles,2965576,0,372,2965204,71228912,0.041634442,0.999874561
yes,PA.BA.PSP.M.1, Baltimore,4462654,0,490,4462164,58844908,0.075837556,0.9998902
yes,TO.BA.DHI.U.1, Baltimore,23052370,0,2648,23049722,52632412,0.437988098,0.999885131
yes,TO.BA.DHI.U.3, Baltimore,3451444,0,394,3451050,52632412,0.065576398,0.999885845
yes,TO.BA.DHI.U.4, Baltimore,1719288,0,187,1719101,52632412,0.032665955,0.999891234
no,CD.BA.AA.U.1,Baltimore,6813988,0,760,6813228,64392576,0.105819466,0.999888
no,CD.BA.AA.U.3,Baltimore,2144952,0,225,2144727,64392576,0.033310548,0.999895
no,CD.BA.AA.U.4,Baltimore,51979884,0,6111,51973773,64392576,0.807234113,0.999882
no,CD.BA.CP.U.2,Baltimore,8602708,0,1070,8601638,56969085,0.151006603,0.999876
no,CD.BA.CP.U.4,Baltimore,11910464,0,1406,11909058,56969085,0.209068901,0.999882
no,CD.BA.CP.U.5,Baltimore,26865602,0,3128,26862474,48518859,0.553714629,0.999884
no,CD.BA.DHI.U.1,Baltimore,1374932,0,142,1374790,58844908,0.023365352,0.999896722
no,CD.BA.DHI.U.2,Baltimore,6588590,0,760,6587830,52632412,0.125181229,0.999884649
no,CD.BA.DHI.U.3,Baltimore,1754056,0,219,1753837,52632412,0.033326537,0.999875147
no,CD.BA.DHI.U.4,Baltimore,4130458,0,453,4130005,52632412,0.07847746,0.999890327
no,CD.BA.DHI.U.5,Baltimore,8653648,0,956,8652692,52632412,0.16441671,0.999889526
no,CD.BA.FH.U.1,Baltimore,11212166,0,1352,11210814,49605300,0.226027582,0.999879
no,CD.BA.FH.U.3,Baltimore,12522590,0,1415,12521175,49605300,0.252444598,0.999887
no,CD.BA.FH.U.4,Baltimore,55148150,0,6116,55142034,61261040,0.9002157,0.999889
no,CD.BA.FH.U.5,Baltimore,1722622,0,208,1722414,61261040,0.028119372,0.999879
no,CD.BA.GA.U.1,Baltimore,16810070,0,1890,16808180,75211753,0.223503234,0.999888
no,CD.BA.GA.U.3,Baltimore,18452620,0,2071,18450549,75211753,0.245342241,0.999888
no,CD.BA.GA.U.4,Baltimore,11805778,0,1415,11804363,75211753,0.156967196,0.99988
no,CD.BA.GA.U.5,Baltimore,1932104,0,242,1931862,75211753,0.025688857,0.999875
no,CD.BA.LA.U.1,Baltimore,16224690,0,1875,16222815,51217894,0.316777765,0.999884
no,CD.BA.LA.U.2,Baltimore,12782756,0,1488,12781268,51217894,0.249575978,0.999884
no,CD.BA.LA.U.3,Baltimore,1763132,0,209,1762923,51217894,0.034424141,0.999881
no,CD.BA.LA.U.4,Baltimore,3440808,0,365,3440443,51217894,0.067179802,0.999894
no,CD.BA.LH-2.M.2,Baltimore,28599688,0,3288,28596400,62855778,0.455004916,0.999885
no,CD.BA.LH-2.M.3,Baltimore,25192824,0,2856,25189968,55574200,0.453318698,0.999887
no,CD.BA.LH-2.M.4,Baltimore,21701758,0,2525,21699233,55574200,0.390500592,0.999884
no,CD.BA.LH-2.M.5,Baltimore,5027498,0,583,5026915,55574200,0.090464604,0.999884
no,CD.BA.LL-4.M.1,Baltimore,11020164,0,1305,11018859,48769864,0.225962574,0.999882
no,CD.BA.LL-4.M.2,Baltimore,14445728,0,1678,14444050,48769864,0.296201933,0.999884
no,CD.BA.LL-4.M.4,Baltimore,1283064,0,156,1282908,48769864,0.026308542,0.999878
no,CD.BA.PIK.U.1,Baltimore,2314990,0,247,2314743,92154517,0.025120744,0.999893
no,CD.BA.PIK.U.2,Baltimore,27118626,0,3148,27115478,92154517,0.294273432,0.999884
no,CD.BA.PIK.U.4,Baltimore,15473874,0,1727,15472147,92154517,0.167912268,0.999888
no,CD.BA.PIK.U.5,Baltimore,41612808,0,4829,41607979,92154517,0.45155473,0.999884
no,CD.BA.PSP.M.1,Baltimore,1507472,0,188,1507284,74409858,0.020259036,0.999875
no,CD.BA.PSP.M.4,Baltimore,18105486,0,2094,18103392,74409858,0.243321066,0.999884
no,CD.BA.RG-1.M.1,Baltimore,16858214,0,1937,16856277,56048839,0.30077722,0.999885
no,CD.BA.RG-1.M.2,Baltimore,21411654,0,2456,21409198,56048839,0.382017797,0.999885
no,CD.BA.RG-1.M.4,Baltimore,5897204,0,643,5896561,56048839,0.105215453,0.999891
no,CD.BA.RG-1.M.5,Baltimore,1829934,0,236,1829698,56048839,0.032648919,0.999871
no,CD.BA.TRC.U.1,Baltimore,8106454,0,995,8105459,70999844,0.114175659,0.999877
no,CD.BA.TRC.U.2,Baltimore,6125314,0,728,6124586,70999844,0.086272218,0.999881
no,CD.BA.TRC.U.3,Baltimore,31759460,0,3694,31755766,70999844,0.447317321,0.999884
no,CD.BA.TRC.U.5,Baltimore,3045918,0,392,3045526,70999844,0.042900348,0.999871
no,CD.BA.W3.M.1,Baltimore,10926234,0,1363,10924871,69117528,0.158081956,0.999875
no,CD.BA.W3.M.3,Baltimore,14859394,0,1599,14857795,69117528,0.214987347,0.999892
no,CD.BA.W3.M.4,Baltimore,21379462,0,2543,21376919,69117528,0.309320409,0.999881
no,CD.BA.W3.M.5,Baltimore,1564260,0,223,1564037,69117528,0.022631886,0.999857
no,CD.BA.WB.U.1,Baltimore,5703876,0,671,5703205,64097243,0.088987852,0.999882
no,CD.BA.WB.U.2,Baltimore,11734232,0,1332,11732900,56969085,0.205975434,0.999886
no,CD.BA.WB.U.3,Baltimore,13672320,0,1675,13670645,56969085,0.239995429,0.999877
no,CD.BA.WB.U.4,Baltimore,4010592,0,432,4010160,56969085,0.070399446,0.999892
no,CD.BA.WB.U.5,Baltimore,6538792,0,749,6538043,56969085,0.114777901,0.999885
no,CD.BA.WBO.U.1,Baltimore,2007682,0,255,2007427,75211753,0.026693727,0.999872988
no,CD.BA.WBO.U.2,Baltimore,17061918,0,1989,17059929,75211753,0.226851753,0.999883425
no,CD.BA.WBO.U.3,Baltimore,54977724,0,6320,54971404,74814215,0.734856658,0.999885
no,CD.BA.WBO.U.4,Baltimore,2375324,0,280,2375044,74814215,0.031749635,0.999882
no,CD.BA.WBO.U.5,Baltimore,6592414,0,759,6591655,74814215,0.088117131,0.999885
no,CD.BA.WGP.M.1,Baltimore,1557148,0,202,1556946,70999844,0.02193171,0.99987
no,CD.BA.WGP.M.2,Baltimore,12562866,0,1526,12561340,53535102,0.234665958,0.999879
no,CD.BA.WGP.M.3,Baltimore,10361190,0,1148,10360042,53535102,0.193540119,0.999889
no,CD.BA.WGP.M.4,Baltimore,1917862,0,243,1917619,53535102,0.035824383,0.999873
no,CD.BA.WGP.M.5,Baltimore,21557568,0,2557,21555011,53535102,0.402680992,0.999881
no,CD.LA.ALL.M.1,Los Angeles,2815654,0,305,2815349,54124327,0.052021968,0.999892
no,CD.LA.ALL.M.2,Los Angeles,17890768,0,2059,17888709,53545784,0.334120946,0.999885
no,CD.LA.ALL.M.3,Los Angeles,12470578,0,1432,12469146,53545784,0.232895609,0.999885
no,CD.LA.ALL.M.4,Los Angeles,10391262,0,1124,10390138,53545784,0.194063122,0.999892
no,CD.LA.ALL.M.5,Los Angeles,10511512,0,1166,10510346,53545784,0.196308863,0.999889
no,CD.LA.GLO.M.2,Los Angeles,36034732,0,4139,36030593,56119676,0.642105133,0.999885
no,CD.LA.GLO.M.4,Los Angeles,17846466,0,2046,17844420,56119676,0.318007289,0.999885
no,CD.LA.GLO.M.5,Los Angeles,47011506,0,5500,47006006,93470629,0.502954848,0.999883
no,CD.LA.HAR.M.1,Los Angeles,22183156,0,2626,22180530,66574923,0.333205883,0.999882
no,CD.LA.HAR.M.3,Los Angeles,22074168,0,2506,22071662,66574923,0.33156881,0.999886
no,CD.LA.HAR.M.4,Los Angeles,18164950,0,2150,18162800,66574923,0.272849734,0.999882
no,CD.LA.HAR.M.5,Los Angeles,3292548,0,369,3292179,66574923,0.04945628,0.999888
