Filename,Population
CD.BA.AA.U.1,Baltimore
CD.BA.AA.U.3,Baltimore
CD.BA.AA.U.4,Baltimore
CD.BA.CP.U.2,Baltimore
CD.BA.CP.U.4,Baltimore
CD.BA.CP.U.5,Baltimore
CD.BA.DHI.U.2,Baltimore
CD.BA.DHI.U.3,Baltimore
CD.BA.FH.U.1,Baltimore
CD.BA.FH.U.3,Baltimore
CD.BA.FH.U.4,Baltimore
CD.BA.FH.U.5,Baltimore
CD.BA.GA.U.1,Baltimore
CD.BA.GA.U.3,Baltimore
CD.BA.GA.U.4,Baltimore
CD.BA.GA.U.5,Baltimore
CD.BA.LA.U.1,Baltimore
CD.BA.LA.U.2,Baltimore
CD.BA.LA.U.3,Baltimore
CD.BA.LA.U.4,Baltimore
CD.BA.LH-2.M.2,Baltimore
CD.BA.LH-2.M.3,Baltimore
CD.BA.LH-2.M.4,Baltimore
CD.BA.LH-2.M.5,Baltimore
CD.BA.LL-4.M.1,Baltimore
CD.BA.LL-4.M.2,Baltimore
CD.BA.LL-4.M.4,Baltimore
CD.BA.PIK.U.1,Baltimore
CD.BA.PIK.U.2,Baltimore
CD.BA.PIK.U.4,Baltimore
CD.BA.PIK.U.5,Baltimore
CD.BA.PSP.M.1,Baltimore
CD.BA.PSP.M.4,Baltimore
CD.BA.RG-1.M.1,Baltimore
CD.BA.RG-1.M.2,Baltimore
CD.BA.RG-1.M.4,Baltimore
CD.BA.RG-1.M.5,Baltimore
CD.BA.TRC.U.1,Baltimore
CD.BA.TRC.U.2,Baltimore
CD.BA.TRC.U.3,Baltimore
CD.BA.TRC.U.5,Baltimore
CD.BA.W3.M.1,Baltimore
CD.BA.W3.M.3,Baltimore
CD.BA.W3.M.4,Baltimore
CD.BA.W3.M.5,Baltimore
CD.BA.WB.U.1,Baltimore
CD.BA.WB.U.2,Baltimore
CD.BA.WB.U.3,Baltimore
CD.BA.WB.U.4,Baltimore
CD.BA.WB.U.5,Baltimore
CD.BA.WBO.U.1,Baltimore
CD.BA.WBO.U.2,Baltimore
CD.BA.WBO.U.3,Baltimore
CD.BA.WBO.U.4,Baltimore
CD.BA.WBO.U.5,Baltimore
CD.BA.WGP.M.1,Baltimore
CD.BA.WGP.M.2,Baltimore
CD.BA.WGP.M.3,Baltimore
CD.BA.WGP.M.4,Baltimore
CD.BA.WGP.M.5,Baltimore
CD.LA.ALL.M.1,Los Angeles
CD.LA.ALL.M.2,Los Angeles
CD.LA.ALL.M.3,Los Angeles
CD.LA.ALL.M.4,Los Angeles
CD.LA.ALL.M.5,Los Angeles
CD.LA.GLO.M.2,Los Angeles
CD.LA.GLO.M.4,Los Angeles
CD.LA.GLO.M.5,Los Angeles
CD.LA.HAR.M.1,Los Angeles
CD.LA.HAR.M.3,Los Angeles
CD.LA.HAR.M.4,Los Angeles
CD.LA.HAR.M.5,Los Angeles
CD.LA.KIN.M.1,Los Angeles
CD.LA.KIN.M.2,Los Angeles
CD.LA.KIN.M.3,Los Angeles
CD.LA.KIN.M.4,Los Angeles
CD.LA.KIN.M.5,Los Angeles
CD.LA.LUB.M.2,Los Angeles
CD.LA.LUB.M.3,Los Angeles
CD.LA.LUB.M.5,Los Angeles
CD.LA.MR2.M.1,Los Angeles
CD.LA.MR2.M.2,Los Angeles
CD.LA.MR2.M.3,Los Angeles
CD.LA.MR2.M.4,Los Angeles
CD.LA.MR2.M.5,Los Angeles
CD.LA.NWH.M.1,Los Angeles
CD.LA.NWH.M.2,Los Angeles
CD.LA.NWH.M.3,Los Angeles
CD.LA.NWH.M.4,Los Angeles
CD.LA.NWH.M.5,Los Angeles
CD.LA.ROS.M.1,Los Angeles
CD.LA.ROS.M.3,Los Angeles
